redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
"All Round Hunter (Europe) (En,Fr,De,Es,It)",RVL-SFSP-EUR-B0,,,,
All Star Cheer Squad (USA),RVL-RCXE-USA,,,,
All Star Cheer Squad 2 (USA),RVL-R5YE-USA-B0,,,,
"All Star Cheerleader (Europe) (En,Fr,De,Es)",RVL-RCXP-EUR,,,,
"All Star Cheerleader (Scandinavia) (Sv,No,Da,Fi)",RVL-RCXX-SCN,,,,
"All Star Cheerleader 2 (Europe, Australia)",RVL-R5YP-UKV-B0,,,,
All Star Cheerleader 2 (Germany),RVL-R5YD-NOE-B0,,,,
"All Star Karate (Europe) (En,Fr,De,Es,It,Nl)",RVL-SKTP-EUR-B0,,,,
"All Star Karate (USA) (En,Fr,Es)",RVL-SKTE-USA-B0,,,,
"Alone in the Dark (Europe) (En,Fr,De,Es,It)",RVL-RRKP-EUR,,,,
"Alone in the Dark (USA) (En,Fr,Es) (Rev 1)",RVL-RRKE-USA,,,,
Alvin and the Chipmunks - Chipwrecked (Europe),RVL-SA3P-UKV-B0,,,,
"Alvin and the Chipmunks - Chipwrecked (Europe) (Fr,De,Es,It)",RVL-SA3X-EUR-B0,,,,
"Alvin and the Chipmunks - Chipwrecked (USA) (En,Fr)",RVL-SA3E-USA-B0,,,,
"Alvin and the Chipmunks - The Squeakquel (Europe) (En,Fr,De)",RVL-SAVX-EUR-B0,,,,
Alvin and the Chipmunks - The Squeakquel (USA),RVL-SAVE-USA-B0,,,,
"Alvin and the Chipmunks (Europe) (En,Fr,De,Es,It)",RVL-RVBP-EUR,,,,
"Alvin and the Chipmunks (USA) (En,Fr)",RVL-RVBE-USA,,,,
"Amazing Race, The (USA) (En,Fr)",RVL-SAGE-USA-B0,,,,
"Amazing Spider-Man, The (Europe) (En,Fr,De,Es,It)",RVL-SA8P-EUR-B0,,,,
"Amazing Spider-Man, The (USA) (En,Fr,Es)",RVL-SAZE-USA-B0,,,,
American Mensa Academy (USA),RVL-SSME-USA-B0,,,,
"America's Next Top Model (Europe) (En,De)",RVL-R6MP-EUR-B0,,,,
America's Next Top Model (USA),RVL-R6ME-USA-B0,,,,
"AMF Bowling - Pinbusters! (Europe) (En,Fr,De,Es,It)",RVL-RMFP-EUR,,,,
AMF Bowling - Pinbusters! (USA),RVL-RMFE-USA,,,,
"AMF Bowling World Lanes (Europe) (En,Fr,De,Es,It)",RVL-R6WP-EUR-B0,,,,
AMF Bowling World Lanes (USA),RVL-R6WE-USA, RVL-R6WE-USA-B0,,,
And-Kensaku (Japan),RVL-RK3J-JPN-B0,,,,
Andrew Lloyd Webber Musicals - Sing and Dance (Europe),RVL-S3LP-UKV-B0,,,,
"Angry Birds Star Wars (Europe) (En,Fr,De,Es,It)",RVL-S7DP-EUR-B0,,,,
"Angry Birds Star Wars (USA) (En,Fr,Es,Pt)",RVL-S7DE-USA-B0,,,,
"Angry Birds Trilogy (Europe) (En,Fr,De,Es,It)",RVL-SAWP-EUR-B0,,,,
"Angry Birds Trilogy (USA) (En,Fr)",RVL-SAWE-USA-B0,,,,
"Animal Crossing - City Folk (USA) (En,Fr,Es)",RVL-RUUE-USA,,,,
"Animal Crossing - City Folk (USA, Asia) (En,Fr,Es) (Rev 1)",RVL-RUUE-MDE-B0, RVL-RUUE-USA-B0,,,
"Animal Crossing - Let's Go to the City (Europe) (En,Fr,De,Es,It)",RVL-RUUP-EUR,,,,
"Animal Crossing - Let's Go to the City (Europe) (En,Fr,De,Es,It) (Rev 1)",RVL-RUUP-EUR,,,,
Animal Kingdom - Wildlife Expedition (USA),RVL-RD6E-USA-B0,,,,
"Animal Planet - Vet Life (Europe) (En,De,Es,It)",RVL-R82P-EUR-B0,,,,
Animal Planet - Vet Life (USA),RVL-R82E-USA-B0,,,,
Anime Slot Revolution - Pachi-Slot Kidou Senshi Gundam II - Ai Senshi-hen (Japan),RVL-RGPJ-JPN,,,,
"Anno - Create a New World (Europe) (En,Fr,De,Es,It)",RVL-RN4P-EUR, RVL-RN4P-EUR-B0,,,
"Another Code R - A Journey into Lost Memories (Europe) (En,Fr,De,Es,It)",RVL-RNOP-EUR,,,,
Another Code R - Kioku no Tobira (Japan),RVL-RNOJ-JPN,,,,
Anpanman Niko Niko Party (Japan),RVL-R88J-JPN-B0,,,,
"Ant Bully, The (Europe) (En,Fr,De,Es,It)",RVL-RI3P-EUR,,,,
"Ant Bully, The (USA) (En,Fr)",RVL-RI3E-USA,,,,
"Anubis II (Europe) (En,Fr,De,Es,It,Nl)",RVL-RNVX-EUR,,,,
Anubis II (UK),RVL-RNVP-UKV,,,,
Anubis II (USA),RVL-RNVE-USA,,,,
"Aqua Panic! (Europe) (En,Fr,De,Es,It,Nl)",RVL-RO9P-EUR,,,,
"Aqua Panic! (USA) (En,Fr,Es)",RVL-RO9E-USA-B0,,,,
"Aquarius Baseball - Genkai no, Sono Saki e. (Japan)",RVL-DQAJ-JPN,,,,
Arc Rise Fantasia (Japan),RVL-RPJJ-JPN, RVL-RPJJ-JPN-B0,,,
Arc Rise Fantasia (USA),RVL-RPJE-USA-B0,,,,
"Arcade Shooting Gallery (USA) (En,Fr,Es)",RVL-R74E-USA-B0,,,,
"Arcade Zone (Europe) (En,Fr,De,Es,It)",RVL-R9XP-EUR-B0,,,,
"Arcade Zone (USA) (En,Fr)",RVL-R9XE-USA-B0,,,,
"Arctic Tale (Europe) (En,Fr,De,Es,It)",RVL-RT2P-EUR,,,,
Arctic Tale (USA),RVL-RT2E-USA,,,,
Are You Smarter than a 5th Grader Back to School (USA),RVL-SA5E-USA-B0,,,,
Are You Smarter than a 5th Grader Game Time (USA),RVL-R9HE-USA-B0,,,,
Are You Smarter than a 5th Grader Make the Grade (USA),RVL-R5GE-USA,,,,
Argos no Senshi - Muscle Impact (Japan),RVL-RYGJ-JPN,,,,
"Army Men - Soldiers of Misfortune (Europe) (En,Fr,De,Es,It)",RVL-RKYP-EUR,,,,
"Army Men - Soldiers of Misfortune (USA) (En,Fr,Es)",RVL-RKYE-USA,,,,
Army Rescue (USA),RVL-R7HE-USA-B0,,,,
"Around the World in 50 Games (USA) (En,Fr)",RVL-S5WE-USA-B0,,,,
"Arthur and the Revenge of Maltazard (Europe) (En,Fr,De,Es,It,Nl)",RVL-R8RP-EUR-B0,,,,
Artlist Collection - The Dog Island - Hitotsu no Hana no Monogatari (Japan) (Rev 1),RVL-RDIJ-JPN,,,,
"Artlist Collection - The Dog Island (Europe) (En,Fr,De,Es,It,Nl)",RVL-RDIP-EUR,,,,
"Artlist Collection - The Dog Island (USA) (En,Fr,Es)",RVL-RDIE-USA,,,,
Ashes Cricket 2009 (UK),RVL-R6KP-UKV-B0,,,,
"Asterix at the Olympic Games (Europe) (En,Fr,De,Es,It,Nl)",RVL-RQXP-EUR,,,,
"Astro Boy - The Video Game (Europe) (En,Fr,De,Es,It)",RVL-R56P-EUR-B0,,,,
Astro Boy - The Video Game (USA) (Beta) (2009-07-27),,,,,
"Astro Boy - The Video Game (USA) (En,Fr,Es)",RVL-R56E-USA-B0,,,,
"Athletic Piggy Party (Europe) (En,Fr,De,Es,It,Nl)",RVL-R4LX-EUR,,,,
"Atrevete a Sonar (Latin America) (En,Es)",RVL-SASE-USA-B0,,,,
"Attack of the Movies 3-D (Europe) (En,Fr,De,Es,It)",RVL-S3AP-EUR-B0,,,,
Attack of the Movies 3-D (USA),RVL-S3AE-USA-B0,,,,
"ATV Fever (Europe) (En,Fr,De,Es,It,Nl) (Rev 1)",RVL-SH7P-EUR-B0,,,,
"ATV Quad Kings (Europe) (En,Fr,De,Es,It)",RVL-R47P-EUR-B0,,,,
"ATV Quad Kings (USA) (En,Fr,Es)",RVL-R47E-USA-B0,,,,
"Baby and Me (Europe) (En,Fr,De,Es,It)",RVL-R6AP-EUR-B0,,,,
Babysitter Mama (Japan),RVL-SBWJ-JPN-B0,,,,
Babysitting Mama (USA),RVL-SBWE-USA-B0,,,,
"Babysitting Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)",RVL-R8BP-EUR,,,,
"Bachelor, The - The Videogame (USA) (En,Fr,Es)",RVL-SBXE-USA-B0,,,,
"Back to the Future - The Game (Europe) (En,Fr,De)",RVL-S5BP-EUR-B0,,,,
"Back to the Future - The Game (USA) (En,Fr,De)",RVL-S5BE-USA-B0,,,,
Backyard Baseball '09 (USA),RVL-RB8E-USA,,,,
Backyard Baseball '10 (USA),RVL-RXBE-USA,,,,
Backyard Football (USA),RVL-RFTE-USA,,,,
Backyard Football '09 (USA),RVL-RQQE-USA,,,,
Backyard Football '10 (USA),RVL-SBFE-USA-B0,,,,
Backyard Sports - Rookie Rush (USA),RVL-SFBE-USA-B0,,,,
Backyard Sports - Sandlot Sluggers (USA),RVL-SADE-USA-B0,,,,
"Bakugan - Battle Brawlers (Europe) (En,Fr,De,Es,It,Nl,Sv)",RVL-RUHP-EUR-B0,,,,
"Bakugan - Battle Brawlers (Europe) (En,Fr,De,Es,It,Nl,Sv) (Toys R Us)",RVL-RUHZ-EUU-B0,,,,
"Bakugan - Battle Brawlers (USA) (En,Fr)",RVL-RUHE-USA-B0,,,,
"Bakugan - Battle Brawlers (USA) (En,Fr) (Toys R Us)",RVL-RUHX-USA-B0,,,,
"Bakugan - Defenders of the Core (Europe, Australia) (En,Fr,De,Es,It,Nl,Sv)",RVL-SB6P-EUR-B0,,,,
"Bakugan - Defenders of the Core (USA) (En,Fr)",RVL-SB6E-USA-B0,,,,
Balloon Pop (USA),RVL-RB2E-USA, RVL-RB2E-USA-B0,,,
"Balls of Fury (Europe) (En,Fr,De,Es,It)",RVL-RBFP-EUR,,,,
Balls of Fury (USA),RVL-RBFE-USA,,,,
"Band Hero (Europe) (En,Fr,De,Es,It)",RVL-SXFP-EUR-B0,,,,
Band Hero (USA),RVL-SXFE-USA-B0,,,,
Baramui Klonoa - Door to Phantomile (Korea),RVL-R96K-KOR,,,,
"Barbie - Groom and Glam Pups (Brazil) (En,Es,Pt)",RVL-SB9X-BRA-B0,,,,
"Barbie - Groom and Glam Pups (Europe, Australia) (En,Fr,De,Es,It,Nl) (SB9P)",RVL-SB9P-EUR-B0,,,,
"Barbie - Groom and Glam Pups (UK, Australia) (En,Fr,De,Es,It,Nl) (SB9Y)",RVL-SB9Y-EUZ-B0,,,,
"Barbie - Groom and Glam Pups (USA) (En,Fr,Es)",RVL-SB9E-USA-B0,,,,
"Barbie - Groom and Glam Pups (USA) (En,Fr,Es) (Rev 1)",RVL-SB9E-USA-B1,,,,
"Barbie - Jet, Set & Style! (Australia) (En,Fr,Es) (S3EX)",RVL-S3EX-EUZ-B0,,,,
"Barbie - Jet, Set & Style! (Europe) (En,Fr,De,Es,It,Nl) (S3EP)",RVL-S3EP-EUR-B0,,,,
"Barbie - Jet, Set & Style! (USA) (En,Fr,Es)",RVL-S3EE-USA-B0,,,,
"Barbie - Jet, Set & Style! (USA) (En,Fr,Es) (Rev 1)",RVL-S3EE-USA-B1,,,,
"Barbie & Her Sisters - Puppy Rescue (Europe) (En,Fr,De,Es,It)",RVL-SVQP-EUR-B0,,,,
"Barbie & Her Sisters - Puppy Rescue (USA) (En,Fr,Es,Pt)",RVL-SVQE-USA-B0,,,,
"Barbie and the Three Musketeers (Europe) (En,Fr,De,Es,It,Nl)",RVL-R23P-EUR-B0,,,,
"Barbie and the Three Musketeers (USA) (En,Fr)",RVL-R23E-USA-B0,,,,
"Barbie as the Island Princess (Europe) (En,Fr,De,Es,It,Nl)",RVL-RBVP-EUR,,,,
Barbie as the Island Princess (USA),RVL-RBVE-USA,,,,
Barbie as the Island Princess (USA) (Rev 1),RVL-RBVE-USA,,,,
"Barbie Dreamhouse Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",RVL-SNZP-EUR-B0,,,,
"Barbie Dreamhouse Party (USA) (En,Fr,Es)",RVL-SNZE-USA-B0,,,,
"Barbie Horse Adventures - Riding Camp (Europe) (En,Fr,De,Es,It,Nl)",RVL-RRCP-EUR,,,,
"Barbie Horse Adventures - Riding Camp (USA) (En,Fr)",RVL-RRCE-USA,,,,
"Barnyard - Shuyaku wa Ore, Ushi (Japan)",RVL-RBYJ-JPN,,,,
Baroque (UK),RVL-RM6P-UKV,,,,
Baroque (USA),RVL-RM6E-USA,,,,
Baroque for Wii (Japan) (Rev 1),RVL-ROQJ-JPN,,,,
"Barrio Sesamo - Preparados Listos Coco! El Videojuego ~ Sesamstraat - Klaar Voor de Start, Grover! De Game (Europe) (Es,Nl)",RVL-SESP-EUR-B0,,,,
Baseball Blast! (USA),RVL-R6IE-USA-B0,,,,
"Basketball Hall of Fame - Ultimate Hoops Challenge (USA) (En,Fr,Es)",RVL-SHFE-USA-B0,,,,
Bass Fishing Wii - Rokumaru Densetsu (Japan),RVL-RXPJ-JPN,,,,
Bass Fishing Wii - World Tournament (Japan),RVL-RXNJ-JPN-B0,,,,
Bass Pro Shops - The Hunt - Trophy Showdown (USA),RVL-SANE-USA-B0,,,,
Bass Pro Shops - The Hunt (USA),RVL-RU8E-USA-B0,,,,
Bass Pro Shops - The Strike - Tournament Edition (USA),RVL-S2OE-USA-B0,,,,
Bass Pro Shops - The Strike (USA),RVL-RY8E-USA-B0,,,,
"Batman - The Brave and the Bold - The Videogame (Europe) (En,Fr,De,Es,It,Nl)",RVL-S3BP-EUR-B0,,,,
"Batman - The Brave and the Bold - The Videogame (USA) (En,Fr,Es)",RVL-S3BE-USA-B0,,,,
"Battalion Wars 2 (Europe) (En,Fr,De,Es,It)",RVL-RBWP-EUR,,,,
Battalion Wars 2 (USA),RVL-RBWE-USA,,,,
"Battle of Giants - Dinosaurs Strike (USA) (En,Fr,Es)",RVL-SGXE-USA-B0,,,,
"Battle of the Bands (Europe) (En,Fr,De,Es,It)",RVL-RHXP-EUR,,,,
Battle of the Bands (USA),RVL-RHXE-USA,,,,
Battle Rage - Mech Conflict (USA),RVL-RRVE-USA-B0,,,,
"Battle vs. Chess (Europe) (En,Fr,De,Es,It)",RVL-SVSP-EUR-B0,,,,
"Battleship (Europe) (En,Fr,De,Es,It)",RVL-SVBP-EUR-B0,,,,
"Battleship (USA) (En,Fr)",RVL-SVBE-USA-B0,,,,
"Bauernhof, Der (Germany)",RVL-SHED-NOE-B0,,,,
"Beach Fun - Summer Challenge (Europe) (En,Fr,De,Es,It)",RVL-RV8P-EUR,,,,
"Beach Fun - Summer Challenge (USA) (En,Fr,Es)",RVL-RV8E-USA-B0,,,,
"Beastly (Europe) (En,Fr,De,Es,It,Nl)",RVL-SLYP-EUR-B0,,,,
"Beastly (USA) (En,Fr,Es)",RVL-SLYE-USA-B0,,,,
"Beat the Beat - Rhythm Paradise (Europe, Australia) (En,Fr,De,Es,It)",RVL-SOMP-EUR-B0,,,,
"Beatles, The - Rock Band (Europe) (En,Fr,De,Es,It)",RVL-R9JP-EUR-B0,,,,
"Beatles, The - Rock Band (USA) (En,Fr,Es)",RVL-R9JE-USA-B0,,,,
"Ben 10 - Alien Force - Vilgax Attacks (Europe) (En,Fr,De,Es,It)",RVL-SBNP-EUR-B0,,,,
"Ben 10 - Alien Force - Vilgax Attacks (USA) (En,Fr,Es)",RVL-SBNE-USA-B0,,,,
"Ben 10 - Alien Force (Europe) (En,Fr,De,Es,It)",RVL-RWTP-EUR-B1,,,,
"Ben 10 - Alien Force (USA) (En,Fr,Es)",RVL-RWTE-USA,,,,
"Ben 10 - Galactic Racing (Europe) (En,Fr,De,Es,It)",RVL-SA6P-EUR-B0,,,,
"Ben 10 - Galactic Racing (USA) (En,Fr,Es)",RVL-SA6E-USA-B0,,,,
"Ben 10 - Galactic Racing (USA) (En,Fr,Es) (Rev 1)",RVL-SA6E-USA-B0,,,,
"Ben 10 - Omniverse (Europe) (En,Fr,De,Es,It)",RVL-S5TP-EUR-B0,,,,
"Ben 10 - Omniverse (USA) (En,Fr,Es)",RVL-S5TE-USA-B0,,,,
"Ben 10 - Omniverse 2 (Europe) (En,Fr,De,Es,It)",RVL-SVYP-EUR-B0,,,,
"Ben 10 - Omniverse 2 (USA) (En,Fr,Es)",RVL-SVYE-USA-B0,,,,
"Ben 10 - Protector of Earth (Europe) (En,Fr,De,Es,It)",RVL-RBNX-EUR,,,,
Ben 10 - Protector of Earth (UK),RVL-RBNP-UKV,,,,
Ben 10 - Protector of Earth (USA),RVL-RBNE-USA,,,,
"Ben 10 - Ultimate Alien - Cosmic Destruction (Europe) (En,Fr,De,Es,It)",RVL-SBJP-EUR-B0,,,,
"Ben 10 - Ultimate Alien - Cosmic Destruction (USA) (En,Fr,Es)",RVL-SBJE-USA-B0,,,,
Benjamin Bluemchen - Toeroeoeoe im Zoo (Germany),RVL-SUZD-GER-B0,,,,
Bermuda Triangle - Saving the Coral (USA),RVL-SBZE-USA-B0,,,,
