redump_name,serial_1,serial_2,serial_3
DinoPark Tycoon (USA),,,
Diving Spot Guide - Marine Tour (Japan),FZ-SJ2551,,
Doctor Hauzer (Japan),FZ-SJ0701,,
"Doom (USA, Japan)",,,
"Dragon Lore - The Legend Begins (USA, Europe) (Disc 1)",,,
"Dragon Lore - The Legend Begins (USA, Europe) (Disc 2)",,,
"Dragon Lore - The Legend Begins (USA, Europe) (Disc 3)",,,
Dragon Tycoon Edge (Japan),IMP-SE1001,,
"Dragon's Lair (Europe) (En,Fr,De,It)",,,
Dragon's Lair (Japan),FZ-SJ0153,,
Dragon's Lair (USA) (RE1),,,
"Dragon's Lair (USA, Korea)",GDT-GA 011,,
Drug Wars (USA),,,
D's Diner - The Director's Cut (Japan) (Disc A),FZ-SJ2356,,
D's Diner - The Director's Cut (Japan) (Disc B),FZ-SJ2356,,
D's Diner - The Director's Cut (Japan) (Disc C),FZ-SJ2356,,
Emit Vol. 1 - Toki no Maigo (Japan),FZ-SJ2854,,
Emit Vol. 2 - Inochigake no Tabi (Japan),FZ-SJ2855,,
Emit Vol. 3 - Watashi ni Sayonara o (Japan),FZ-SJ2856,,
Endlessly (USA),,,
Escape from Monster Manor (Europe),,,
"Escape from Monster Manor (Korea) (En,Ko)",GDT-GA091,,
Escape from Monster Manor (USA),,,
ESPN Baseball - Hitting (USA),SBB-01-3DO,,
ESPN Fitness Pros - Step Aerobics (USA),SEF-01-3DO,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 1),,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 2),,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 3),,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 4),SGK-01-3DO,,
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 1) (Shot Yousei Kouza Vol. 1),FZ-SJ1854,,
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 2) (Shot Yousei Kouza Vol. 2),FZ-SJ1854,,
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 3) (Pro ni Kike!),FZ-SJ1854,,
"ESPN Let's Go Skiing with Picabo Street, A. J. Kitt & Holly Flanders (USA)",SSK-01-3DO,,
ESPN Let's Play Beach Volleyball with Karch Kiraly and Karolyn Kirby (USA),SBV-01-3DO,,
ESPN Let's Play Soccer with John Harkes and Mia Hamm (USA),SSO-01-3DO,,
ESPN Let's Play Tennis with Tracy Austin (USA),STE-01-3DO,,
"Eye of Typhoon, The (Korea)",GDT-GA391,,
"Eye of Typhoon, The (Korea) (Ko) (Disc 1)",VIC-PS0001K,,
"Eye of Typhoon, The (Korea) (Rerelease)",VIC-PS0001K,,
F1GP (Japan),PCRA-00001,,
Family Feud (USA),,,
"Fatty Bear's Birthday Surprise (Japan) (En,Ja)",FZ-SJ2154,,
Fatty Bear's Birthday Surprise (USA),,,
Fatty Bear's Fun Pack (Korea),GDT-EA 011,,
Fatty Bear's Funpack (Japan),FZ-SJ2152,,
Fatty Bear's Funpack (USA),,,
FB Battery Navi Ver. II (Japan),V2-9607,,
FIFA International Soccer (Europe),,,
"FIFA International Soccer (USA, Korea)",5408, 7461, GDT-GA 201
Fire Ball!! (Japan),FZ-SJ0801,,
Fire Ball!! (Japan) (Rev 1),FZ-SJ0801,,
Firewall (Korea),GDT-GA371,,
"Flashback - The Quest for Identity (USA) (En,Fr)",,,
"Flashback (Europe) (En,Fr)",,,
"Flashback (Japan) (En,Ja,Fr,De,It,Nl)",IMP-SD0103,,
Flopon World (Japan),FZ-SJ2354,,
Flopon World (Japan) (Demo),FZ-JJ9DSF-5H,,
Flying Nightmares (Europe),,,
Flying Nightmares (USA),,,
Foes of Ali (Europe),E296DCXD,,
Foes of Ali (USA),,,
Foes of Ali (USA) (Beta) (1995-11-07),,,
Footie (USA) (Powerslide Bonus Disk) (Unl),,,
"Fun 'n Games - Soft no Omochabako (Japan) (En,Ja)",FZ-SJ1953,,
Fun 'n Games (USA),FZ-BG0001,,
Gakkou no Kowai Uwasa - Hanako-san ga Kita!! (Japan),AMCD5014,,
Game no Tatsujin (Japan),11T-3DO-0010,,
Gateway to English - Eigo de Go! (Japan),FZ-SJ6051,,
"Gex (Japan, Korea)",FZ-SJ3152, GDT-GA291,
"Gex (USA, Europe)",,,
Ghost Hunter Series - Kuroki Shi no Kamen (Japan),FZ-SJ0501,,
Ghost Hunter Series - Kuroki Shi no Kamen (Japan) (Rev 1),FZ-SJ0501,,
Goal FH (Field Hunter) (Japan),FZ-SJ7351,,
Great! Soccer Kid (Japan),IMP-SD0201,,
Gridders (Europe),,,
Gridders (Japan),IMP-SJ0202,,
"Gridders (USA, Korea)",GDT-GA141,,
Grimm Meisaku Gekijou Vol. 1 - Bremen no Ongakutai (Japan),FZ-SJ3051,,
Grimm Meisaku Gekijou Vol. 2 - Hansel to Gretel (Japan),FZ-SJ3052,,
Grimm Meisaku Gekijou Vol. 3 - Akazukin (Japan),FZ-SJ3053,,
Guardian War (Canada),FZ-SC0202,,
"Guardian War (USA, Korea)",FZ-SM0202, GDT-GA 021,
Hatsubai 1 Shuunen - 3DO REAL - Tokubetsu Premium CD (Japan),FZ-JJ9DS1-5C,,
Hell - A Cyberpunk Thriller (USA),,,
Hello Kitty - Asobi no Omochabako (Japan),FZ-SJ6251,,
"Hirata Shougo Interactive Ehon - Aesop Monogatari Vol. 1 (Japan) (En,Ja,Fr)",FZ-SJ3952,,
"Hirata Shougo Interactive Ehon - Cinderella (Japan) (En,Ja,Fr)",FZ-SJ3955,,
"Hirata Shougo Interactive Ehon - Ningyo-hime (Japan) (En,Ja,Fr)",FZ-SJ3953,,
"Hirata Shougo Interactive Ehon - Ookami to Shichihiki no Koyagi (Japan) (En,Ja,Fr)",FZ-SJ3956,,
"Hirata Shougo Interactive Ehon - Sanbiki no Kobuta (Japan) (En,Ja,Fr)",FZ-SJ3954,,
"Hirata Shougo Interactive Ehon - Shirayuki-hime (Japan) (En,Ja,Fr)",FZ-SJ3951,,
Hitchcock ni Chousen (Japan),PT-1,,
"Horde, The (Japan)",FZ-SJ1853,,
"Horde, The (USA)",,,
"Horde, The (USA) (RCB)",,,
"Horde, The (World)",61030-C RCB, GDT-GA061,
Icebreaker (USA),FZ-SW0001,,
Icebreaker (USA) (Beta),,,
Icebreaker II (USA) (Bonus Disk) (Unl),,,
Ide Yousuke Meijin no Shin Jissen Mahjong (Japan),FZ-SJ3852,,
Idol Janshi Suchie-Pai Special (Japan),IMP-SF0301,,
Idol Mahjong - Final Romance 2 - Hyper Edition (Japan),FZ-SJ7751,,
Igo Time Trial - Shikatsu Daihyakka (Japan),FZ-SJ2252,,
Igo Time Trial - Tsumego I (Japan),FZ-SJ2251,,
Immercenary - Combat in a Digital World (USA),,,
Immercenary (Europe),,,
Immortal Desire (USA),,,
"Incredible Machine, The - Pararancho (Japan)",FZ-SJ0154,,
"Incredible Machine, The (Europe)",,,
"Incredible Machine, The (USA)",,,
Insector War (Japan),FZ-SJ0702,,
"Interplay 3DO Buffet, The (USA)",,,
Iron Angel of the Apocalypse - Tetsujin (Europe),FZ-SE1001,,
Iron Angel of the Apocalypse - Tetsujin (USA),SC3D-001,,
Iron Angel of the Apocalypse - The Return (USA),,,
Ishida Yoshio Kudan no Igo Seiha (Japan),FZ-SJ1662,,
J. B. Harold - Blue Chicago Blues (Japan) (Disc 1),FZ-SJ0751,,
J. B. Harold - Blue Chicago Blues (Japan) (Disc 2),FZ-SJ0751,,
J.League Virtual Stadium (Japan),FZ-JJ9DSJ-4I, FZ-SJ1659, FZ-SJ1659R
J.League Virtual Stadium '95 (Japan),E3D-7032,,
Jammit (USA),,,
Jiei Shoubou Katsudou no Gakushuu - 3DO TES (3DO Training Educational System) (Japan),TGI-MM01,,
Jietai World (Japan),JV-SP9501,,
Jikki Pachi-Slot Simulator Vol. 1 (Japan),FZ-SJ1667,,
John Madden Football (USA),,,
John Madden Football (USA) (Alt),,,
John Madden NFL Football (Europe),,,
Johnny Bazookatone (Europe),,,
Johnny Bazookatone (USA),,,
Jurassic Park Interactive (Japan),FZ-SJ2051,,
Jurassic Park Interactive (USA),,,
Kakinoki Shougi (Japan),FZ-SJ0902,,
Keiba Saishou no Housoku (Japan),FZ-SJ3651,,
Kero Kero Keroppi to Origami no Tabibito (Japan),FZ-SJ6252,,
Killing Time (Europe),,,
Killing Time (USA) (Beta) (1995-10-05),,,
Killing Time (USA) (RE1),,,
Killing Time (USA) (RE2),,,
Kingdom - The Far Reaches (USA) (Beta),,,
"Kingdom - The Far Reaches (USA, Europe)",,,
