Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,Playable_Regions,Company_Short,Hardware_ID,Maker_ID,Device_Info,Area_Symbols,Peripherals,Boot_Filename
F355 Challenge - Passione Rossa (USA),F355 CHALLENGE,MK-0100,V1.000,20000830,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
F355 Challenge (Japan),F355 CHALLENGE,HDR-0100,V1.003,20000713,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
F355 Challenge (Japan) (Taikenban),F355 TRIAL,6107899,V1.002,20000619,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799210,1ST_READ.BIN
Fast Striker Ver. 1.5 (Europe) (Unl) (Rerelease),(empty),MK1014,V1.000,20061202,"Japan/Asia, USA/Canada, Europe",NG:DEV.TEAM,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,1011,1ST_READ.BIN
Fatal Fury - Mark of the Wolves (USA),FATAL FURY MARK OF THE WOLVES,T44306N,V0.800,20010925,USA/Canada,SEGA LC-T-443,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,01BBA10,1ST_READ.BIN
Feet of Fury (USA) (Unl),FEET OF FURY,T0000,V1.000,20030607,"Japan/Asia, USA/Canada, Europe",CRYPTIC ALLUSION,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,E000F10,1ST_READ.BIN
"Fighting Force 2 (Europe) (En,Fr)",FIGHTING FORCE 2,36802D 80,V1.000,19991220,Europe,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Fighting Force 2 (Germany),FIGHTING FORCE 2,36802D 18,V1.000,19991202,"USA/Canada, Europe",,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,UE,799810,1ST_READ.BIN
Fighting Force 2 (USA),FIGHTING FORCE 2,36801N,V1.000,19991217,USA/Canada,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799810,1ST_READ.BIN
Fighting Force 2 (USA) (Rev A),FIGHTING FORCE 2,36801N,V1.000,19991217,USA/Canada,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799810,1ST_READ.BIN
Fighting Vipers 2 (Europe) (Beta) (2000-12-26),FIGHTING VIPERS2,MK-5115450,V1.000,20001226,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,01BFA10,1ST_READ.BIN
"Fighting Vipers 2 (Europe) (En,Ja,Fr,De,Es,It)",FIGHTING VIPERS2,MK-5115450,V1.001,20001229,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,01BFA10,1ST_READ.BIN
"Fighting Vipers 2 (Japan) (En,Ja)",FIGHTING VIPERS2,HDR-0133,V1.001,20001019,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,01BFA10,1ST_READ.BIN
"Finding Teddy (USA, Japan) (Unl)",Finding Teddy,T9464N,V1.000,20190305,"Japan/Asia, USA/Canada, Europe",JOSHPROD,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,1810,1ST_READ.BIN
Fire Pro Wrestling D (Japan),FIRE PROWRESTLING D,T18805M,V1.002,20010122,Japan/Asia,SEGA LC-T-188,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,8799810,1ST_READ.BIN
First Kiss Story (Japan) (Disc 1),FIRST KISS STORY,T46304M,V1.002,20020625,Japan/Asia,SEGA LC-T-463,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,0119A00,1ST_READ.BIN
First Kiss Story (Japan) (Disc 2),FIRST KISS STORY,T46304M,V1.002,20020625,Japan/Asia,SEGA LC-T-463,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,0119A00,1ST_READ.BIN
First Kiss Story II - Anata ga Iru kara (Japan) (Disc 1),FIRST KISS STORY 2,T46305M,V1.011,20020713,Japan/Asia,SEGA LC-T-463,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,199810,1ST_READ.BIN
First Kiss Story II - Anata ga Iru kara (Japan) (Disc 2),FIRST KISS STORY 2,T46305M,V1.011,20020713,Japan/Asia,SEGA LC-T-463,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,199810,1ST_READ.BIN
Fish Eyes + Wild (Japan),FISHEYESWILD,T9105M,V1.003,20010122,Japan/Asia,LC-T-91,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,1699A00,1ST_READ.BIN
Flag to Flag (USA),CART RACING,MK-51007,V1.000,19990719,USA/Canada,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799810,1ST_READ.BIN
"Flashback (USA, Japan) (Unl)",FLASHBACK,T1623N,V1.000,20171105,"Japan/Asia, USA/Canada, Europe",JOSHPROD,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,1810,1ST_READ.BIN
"Flintstones, The - Viva Rock Vegas (Europe) (En,Fr,De,Es,It) (Proto) (2001-09-19)",VIVA ROCK VEGAS,T-45003D50,V1.002,20010919,Europe,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
Floigan Bros. - Episode 1 (Europe),FLOIGAN BROS. EPISODE 1: MOIGLE'S SECRET PROJECT,MK-51114,V1.002,20010920,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
Floigan Bros. - Episode 1 (USA),FLOIGAN BROS. EPISODE 1  MOIGLE'S SECTRET PROJECT,MK-51114,V1.001,20010706,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799810,1ST_READ.BIN
For Symphony - With All One's Heart (Japan),FOR SYMPHONY,T37908M,V0.800,20030619,Japan/Asia,SEGA LC-T-379,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,199811,0WINCEOS.BIN
Fragrance Tale (Japan),FRAGRANCE TAIL,T37905M,V1.002,20010615,Japan/Asia,SEGA LC-T-379,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,199811,0WINCEOS.BIN
Frame Gride - Test Operation Disc (Japan),FRAME GRIDE,6107123,V1.005,19990510,Japan/Asia,FROM LC-T-340,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799200,1ST_READ.BIN
Frame Gride (Japan),FRAME GRIDE,T34201M,V4.000,19990705,Japan/Asia,SEGA LC-T-342,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Freestyle Scooter (Europe),FREESTYLE SCOOTER,T40214D 50,V1.000,20010629,Europe,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Frogger 2 - Swampy's Revenge (USA),FROGGER 2,T40604N,V1.001,20000910,USA/Canada,SEGA LC-T-406,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,199810,1ST_READ.BIN
Fur Fighters (Europe) (Demo),FUR FIGHTERS,8D-0008-50,V1.000,20000329,"Japan/Asia, USA/Canada, Europe",,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,JUE,0799A10,1ST_READ.BIN
"Fur Fighters (Europe) (En,Fr,De,Es)",FUR FIGHTERS,T-8113D-50,V1.003,20000612,Europe,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
"Fur Fighters (USA) (En,Fr,De,Es)",FUR FIGHTERS,T-8107N,V2.001,20000629,USA/Canada,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,07D9A10,1ST_READ.BIN
Fur Fighters + Dead or Alive 2 (Europe) (Demo),FUR FIGHTERS AND DOA 2 DEMO DISK,D-0009-50,V1.100,20000412,Europe,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799010,1ST_READ.BIN
Fushigi no Dungeon - Fuurai no Shiren Gaiden - Onna Kenshi Asuka Kenzan! (Japan),FUSIGINODANZYON FUURAINOSIRENGAIDEN ONNAKENSIASUKAKENZAN,HDR-0187,V1.006,20020117,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1NOSDC.BIN
"FX Unit Yuki (USA, Japan) (Unl)",FX Unit Yuki,MK0788,V1.000,20190306,"Japan/Asia, USA/Canada, Europe",JOSHPROD,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,1810,1ST_READ.BIN
