Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,Playable_Regions,Company_Short,Hardware_ID,Maker_ID,Device_Info,Area_Symbols,Peripherals,Boot_Filename
"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",18WHEELER,MK-5106450,V1.700,20010430,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
18 Wheeler - American Pro Trucker (Japan),18WHEELER AMERICAN-PRO-TRUCKER,HDR-0080,V1.006,20000909,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
18 Wheeler - American Pro Trucker (USA),18WHEELER,MK-51064,V1.500,20010423,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
21 - Two One (Japan),21-TWOONE-,T46503M,V1.003,20011118,Japan/Asia,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799800,1ST_READ.BIN
"4 Wheel Thunder (Europe) (En,Fr)",4WHEELTHUNDER,T-9706D-50,V1.002,20000408,Europe,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,4WT.BIN
4 Wheel Thunder (USA),4WHEELTHUNDER,T-9708N,V1.002,20000405,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,4WT.BIN
4x4 Evo (USA),4X4 EVOLUTION,T41903N,V1.001,20001012,USA/Canada,SEGA LC-T-419,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799811,0WINCEOS.BIN
"90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It)",90MINUTES -SEGA CHAMPIONSHIP FOOTBALL-,MK-5119050,V1.009,20010921,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
Action Replay CDX - Demo Version (UK) (Unl),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWSHARK.TXT
Action Replay CDX Version 3.0 (France) (Unl),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWXXXXX.TXT
Advanced Daisenryaku - Sturm ueber Europa - Der Deutsche Blitzkrieg (Japan),ADVANCED DAISENRYAKU,HDR-0066,V1.013,20000529,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Advanced Daisenryaku 2001 (Japan),ADVANCED DAISENRYAKU 2001,HDR-0158,V1.008,20010403,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,A799A10,1ST_READ.BIN
Aero Dancing - Todoroki Taichou no Himitsu Disc (Japan),AERO DANCING TODOROKI TAICHOU NO HIMITSU DISK,T6803M,V1.001,19991130,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799B10,1ST_READ.BIN
Aero Dancing F - Todoroki Tsubasa no Hatsu Hikou (Japan),AERODANCING F/TODOROKI TSUBASA NO HATSU-HIKO,T6805M,V2.000,20001017,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Aero Dancing F (Japan),AERODANCING F,T6804M,V1.006,20000121,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Aero Dancing F (Japan) (Rev A),AERODANCING F,T6804M,V2.000,20000215,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Aero Dancing F (Japan) (Taikenban),AERODANCING F TRIAL,6107740,V1.000,19991213,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799210,1ST_READ.BIN
Aero Dancing featuring Blue Impulse (Japan),AERO DANCING FEATURING BLUE IMPULSE,T6802M,V1.003,19990201,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Aero Dancing featuring Blue Impulse (Japan) (Tentou Taikenban),AERODANCING FEATURING BLUEIMPULSE TAIKENBAN,6107106,V1.001,19990115,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799210,1ST_READ.BIN
Aero Dancing i - Jikai Saku made Matemasen (Japan),AERO DANCING I/JIKAI-SAKU MADE MATEMASEN,T6809M,V1.000,20010622,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Aero Dancing i (Japan),AERO DANCING I,T6807M,V1.002,20010108,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Aero to Jet de Dancing! (Japan) (Taikenban Disc),AERO TO JET DE DANCING,6108017,V1.001,20001222,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799210,1ST_READ.BIN
"AeroWings (Europe) (En,Fr,De)",AEROWINGS,T40202D 50,V1.001,19990819,Europe,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A00,1ST_READ.BIN
AeroWings (USA),AEROWINGS,T40201N,V1.002,19990811,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
"AeroWings 2 - Airstrike (Europe) (En,De)",AEROWINGS 2 AIR STRIKE,T40209D 50,V1.001,20000718,Europe,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A00,1ST_READ.BIN
AeroWings 2 - Airstrike (USA),AEROWINGS 2 AIR STRIKE,T40210N,V1.001,20000616,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
After... Wasureenu Kizuna (Japan),AFTER,T18706M,V1.002,20040113,Japan/Asia,SEGA LC-T-187,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Aikagi - Hidamari to Kanojo no Heyagi (Japan),AIKAGI,T20130M,V1.001,20030707,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A00,1ST_READ.BIN
Air (Japan) (Rev A),AIR,T20112M,V2.000,20010827,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
AirForce Delta (Japan),AIRFORCE DELTA,T9502M,V1.002,19990614,Japan/Asia,SEGA LC-T-95,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799800,0
AirForce Delta (USA),AIRFORCE DELTA,T9501N,V1.000,19990721,USA/Canada,SEGA LC-T-95,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799800,0
Akihabara Dennou-gumi Pata Pies! (Japan),AKIHABARA DENNOUGUMI PATAPIES,HDR-0019,V1.000,19990415,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,19810,1ST_READ.BIN
Alice Dreams (France) (Demo) (Unl),TODC                                                                             tdEtdE,T0000,V2.1.0,20020607,"Japan/Asia, USA/Canada, Europe",JP LANG,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,E000F10,1ST_READ.BIN
Alice Dreams Tournament (USA) (Disc 1) (Unl),BootDreams,T0000,V1.000,20161026,"Japan/Asia, USA/Canada, Europe",fackue,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,E000010,1ST_READ.BIN
Alice Dreams Tournament (USA) (Disc 2) (Unl),BootDreams,T0000,V1.000,20161026,"Japan/Asia, USA/Canada, Europe",fackue,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,E000010,1ST_READ.BIN
"Alice Sisters (USA, Japan) (Unl)",Alice Sisters,T0000,V4.2,20200106,"Japan/Asia, USA/Canada, Europe",OrionSoft,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,0009C10,1ST_READ.BIN
Alien Front Online (USA),ALIENFRONT ONLINE,MK-51171,V1.000,20010625,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2.80E+13,1ST_READ.BIN
Alone in the Dark - The New Nightmare (Europe) (Disc 1),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,E,0799A10,1ST_READ.BIN
Alone in the Dark - The New Nightmare (Europe) (Disc 2),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,E,0799A10,1ST_READ.BIN
Alone in the Dark - The New Nightmare (France) (Disc 1),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,E,0799A10,1ST_READ.BIN
Alone in the Dark - The New Nightmare (France) (Disc 2),ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,E,0799A10,1ST_READ.BIN
"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 1)",ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,E,0799A10,1ST_READ.BIN
"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 2)",ALONE IN THE DARK 4 - THE NEW NIGHTMARE,T15117N,V1.000,20010423,Europe,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,E,0799A10,1ST_READ.BIN
Alone in the Dark - The New Nightmare (USA) (Disc 1),ALONE IN THE DARK - THE NEW NIGHTMARE,T15117N,V1.000,20010716,USA/Canada,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,U,0799A10,1ST_READ.BIN
Alone in the Dark - The New Nightmare (USA) (Disc 2),ALONE IN THE DARK - THE NEW NIGHTMARE,T15117N,V1.000,20010716,USA/Canada,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,U,0799A10,1ST_READ.BIN
AM2 of CRI 2001 New Lineup Movie Collection (Japan),AM2 OF CRI 2001 NEW LINEUP MOVIE COLLECTION,6108018,V1.002,20001216,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,219010,1ST_READ.BIN
Angel Present (Japan),ANGELPRESENT,T20107M,V1.001,20001222,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Angel Wish - Kimi no Egao ni Chu! (Japan),ANGEL WISH,T18712M,V1.003,20050121,Japan/Asia,SEGA LC-T-187,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,499810,1ST_READ.BIN
Animastar (Japan),ANIMASTAR,T34101M,V1.009,20000519,Japan/Asia,SEGA LC-T-341,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Ao no 6-gou - Saigetsu Hito o Matazu - Time and Tide (Japan),BLUE6 -TIME AND TIDE-,HDR-0075,V1.008,20001109,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
"Aqua GT (Europe) (En,Fr,De)",AQUA GT,T40509D 50,V1.000,20001114,Europe,SEGA LC-T-405,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799800,1ST_READ.BIN
Armada (USA),ARMADA,T40301N 00,V1.000,19991104,USA/Canada,SEGA LC-T-403,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799811,0WINCEOS.BIN
"Army Men - Sarge's Heroes (Europe) (En,Fr,De,Es,It)",ARMY MEN SARGES HEROES,T9708D  50,V1.001,20001006,Europe,SEGA LC-T-97,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A00,1ST_READ.BIN
Army Men - Sarge's Heroes (USA),ARMY MEN SARGES HEROES,T-9715N,V1.001,20000908,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A00,1ST_READ.BIN
Army Men - Sarge's Heroes (USA) (Demo),ARMY MEN SARGES HEROES,T-9715N,V1.001,20000908,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A00,1ST_READ.BIN
Atari Anniversary Edition (USA),ATARI ANNIVERSARY EDITION,T15130N,V1.001,20010608,USA/Canada,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,699011,0WINCEOS.BIN
Atsumare! Guru Guru Onsen (Japan),ATSUMARE GURU GURU ONSEN,HDR-0015,V1.008,19990831,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Atsumare! Guru Guru Onsen (Japan) (Demo 1),ATSUMARE GURU GURU ONSEN TAIKENBAN,6107187,V1.000,19990723,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Atsumare! Guru Guru Onsen (Japan) (Demo 2),ATSUMARE GURU GURU ONSEN TAIKENBAN,6107187,V1.001,19990727,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Atsumare! Guru Guru Onsen BB (Japan),ATSUMARE GURU GURU ONSEN BB,HDR-0121,V1.002,20001005,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Atsumare! Guru Guru Onsen BB (Japan) (Rev A),ATSUMARE GURU GURU ONSEN BB,HDR-0121,V1.100,20001224,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Final Edition (Japan),GEKKA NO KENSHI2 FINAL EDITION,T3107M,V1.003,20001024,Japan/Asia,SEGA LC-T-31,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,07BBA00,1ST_READ.BIN
Bakuretsu Muteki Bangaioh (Japan),BAKURETSUMUTEKI BANGAIOH,T38702M,V1.003,19991026,Japan/Asia,SEGA LC-T-387,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799800,1ST_READ.BIN
Baldr Force EXE (Japan),BALDR FORCE EXE,T47110M,V1.002,20040928,Japan/Asia,SEGA LC-T-471,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,A799A10,1ST_READ.BIN
"Bang! Gunship Elite (USA) (En,Fr,De)",BANG! GUNSHIP ELITE,T44102N,V1.003,20001204,USA/Canada,SEGA LC-T-441,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799811,0WINCEOS.BIN
"Bangai-O (Europe) (En,Fr,De)",BANGAI-O,T7011D  50,V1.001,20000901,Europe,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799800,1ST_READ.BIN
Bangai-O (USA),BANGAI-O,T40217N,V1.001,20001214,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799800,1ST_READ.BIN
Bass Rush Dream - EcoGear PowerWorm Championship (Japan),BASS RUSH DREAM,T5801M,V2.000,20001121,Japan/Asia,SEGA LC-T-58,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Battle Beaster (Japan),BATTLE BEASTER,T43801M,V1.003,20010218,Japan/Asia,SEGA LC-T-438,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0199C10,1ST_READ.BIN
"Battle Crust (USA, Japan) (Unl)",BootDreams,T0000,V1.000,20160817,"Japan/Asia, USA/Canada, Europe",fackue,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,E000010,1ST_READ.BIN
Berserk - Millennium Falcon-hen - Wasurebana no Shou (Japan),BERSERK,T2101M,V1.001,19991104,Japan/Asia,SEGA LC-T-21,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Berserk - Millennium Falcon-hen - Wasurebana no Shou (Japan) (Taikenban),BERSERK TRIAL VERSION R,6107370,V1.001,19991005,Japan/Asia,SEGA LC-T-00,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799200,1ST_READ.BIN
BikkuriMan 2000 - Viva! Festiva! (Japan),BIKKURIMAN 2000 VIVA FESTIVA,T41801M,V1.002,20000406,Japan/Asia,SEGA LC-T-418,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 1),BIOHAZARD CODE VERONICA PLUS,T1240M,V1.003,20010109,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,0799A10,1ST_READ.BIN
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 2),BIOHAZARD CODE VERONICA PLUS,T1240M,V1.003,20010109,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Biohazard - Code - Veronica - Trial Edition (Japan),BIOHAZARD2 VALUE PLUS,T1214M,V1.003,19991115,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM3/3,J,799210,1ST_READ.BIN
Biohazard - Code - Veronica (Japan) (Disc 1),BIOHAZARD CODE VERONICA,T1207M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,0799A10,1ST_READ.BIN
Biohazard - Code - Veronica (Japan) (Disc 1) (Genteiban),BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,0799A10,1ST_READ.BIN
Biohazard - Code - Veronica (Japan) (Disc 2),BIOHAZARD CODE VERONICA,T1207M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Biohazard - Code - Veronica (Japan) (Disc 2) (Genteiban),BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Biohazard - Code - Veronica (Japan) (Tentou-you Demo Movie),BIOHAZARD CODE VERONICA,6107724,V1.000,19991215,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799010,1ST_READ.BIN
Biohazard 2 - Value Plus (Japan) (Disc 1),BIOHAZARD 2 VALUE PLUS,T1214M,V1.005,19991114,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/3,J,0799A11,0WINCEOS.BIN
Biohazard 2 - Value Plus (Japan) (Disc 2),BIOHAZARD 2 VALUE PLUS,T1214M,V1.005,19991114,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/3,J,0799A11,0WINCEOS.BIN
Biohazard 3 - Last Escape (Japan),BIOHAZARD3,T1222M,V1.002,20000913,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Black-Matrix Advanced (Japan) (Disc 1),BLACK MATRIX AD,T20101M,V1.002,19990905,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,199800,1ST_READ.BIN
Black-Matrix Advanced (Japan) (Disc 2),BLACK MATRIX AD,T20101M,V1.002,19990905,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,199800,1ST_READ.BIN
Blue Stinger (Europe),BLUE STINGER,T13001D-05,V1.000,19990722,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Blue Stinger (France),BLUE STINGER,T13001D 09,V1.000,19990811,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
"Blue Stinger (Germany) (En,De)",BLUE STINGER,T13001D 18,V1.000,19990803,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Blue Stinger (Japan),BLUE STINGER,HDR-0003,V1.006,19990304,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Blue Stinger (USA),BLUE STINGER,T13001N,V1.000,19990705,USA/Canada,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Blue-Sky-Blue[s] - Sora o Mau Tsubasa (Japan),SORAWOMAUTSUBASA,T23205M,V1.002,20030524,Japan/Asia,SEGA LC-T-232,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,00SOR.BIN
Bokomu no Tatsujin (Japan),BOKOMU NO TATSUJIN,T42904M,V1.004,20011127,Japan/Asia,SEGA LC-T-429,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Boku Doraemon (Japan),BOKU DORAEMON,T41802M,V1.003,20001204,Japan/Asia,SEGA LC-T-418,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Boku no Tennis Jinsei (Japan),BOKU NO TENNIS JINSEI,T41202M,V1.005,20010807,Japan/Asia,SEGA LC-T-412,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
"Boku to, Bokura no Natsu (Japan)",BOKU TO BOKURA NO NATU,T19717M,V1.001,20020724,Japan/Asia,SEGA LC-T-197,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bomber Hehhe! (Japan),BOMBER HEHHE,T42903M,V1.004,20010926,Japan/Asia,SEGA LC-T-429,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bomberman Online (USA),BOMBERMAN ONLINE,MK-51065,V1.004,20011004,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Border Down (Japan),BORDER DOWN,T46703M,V1.000,20030813,Japan/Asia,SEGA LC-T-467,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0199A10,1ST_READ.BIN
Bounty Hunter Sara - Holy Mountain no Teiou (Japan),BOUNTY HUNTER SARA SCENARIO1,T1243M,V1.001,20010328,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0199A10,0.BIN
"Breakers (USA, Japan) (Unl)",IP.BIN,T0000,V1.000,20000627,"Japan/Asia, USA/Canada, Europe",Jacob Alberty,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,E000F10,1ST_READ.BIN
Broadband Passport (Japan),BROADBAND PASSPORT,6107883,V1.000,20000613,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799910,1ST_READ.BIN
"Buggy Heat (Europe) (En,Fr,De,Es)",BUGGYHEAT,MK-5104050,V1.001,19990916,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A00,1ST_READ.BIN
Buggy Heat (Japan),BUGGYHEAT,T6801M,V1.004,19990603,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bust-A-Move 4 (Europe),BUST-A-MOVE4,T-8109D-50,V1.001,20000511,Europe,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0199A01,0WINCEOS.BIN
Bust-A-Move 4 (USA),BUST A MOVE 4,T-8117N,V1.001,20000516,USA/Canada,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,019FA01,0WINCEOS.BIN
Caesars Palace 2000 - Millennium Gold Edition (Europe),CAESARS PALACE 2000,12502D-50,V1.000,20000313,Europe,RUNECRAFT,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,199811,0WINCEOS.BIN
Caesars Palace 2000 - Millennium Gold Edition (USA),CAESARS PALACE 2000,T-12504N,V1.011,20000829,USA/Canada,RUNECRAFT,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799811,0WINCEOS.BIN
Cafe Little Wish (Japan),CAFE LITTLEWISH,T46513M,V1.000,20030328,Japan/Asia,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Canary - Kono Omoi o Uta ni Nosete (Japan),CANARY,T20111M,V1.001,20010629,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Candy Stripe - Minarai Tenshi (Japan),CANDY STRIPE,HDR-0172,V1.002,20000101,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
