redump_name,Title,Foreign Title,serial
Sword Art Online - Infinity Moment (Japan),Sword Art Online: Infinity Moment,ソードアート･オンライン　－インフィニティ･モーメント－,ULJS 00557
Sword Art Online - Infinity Moment (Japan),Sword Art Online: Infinity Moment,ソードアート･オンライン　－インフィニティ･モーメント－,ULJS 00558
"Syphon Filter - Dark Mirror (Europe) (En,Fr,De,Es,It)",Syphon Filter: Dark Mirror,,UCES-00310
"Syphon Filter - Dark Mirror (Europe) (En,Fr,De,Es,It)",Syphon Filter: Dark Mirror,,UCES-00310/UK
"Syphon Filter - Dark Mirror (Europe) (En,Fr,De,Es,It) (Demo)",Syphon Filter: Dark Mirror,,UCED-00413/9677079
Syphon Filter - Dark Mirror (USA),Syphon Filter: Dark Mirror,,UCUS-98641
Syphon Filter - Dark Mirror (USA) (Demo),Syphon Filter: Dark Mirror,,UCUS 98656
"Syphon Filter - Logan's Shadow (Europe) (En,Fr,De,Es,It,Pl,Ru)",Syphon Filter: Logan's Shadow,,UCES-00710
Syphon Filter - Logan's Shadow (USA),Syphon Filter: Logan's Shadow,,UCUS-98606
Syphon Filter - Logan's Shadow (USA) (Beta) (2007-08-03),Syphon Filter: Logan's Shadow,,UCUS-98606
Syphon Filter - Logan's Shadow (USA) (Demo),Syphon Filter: Logan's Shadow,,UCUS 98704
System Software Update Ver. 3.73 (Japan),System Software Update Ver. 3.73,システムソフトウェアアップデート Ver. 3.73,UCJX 90027
System Software Update Ver. 3.73 (Japan),System Software Update Ver. 3.73,システムソフトウェアアップデート Ver. 3.73,UTST-99437
Tactics Ogre - Let Us Cling Together (Europe),Tactics Ogre: Let Us Cling Together,,ULES-01500
Tactics Ogre - Let Us Cling Together (USA),Tactics Ogre: Let Us Cling Together,,ULUS-10565
Tactics Ogre - Unmei no Wa (Japan),Tactics Ogre: Unmei no Wa,タクティクスオウガ 運命の輪,ULJM 05753
"Taiheiyou no Arashi - Senkan Yamato, Akatsuki ni Shutsugekisu! (Japan)",,,ULJS 00127
Taiko no Tatsujin Portable (Japan) (v1.01),Taiko no Tatsujin Portable,太鼓の達人　ぽ～たぶる,ULJS 00020
"Taiko no Tatsujin Portable (Japan, Asia) (v2.00)",Taiko no Tatsujin Portable,太鼓の達人　ぽ～たぶる,UCAS 40022
"Taiko no Tatsujin Portable (Japan, Asia) (v2.00)",Taiko no Tatsujin Portable,太鼓の達人　ぽ～たぶる,ULJS 00020
Taiko no Tatsujin Portable 2 (Japan),Taiko no Tatsujin Portable 2,太鼓の達人　ぽ～たぶる２,ULJS 00081
"Taiko no Tatsujin Portable DX (Japan, Korea)",Taiko no Tatsujin Portable DX,太鼓の達人　ぽ～たぶるＤＸ,ULJS 00383
"Taiko no Tatsujin Portable DX (Japan, Korea)",Taiko no Tatsujin Portable DX,太鼓の達人　ぽ～たぶるＤＸ,ULKS 46273
Taikou Risshiden IV (Japan),,,ULJM 05313
Taikou Risshiden IV (Japan),,,ULJM 06140
Taikou Risshiden V (Japan) (v3.00),Taikou Risshiden V,太閤立志伝Ⅴ,ULJM 06158
Taishou Mebiusline Portable (Japan),Taishou Mebiusline Portable,大正メビウスライン Portable,ULJM-06354
Taishou Yakyuu Musume. - Otome-tachi no Seishun Nikki (Japan),Taishou Yakyuu Musume.: Otome-tachi no Seishun Nikki,大正野球娘。～乙女達乃青春日記～,ULJM 05528
"Taito Legends Power-Up (Europe) (En,Fr,De,Es,It)",Taito Legends Power-Up,,ULES-00473
Taito Legends Power-Up (USA),Taito Legends Power-Up,,ULUS-10208
Tales of Destiny 2 (Japan),Tales of Destiny 2,テイルズ　オブ　デスティニー２,ULJS 00097
Tales of Eternia (Europe),Tales of Eternia,,ULES-00176
Tales of Eternia (Europe),Tales of Eternia,,ULES-00176#
Tales of Eternia (Japan),Tales of Eternia,テイルズ　オブ　エターニア,ULJS 00015
Tales of Eternia (Japan),Tales of Eternia,テイルズ　オブ　エターニア,ULJS 19004
Tales of Phantasia - Full Voice Edition (Japan),Tales of Phantasia: Full Voice Edition,テイルズ　オブ　ファンタジア　フルボイスエディション,ULJS 00079
Tales of Phantasia - Full Voice Edition (Japan),Tales of Phantasia: Full Voice Edition,テイルズ　オブ　ファンタジア　フルボイスエディション,ULJS 19016
Tales of Phantasia - Narikiri Dungeon X (Japan),Tales of Phantasia: Narikiri Dungeon X,テイルズ オブ ファンタジア なりきりダンジョンX,ULJS 00293
Tales of Rebirth (Japan),Tales of Rebirth,テイルズ　オブ　リバース,ULJS 00132
Tales of Rebirth (Japan),Tales of Rebirth,テイルズ　オブ　リバース,ULJS 19033
"Tales of the Heroes - Twin Brave (Japan, Korea)",Tales of the Heroes: Twin Brave,テイルズ オブ ザ ヒーローズ ツインブレイヴ,ULJS 00431
"Tales of the Heroes - Twin Brave (Japan, Korea)",Tales of the Heroes: Twin Brave,テイルズ オブ ザ ヒーローズ ツインブレイヴ,ULJS 00432
"Tales of the Heroes - Twin Brave (Japan, Korea)",Tales of the Heroes: Twin Brave,テイルズ オブ ザ ヒーローズ ツインブレイヴ,ULKS 46284
Tales of the World - Radiant Mythology (Europe),Tales of the World: Radiant Mythology,,ULES-00837
Tales of the World - Radiant Mythology (Japan),Tales of the World: Radiant Mythology,テイルズ　オブ　ザ　ワールド　レディアントマイソロジー,ULJS 00093
Tales of the World - Radiant Mythology (Japan),Tales of the World: Radiant Mythology,テイルズ　オブ　ザ　ワールド　レディアントマイソロジー,ULJS 19019
Tales of the World - Radiant Mythology (Japan) (PSP System Bundle),Tales of the World: Radiant Mythology,テイルズ　オブ　ザ　ワールド　レディアントマイソロジー,ULJM 95004
Tales of the World - Radiant Mythology (USA),Tales of the World: Radiant Mythology,,ULUS-10271
Tales of the World - Radiant Mythology 2 (Japan),Tales of the World: Radiant Mythology 2,テイルズ　オブ　ザ　ワールド　レディアントマイソロジー２,ULJS 00175
Tales of the World - Radiant Mythology 2 (Japan),Tales of the World: Radiant Mythology 2,テイルズ　オブ　ザ　ワールド　レディアントマイソロジー２,ULJS 19044
Tales of the World - Radiant Mythology 3 (Japan),Tales of the World: Radiant Mythology 3,テイルズ　オブ　ザ　ワールド　レディアント　マイソロジー３,ULJS 00294
Tales of VS (Japan),Tales of VS,テイルズ　オブ　バーサス,ULJS 00209
"TalkMan (Europe, Australia) (En,Ja,Fr,De,Es,It)",TalkMan,,UCES-00254
"TalkMan (Europe, Australia) (En,Ja,Fr,De,Es,It)",TalkMan,,UCES-00254/ANZ
TalkMan (Japan) (Soft Tantaiban),TalkMan,トークマン,UCJS 18018
"TalkMan (Japan, Asia) (En,Ja,Zh,Ko) (Microphone Doukonban)",TalkMan,トークマン,UCAS 40039
"TalkMan (Japan, Asia) (En,Ja,Zh,Ko) (Microphone Doukonban)",TalkMan,トークマン,UCJS 10009
"TalkMan (Japan, Asia) (En,Ja,Zh,Ko) (Microphone Doukonban)",TalkMan,トークマン,UCJS 18017
"TalkMan Euro! TalkMan Europa Gengo-ban (Japan) (En,Ja,Fr,De,Es,It)",TalkMan Euro! TalkMan Europa Gengo-ban,TalkMan EURO！　トークマン ヨーロッパ言語版,UCJS 10034
"TalkMan Euro! TalkMan Europa Gengo-ban (Japan) (En,Ja,Fr,De,Es,It)",TalkMan Euro! TalkMan Europa Gengo-ban,TalkMan EURO！　トークマン ヨーロッパ言語版,UCJS 18020
TalkMan Euro! TalkMan Europa Gengo-ban (Japan) (Microphone Doukonban),TalkMan Euro! TalkMan Europa Gengo-ban,TalkMan EURO！　トークマン ヨーロッパ言語版,UCJS 10033
Talkman Yeongeohoehwa Sudajaeng English (Korea),Talkman Yeongeohoehwa Sudajaeng English,ＴＡＬＫＭＡＮ 영어회화 수다쟁이 잉글리쉬,UCKS 45044
TalkMan-shiki - Shabelingual Eikaiwa (Japan) (Microphone Doukonban),,,UCJS 10050
TalkMan-shiki Shabelingual Eikaiwa (Japan),TalkMan-shiki Shabelingual Eikaiwa,TalkMan式　しゃべリンガル英会話,UCJS 10051
TalkMan-shiki Shabelingual Eikaiwa for Kids! (Japan),TalkMan-shiki Shabelingual Eikaiwa for Kids!,TalkMan式　しゃべリンガル英会話 for Kids!,UCJS 10054
"TalkMan-shiki Shabelingual Eikaiwa for Kids! (Japan) (En,Ja) (Microphone Doukonban)",TalkMan-shiki Shabelingual Eikaiwa for Kids!,TalkMan式　しゃべリンガル英会話 for Kids!,UCJS-10053
Tantei Jinguuji Saburou - Hai to Diamond (Japan),Tantei Jinguuji Saburou: Hai to Diamond,探偵　神宮寺三郎　灰とダイヤモンド,ULJM 05529
Tantei Opera - Milky Holmes (Japan),,,ULJS 00342
Tantei Opera - Milky Holmes 2 (Japan),,,ULJS 00520
Tanteibu - The Detective Club - Angou to Misshitsu to Kaijin to (Japan),Tanteibu: The Detective Club: Angou to Misshitsu to Kaijin to,たんていぶ THE DETECTIVE CLUB －暗号と密室と怪人と－,ULJM 05926
Tanteibu - The Detective Club - Tantei to Yuurei to Kaitou to (Japan),,,ULJM 05925
Te to Te Try On! Tropical (Japan),,,ULJM 05963
Tears to Tiara - Kakan no Daichi Portable (Japan),,,ULJM 05661
Tears to Tiara Gaiden - Avalon no Nazo Portable (Japan),,,ULJM 05662
Tegami Bachi - Kokoro Tsumugu Mono e (Japan),Tegami Bachi: Kokoro Tsumugu Mono e,テガミバチ　こころ紡ぐ者へ,ULJM 05587
Tekken - Dark Resurrection (Europe) (Beta) (2006-06-26),Tekken: Dark Resurrection,,UCET-00424/0.02
Tekken - Dark Resurrection (Europe) (Demo),Tekken: Dark Resurrection,,UCED-00448
"Tekken - Dark Resurrection (Europe) (En,Fr,De,Es,It) (v1.00)",Tekken: Dark Resurrection,,UCES-00356
"Tekken - Dark Resurrection (Europe) (En,Fr,De,Es,It) (v1.00)",Tekken: Dark Resurrection,,UCES-00356/9620587
"Tekken - Dark Resurrection (Europe, Australia) (En,Fr,De,Es,It) (v2.00)",Tekken: Dark Resurrection,,UCES-00356
"Tekken - Dark Resurrection (Europe, Australia) (En,Fr,De,Es,It) (v2.00)",Tekken: Dark Resurrection,,UCES-00356#
"Tekken - Dark Resurrection (Europe, Australia) (En,Fr,De,Es,It) (v2.00)",Tekken: Dark Resurrection,,UCES-00356/ANZ#
"Tekken - Dark Resurrection (Europe, Australia) (En,Fr,De,Es,It) (v2.00)",Tekken: Dark Resurrection,,UCES-00356/P
"Tekken - Dark Resurrection (Japan, Asia)",Tekken: Dark Resurrection,鉄拳 Dark Resurrection,UCAS-40164
"Tekken - Dark Resurrection (Japan, Asia)",Tekken: Dark Resurrection,鉄拳 Dark Resurrection,ULJS 00048
Tekken - Dark Resurrection (Korea),Tekken: Dark Resurrection,철권 다크 레저렉션,UCKS 45027
Tekken - Dark Resurrection (Korea),Tekken: Dark Resurrection,철권 다크 레저렉션,UCKS-45069
"Tekken - Dark Resurrection (USA) (En,Fr,De,Es,It)",Tekken: Dark Resurrection,,ULUS 10139
"Tekken - Dark Resurrection (USA) (En,Fr,De,Es,It)",Tekken: Dark Resurrection,,ULUS 10139GH
"Tekken 6 (Asia) (En,Ja,Fr,De,Es,It,Ko,Ru)",Tekken 6,철권６,ULAS 42214
"Tekken 6 (Europe) (En,Ja,Fr,De,Es,It,Ko,Ru)",Tekken 6,,ULES-01376
"Tekken 6 (Japan) (En,Ja,Fr,De,Es,It,Ko,Ru)",Tekken 6,鉄拳６,ULJS 19054
"Tekken 6 (Korea) (En,Ja,Fr,De,Es,It,Ko,Ru)",Tekken 6,철권６,ULKS 46235
"Tekken 6 (USA) (En,Ja,Fr,De,Es,It,Ko,Ru)",Tekken 6,,ULUS-10466
Telly Addicts (Europe),Telly Addicts,,ULES-00983
Tenchi no Mon (Asia),Tenchi no Mon,天地の門,UCAS 40018
Tenchi no Mon (Japan),Tenchi no Mon,天地の門,UCJS 10010
Tenchi no Mon (Japan) (Taikenban),Tenchi no Mon,天地の門,UCJM 95402
Tenchi no Mon (Korea),Tenchi no Mon,"天地의門, 천지의 문",UCKS-45011
Tenchi no Mon 2 - Busouden (Asia),Tenchi no Mon 2: Busouden,天地之門2 武雙傳,UCAS 40156
Tenchi no Mon 2 - Busouden (Japan),Tenchi no Mon 2: Busouden,天地の門２ ～武双伝～,UCJS 10047
"Tenchu - Shadow Assassins (Europe) (En,Fr,De,Es,It)",Tenchu: Shadow Assassins,,ULES-01237
Tenchu - Shadow Assassins (USA),Tenchu: Shadow Assassins,,ULUS-10419
Tenchu - Shinobi Taizen (Japan),Tenchu: Shinobi Taizen,天誅 忍大全,ULJS 00018
Tenchu - Shinobi Taizen (Japan),Tenchu: Shinobi Taizen,天誅 忍大全,ULJS 19007
"Tenchu - Time of the Assassins (Europe) (En,Fr,De,Es,It)",Tenchu: Time of the Assassins,,ULES-00277
Tenchu 4 (Japan),Tenchu 4,天誅４,ULJM-05425
Tenchu 4 Plus (Japan),,,ULJM 08027
"Test Drive Unlimited (Europe) (En,Fr,De,Es,It)",Test Drive Unlimited,,ULES-00637
"Test Drive Unlimited (Europe) (En,Fr,De,Es,It)",Test Drive Unlimited,,ULES-00637#
Test Drive Unlimited (USA),Test Drive Unlimited,,ULUS-10249
Thrillville - Off the Rails (Europe),Thrillville: Off the Rails,,ULES-00889
"Thrillville - Off the Rails (Europe) (Es,It)",Thrillville: Off the Rails,,ULES-00888
"Thrillville - Off the Rails (Europe) (Fr,De)",Thrillville: Off the Rails,,ULES-00887
Thrillville - Off the Rails (Korea),Thrillville: Off the Rails,스릴빌: 오프 더 레일,ULKS 46115
Thrillville - Off the Rails (USA),Thrillville: Off the Rails,,ULUS-10306
"Thrillville (Europe) (En,Fr,De,Es,It)",Thrillville,,ULES-00646
Thrillville (USA),Thrillville,,ULUS-10191
Tiandi Zhi Men (Asia),Tiandi Zhi Men,天地之門,UCAS 40089
Tiger & Bunny - Hero's Day (Japan),Tiger & Bunny: Hero's Day,タイガー＆バニー　～ヒーローズ・デイ～,ULJS 00568
Tiger & Bunny - Hero's Day (Japan),Tiger & Bunny: Hero's Day,タイガー＆バニー　～ヒーローズ・デイ～,ULJS 00569
Tiger & Bunny - Hero's Day (Japan),Tiger & Bunny: Hero's Day,タイガー＆バニー　～ヒーローズ・デイ～,ULJS 00612
Tiger & Bunny - On-Air Jack! (Japan),Tiger & Bunny: On-Air Jack!,タイガー＆バニー　オンエアジャック！,ULJS 00498
Tiger Woods PGA Tour (Asia),Tiger Woods PGA Tour,,ULAS-42002
Tiger Woods PGA Tour (USA),Tiger Woods PGA Tour,,ULUS-10009
Tiger Woods PGA Tour 06 (Asia),Tiger Woods PGA Tour 06,,ULAS-42020
Tiger Woods PGA Tour 06 (Europe),Tiger Woods PGA Tour 06,,ULES-00153
"Tiger Woods PGA Tour 06 (Europe) (En,Fr,De)",Tiger Woods PGA Tour 06,,ULES-00154
Tiger Woods PGA Tour 06 (Japan),Tiger Woods PGA Tour 06,タイガー・ウッズ ＰＧＡ ＴＯＵＲ ０６,ULJM 05059
Tiger Woods PGA Tour 06 (USA),Tiger Woods PGA Tour 06,,ULUS-10028
Tiger Woods PGA Tour 07 (Europe),Tiger Woods PGA Tour 07,,ULES-00455
Tiger Woods PGA Tour 07 (France),Tiger Woods PGA Tour 07,,ULES-00456
Tiger Woods PGA Tour 07 (USA),Tiger Woods PGA Tour 07,,ULUS-10115
Tiger Woods PGA Tour 08 (Asia),,,ULAS 42108
Tiger Woods PGA Tour 08 (Europe),Tiger Woods PGA Tour 08,,ULES-00845
Tiger Woods PGA Tour 08 (France),Tiger Woods PGA Tour 08,,ULES-00846
Tiger Woods PGA Tour 08 (USA),Tiger Woods PGA Tour 08,,ULUS-10276
"Tiger Woods PGA Tour 09 (Europe) (En,Fr,De,Es,It)",Tiger Woods PGA Tour 09,,ULES-01120
Tiger Woods PGA Tour 09 (USA),Tiger Woods PGA Tour 09,,ULUS 10367
Tiger Woods PGA Tour 10 (Asia),,,ULAS 42160
Tiger Woods PGA Tour 10 (Europe),Tiger Woods PGA Tour 10,,ULES-01260
Tiger Woods PGA Tour 10 (USA),Tiger Woods PGA Tour 10,,ULUS-10420
Time Travelers (Japan),Time Travelers,タイムトラベラーズ,ULJM 06085
"TMNT (Europe) (En,Fr,De,Es,It)",TMNT,TMNT: Teenage Mutant Ninja Turtles,ULES-00759
"TMNT (Europe) (En,Fr,De,Es,It)",TMNT,TMNT: Teenage Mutant Ninja Turtles,ULES-00759/E
TMNT (USA),TMNT,,ULUS 10243
"TNA Impact! Cross the Line (Europe) (En,Fr,De,Es,It)",TNA Impact! Cross the Line,,ULES-01305#
"TNA Impact! Cross the Line (USA) (En,Fr)",TNA Impact! Cross the Line,,ULUS-10436
To Love Ru - Doki Doki! Rinkai Gakkou Hen (Japan),,,ULJS 00153
Toaru Kagaku no Railgun (Japan),Toaru Kagaku no Railgun,とある科学の超電磁砲,ULJS 00353
Toaru Majutsu no Index (Japan),Toaru Majutsu no Index,とある魔術の禁書目録,ULJS 00328
Toaru Majutsu no Index (Japan),Toaru Majutsu no Index,とある魔術の禁書目録,ULJS 00329
Toaru Majutsu to Kagaku no Ensemble (Japan),Toaru Majutsu to Kagaku no Ensemble,とある魔術と科学の群奏活劇,ULJS 00556
Tobidase! Trouble Hanafuda Douchuuki (Japan),Tobidase! Trouble Hanafuda Douchuuki,とびだせ！トラぶる花札道中記,ULJM 05207
"TOCA Race Driver 2 (Europe) (En,Fr,De,Es,It)",TOCA Race Driver 2,,ULES-00040
"TOCA Race Driver 3 Challenge (Europe) (En,Fr,De,Es,It)",TOCA Race Driver 3 Challenge,,ULES-00613
Togainu no Chi - T B P (Japan),Togainu no Chi: T B P,咎狗の血　Ｔ　Ｂ　Ｐ,ULJM 05795
ToHeart 2 - Dungeon Travelers (Japan) (NPJH-50771),,,ULJM 06267
ToHeart 2 - Dungeon Travelers (Japan) (ULJM-05873),,,ULJM 05873
ToHeart 2 Portable (Japan),ToHeart 2 Portable,トゥハート２ポータブル,ULJM 05485
ToHeart Portable (Japan),,,ULJM 05486
Toki no Kizuna - Hanayui Tsuzuri (Japan),Toki no Kizuna: Hanamusubi Tsuzuri,十鬼の絆 花結綴り,ULJM 06300
Toki no Kizuna - Sekigahara Kitan (Japan),,,ULJM 06129
Tokimeki Memorial 4 (Japan),Tokimeki Memorial 4,ときめきメモリアル４,ULJM 05541
Tokimeki Memorial Girl's Side Premium - 3rd Story (Japan),,,ULJM 05976
"Tokobot (Europe) (En,Fr,De,Es,It)",Tokobot,,ULES-00312
Tokobot (Korea),Tokobot,토코봇,ULKS 46100
Tokobot (USA),Tokobot,,ULUS-10061
