redump_name,Title,Foreign Title,serial
"007 - From Russia with Love (Europe, Australia) (En,Fr,De,Es,It)",007: From Russia with Love,From Russia with Love,ULES-00288
"007 - From Russia with Love (UK) (En,Fr,De,Es,It)",007: From Russia with Love,From Russia with Love,ULES-00290
007 - From Russia with Love (USA),007: From Russia with Love,,ULUS 10080
007 - Russia yori Ai o Komete (Japan),007: Russia yori Ai o Komete,００７　ロシアより愛をこめて,ULJM 05129
0-ji no Kane to Cinderella - Halloween Wedding (Japan),0-ji no Kane to Cinderella: Halloween Wedding,0時の鐘とシンデレラ～Halloween Wedding～,ROSE 00025
0-ji no Kane to Cinderella - Halloween Wedding (Japan),0-ji no Kane to Cinderella: Halloween Wedding,0時の鐘とシンデレラ～Halloween Wedding～,ULJM 06272
100-Man Ton no Barabara (Japan),,,UCJS 10108
11eyes CrossOver (Japan),,,ULJM 05574
12-ji no Kane to Cinderella - Halloween Wedding (Japan),12-ji no Kane to Cinderella: Halloween Wedding,１２時の鐘とシンデレラ　～Ｈａｌｌｏｗｅｅｎ　Ｗｅｄｄｉｎｇ～,ULJM 06023
12Riven - The Psi-Climinal of Integral (Japan),,,ULJM 05743
"2 Games in 1! Archer Maclean's Mercury & Mercury Meltdown (USA) (En,Fr,Es)",2 Games in 1! Archer Maclean's Mercury & Mercury Meltdown,,ULUS 10568
2010 FIFA World Cup - Minami Africa Taikai (Japan),2010 FIFA World Cup: Minami Africa Taikai,２０１０　ＦＩＦＡ　ワールドカップ　南アフリカ大会,ULJM 05646
"2010 FIFA World Cup South Africa (Canada) (En,Fr)",2010 FIFA World Cup South Africa,,ULUS-10517
"2010 FIFA World Cup South Africa (Europe) (En,Nl)",2010 FIFA World Cup South Africa,,ULES-01412
"2010 FIFA World Cup South Africa (Europe) (Es,It)",2010 FIFA World Cup South Africa,,ULES-01414
"2010 FIFA World Cup South Africa (Europe) (Fr,De)",2010 FIFA World Cup South Africa,,ULES-01413
"2010 FIFA World Cup South Africa (Europe) (Fr,De) (Beta) (2010-02-10)",2010 FIFA World Cup South Africa,,ULES-01413/1.00
2010 FIFA World Cup South Africa (USA),2010 FIFA World Cup South Africa,,ULUS 10504
"300 - March to Glory (Europe) (En,Fr,De,Es,It)",300: March to Glory,,ULES-00766
300 - March to Glory (USA),300: March to Glory,,ULUS-10241
"3rd Birthday, The (Europe)",The 3rd Birthday,,ULES-01513
"3rd Birthday, The (Europe)",The 3rd Birthday,,ULES-01513/E
"3rd Birthday, The (Japan)",The 3rd Birthday,ザ・サード・バースデイ,ULJM 05798
"3rd Birthday, The (Japan)",The 3rd Birthday,ザ・サード・バースデイ,ULJM 06008
"3rd Birthday, The (USA)",The 3rd Birthday,,ULUS-10567
428 - Fuusa Sareta Shibuya de (Japan),428: Fuusa Sareta Shibuya de,４２８　～封鎖された渋谷で～,ULJS 00344
50 Cent - Bulletproof - G-Unit Edition (Australia),50 Cent: Bulletproof: G-Unit Edition,,ULES-00452
50 Cent - Bulletproof - G-Unit Edition (Europe),50 Cent: Bulletproof: G-Unit Edition,,ULES-00451
50 Cent - Bulletproof - G-Unit Edition (USA),50 Cent: Bulletproof: G-Unit Edition,,ULUS-10128
"7 Wonders of the Ancient World (Europe) (En,Fr,De,Es,It)",7 Wonders of the Ancient World,,ULES-01037
7 Wonders of the Ancient World (USA),7 Wonders of the Ancient World,,ULUS-10227
77 - Beyond the Milky Way (Japan),,,ULJM 05877
7th Dragon 2020 (Japan),7th Dragon 2020,セブンスドラゴン2020,HSN-0021
7th Dragon 2020 (Japan),7th Dragon 2020,セブンスドラゴン2020,ULJM 05923
7th Dragon 2020-II (Japan),7th Dragon 2020-II,セブンスドラゴン２０２０－Ⅱ,ULJM 06229
-8 (Japan),-8,マイナスエイト,ULJM 06340
-8 (Japan),-8,マイナスエイト,ULJM 06341
A la croisee des mondes - La Boussole d'or (France),À la croisée des mondes: La Boussole d'or,,ULES-00951
Abunai - Koi no Sousa Shitsu (Japan),Abunai: Koi no Sousa Shitsu,アブナイ　恋の捜査室,ULJM 06050
Accel World - Gin'yoku no Kakusei (Japan),Accel World: Gin'yoku no Kakusei,アクセル・ワールド ―銀翼の覚醒―,ULJS 00510
Accel World - Kasoku no Chouten (Japan),Accel World: Kasoku no Chouten,アクセル・ワールド ―加速の頂点―,ULJS 00512
"Ace Combat - Joint Assault (Europe) (En,Ja,Fr,De,Es,It)",Ace Combat: Joint Assault,,ULES-01408
Ace Combat - Joint Assault (USA),Ace Combat: Joint Assault,,ULUS 10511
"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,UCES-00423
"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,UCES-00423#
"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,UCES-00423/P
"Ace Combat X - Skies of Deception (Japan) (En,Ja,Fr,De,Es,It,Ko) (v2.00)",Ace Combat X: Skies of Deception,エースコンバットＸ：　スカイズ・オブ・デセプション,ULJS 19018
"Ace Combat X - Skies of Deception (Japan, Asia) (En,Ja,Fr,De,Es,It,Ko) (v1.01)",Ace Combat X: Skies of Deception,エースコンバットＸ：　スカイズ・オブ・デセプション,UCAS 40120
"Ace Combat X - Skies of Deception (Japan, Asia) (En,Ja,Fr,De,Es,It,Ko) (v1.01)",Ace Combat X: Skies of Deception,エースコンバットＸ：　スカイズ・オブ・デセプション,ULJS 00086
"Ace Combat X - Skies of Deception (Korea) (En,Ko)",Ace Combat X: Skies of Deception,에이스 컴뱃 X: 스카이즈 오브 디셉션,UCKS 45038
"Ace Combat X - Skies of Deception (Korea) (En,Ko)",Ace Combat X: Skies of Deception,에이스 컴뱃 X: 스카이즈 오브 디셉션,UCKS 45067
"Ace Combat X - Skies of Deception (USA) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,ULUS 10176
Ace Combat X2 - Joint Assault (Japan),Ace Combat X2: Joint Assault,エースコンバットＸ２　ジョイントアサルト,ULJS 00290
Ace Combat X2 - Joint Assault (Japan),Ace Combat X2: Joint Assault,エースコンバットＸ２　ジョイントアサルト,ULJS 19057
Aces of War (Europe),Aces of War,,ULES-00590
Activision Hits Remixed (Europe),Activision Hits Remixed,,ULES-00640
Activision Hits Remixed (USA),Activision Hits Remixed,,ULUS-10186
Adventure Player (Japan),Adventure Player,アドベンチャープレイヤー,ULJS 00011
"Adventures to Go! (Europe) (En,Fr,De)",Adventures to Go!,,ULES-01383
Adventures to Go! (USA),Adventures to Go!,,ULUS-10417
Adventures to Go! (USA) (Beta) (2009-06-10),Adventures to Go!,,ULUS-10417
Aedis Eclipse - Generation of Chaos (USA),Aedis Eclipse: Generation of Chaos,,ULUS-10242
AFL Challenge (Australia),AFL Challenge,,ULES-01299
"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It)",After Burner: Black Falcon,,ULES-00753
"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It) (Alt)",After Burner: Black Falcon,,ULES-00785
"After Burner - Black Falcon (USA) (En,Fr,Es,It,Nl)",After Burner: Black Falcon,,ULUS-10244
Agarest Senki Mariage (Japan),,,ULJM 06100
AI Igo (Japan),,,ULJS 00008
AI Mahjong (Japan),AI Mahjong,ＡＩ麻雀,ULJS 00007
AI Shougi (Japan) (v1.04),,,ULJS 00009
AI Shougi (Japan) (v2.00),AI Shougi,ＡＩ将棋,ULJS 00009
AI Shougi (Japan) (v2.00),AI Shougi,ＡＩ将棋,ULJS 00101
Air (Japan),,,ULJM 05282
Air Conflicts - Aces of World War II (USA),Air Conflicts: Aces of World War II,,ULUS-10404
Airou de Puzzle (Japan),Airou de Puzzle,アイルーでパズルー,ULJM 06112
Akatsuki no Amaneka to Aoi Kyojin (Japan),,,ULJM 05846
Akatsuki no Goei Trinity (Japan) (Disc 1),,,ULJM 06174
Akatsuki no Goei Trinity (Japan) (Disc 2),,,ULJM 06175
AKB1-149 - Ren'ai Sousenkyo (Japan) (Data Install Senyou Disc),AKB1-149: Ren'ai Sousenkyo (Data Install Senyou Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00531
AKB1-149 - Ren'ai Sousenkyo (Japan) (Data Install Senyou Disc),AKB1-149: Ren'ai Sousenkyo (Data Install Senyou Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00533
AKB1-149 - Ren'ai Sousenkyo (Japan) (Game Disc),AKB1-149: Ren'ai Sousenkyo (Game Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00530
AKB1-149 - Ren'ai Sousenkyo (Japan) (Game Disc),AKB1-149: Ren'ai Sousenkyo (Game Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00532
AKB1-48 - Idol to Koishitara... (Japan),AKB1-48: Idol to Koishitara...,ＡＫＢ１／４８　アイドルと恋したら…,ULJS 00348
AKB1-48 - Idol to Koishitara... (Japan),AKB1-48: Idol to Koishitara...,ＡＫＢ１／４８　アイドルと恋したら…,ULJS 00480
AKB1-48+10 - Idol to Guam de Koishitara... (Japan),AKB1-48+10: Idol to Guam de Koishitara...,ＡＫＢ１／４８＋１０ アイドルとグアムで恋したら…,ULJS 00413
AKB1-48+10 - Idol to Guam de Koishitara... (Japan),AKB1-48+10: Idol to Guam de Koishitara...,ＡＫＢ１／４８＋１０ アイドルとグアムで恋したら…,ULJS 00414
Akiba's Trip (Japan),Akiba's Trip,アキバズトリップ,ULJM 05868
Akiba's Trip Plus (Japan),,,ULJM 06049
Aku Daikan Manyuki (Japan),Aku Daikan Manyuki,悪代官漫遊記,ULJM 05185
Akumajou Dracula X - Chronicle (Japan),Akumajou Dracula X: Chronicle,悪魔城ドラキュラ Xクロニクル,ULJM 05287
Akumajou Dracula X - Chronicle (Japan),Akumajou Dracula X: Chronicle,悪魔城ドラキュラ Xクロニクル,ULJM-05548
"Alien Syndrome (Europe) (En,Fr,De,Es,It)",Alien Syndrome,,ULES-00772
Alien Syndrome (USA),Alien Syndrome,,ULUS-10245
Aliens vs. Predator - Requiem (Europe),Aliens vs. Predator: Requiem,,ULES-00972
Aliens vs. Predator - Requiem (USA),Aliens vs. Predator: Requiem,,ULUS-10327
All Kamen Rider - Rider Generation 2 (Japan),All Kamen Rider: Rider Generation 2,オール仮面ライダー　ライダージェネレーション２,ULJS 00518
Amagami (Japan),Amagami,アマガミ,ULJS 00339
"Amagoushi no Yakata Portable - Ichiyanagi Nagomu, Saisho no Junan (Japan)","Amagoushi no Yakata Portable: Ichiyanagi Nagomu, Saisho no Junan",雨格子の館 PORTABLE 一柳和、最初の受難,ULJS 00216
Amatsumi Sora ni! Kumo no Hatate ni (Japan) (Disc 1),Amatsumi Sora ni! Kumo no Hatate ni (Disc 1),あまつみそらに！　雲のはたてに,ULJM 05992
Amnesia (Japan),Amnesia,アムネシア,ULJM 05930
Amnesia (Japan),Amnesia,アムネシア,ULJM 05931
Amnesia Crowd (Japan),Amnesia Crowd,アムネシア クラウド,ULJM 06265
Amnesia Crowd (Japan),Amnesia Crowd,アムネシア クラウド,ULJM 06266
Amnesia Later (Japan),Amnesia Later,アムネシアレイター,ULJM 06043
Amnesia Later (Japan),Amnesia Later,アムネシアレイター,ULJM 06044
Anata o Yurusanai (Japan),Anata o Yurusanai,アナタヲユルサナイ,ULJM 05279
Anata o Yurusanai (Japan),Anata o Yurusanai,アナタヲユルサナイ,ULJM 05351
Angelique - Maren no Rokukishi (Japan),Angelique: Maren no Rokukishi,アンジェリーク 魔恋の六騎士,ULJM 05985
Angelique - Maren no Rokukishi (Japan),Angelique: Maren no Rokukishi,アンジェリーク 魔恋の六騎士,ULJM 05986
Angelique Retour (Japan),,,ULJM 06402
Anohana - Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai. (Japan),Anohana: Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai.,あの日見た花の名前を僕達はまだ知らない。,ULJM 06115
Another Century's Episode Portable (Japan),Another Century's Episode Portable,アナザーセンチュリーズエピソード　ポータブル,ULJS 00322
Ao no Exorcist - Genkoku no Labyrinth (Japan),Ao no Exorcist: Genkoku no Labyrinth,青の祓魔師　幻刻の迷宮,ULJS 00423
Ao no Exorcist - Genkoku no Labyrinth (Japan),Ao no Exorcist: Genkoku no Labyrinth,青の祓魔師　幻刻の迷宮,ULJS 00424
"Ape Academy (Europe) (En,Fr,De,Es,It)",Ape Academy,,UCES-00010
"Ape Academy 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",Ape Academy 2,,UCES-00302
"Ape Academy 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Beta) (2006-06-19)",Ape Academy 2,,UCET-00445/0.01
Ape Escape - On the Loose (USA),Ape Escape: On the Loose,,UCUS-98609
"Ape Escape (Europe) (En,Fr,De,Es,It)",Ape Escape,Ape Escape P,UCES-00045
Ape Escape Academy (USA),Ape Escape Academy,,UCUS-98619
Ape Escape Academy (USA) (Demo),Ape Escape Academy,,UCUS 98629
Arcana Famiglia - Festa Regalo! (Japan),,,ULJM 06187
Arcana Famiglia - La Storia della Arcana Famiglia (Japan),Arcana Famiglia: La Storia della Arcana Famiglia,アルカナ・ファミリア　－Ｌａ　ｓｔｏｒｉａ　ｄｅｌｌａ　Ａｒｃａｎａ　Ｆａｍｉｇｌｉａ－,ULJM 05956
Arcana Famiglia - Vascello Phantasma no Majutsushi (Japan),Arcana Famiglia: Vascello Phantasma no Majutsushi,アルカナ・ファミリア　幽霊船(ヴァスチェロ・ファンタズマ)の魔術師,ULJM 06032
Arcana Famiglia 2 - La Storia della Arcana Famiglia (Japan),Arcana Famiglia 2: La Storia della Arcana Famiglia,アルカナ・ファミリア２,ULJM 06291
"Archer Maclean's Mercury (Europe, Australia) (En,Fr,De,Es,It)",Archer Maclean's Mercury,,ULES-00011
Archer Maclean's Mercury (USA),Archer Maclean's Mercury,,ULUS 10017
Arcobaleno! Portable (Japan),,,ULJM 05609
Are You Alice (Japan),Are you Alice?,,ULJM-05848
"Armored Core - Formula Front (Japan, Asia)",Armored Core: Formula Front,アーマード・コア フォーミュラフロント,UCAS 40004
"Armored Core - Formula Front (Japan, Asia)",Armored Core: Formula Front,アーマード・コア フォーミュラフロント,ULJS 00003
Armored Core - Formula Front (Korea),Armored Core: Formula Front,아머드 코어 포뮬러 프론트,ULKS-46003
Armored Core - Formula Front Extreme Battle (Europe),Armored Core: Formula Front Extreme Battle,,ULES-00219
Armored Core - Formula Front Extreme Battle (USA),Armored Core: Formula Front Extreme Battle,,ULUS-10034
"Armored Core - Formula Front International (Japan) (En,Ja)",Armored Core: Formula Front International,アーマード・コア フォーミュラフロント インターナショナル,ULJS-19001
Armored Core - Last Raven Portable (Japan),Armored Core: Last Raven Portable,アーマード・コア ラスト レイヴン ポータブル,ULJM 05611
Armored Core - Silent Line Portable (Japan),Armored Core: Silent Line Portable,アーマード・コア サイレントライン ポータブル,ULJM 05552
"Armored Core 3 Portable (Japan, Asia)",Armored Core 3 Portable,アーマード・コア３　ポータブル,UCAS 40268
"Armored Core 3 Portable (Japan, Asia)",Armored Core 3 Portable,アーマード・コア３　ポータブル,ULJM 05492
Arms' Heart (Japan),,,ULJM 05786
"Army of Two - The 40th Day (Europe) (En,Fr,De,Es,It)",Army of Two: The 40th Day,,ULES-01381
Army of Two - The 40th Day (USA),Army of Two: The 40th Day,,ULUS-10472
"Arnaqueur, L' (France)",L'Arnaqueur,The Con,ULES-00510
"Arthur and the Invisibles (USA) (En,Fr,Es) (Proto) (2007-03-19)",Arthur and the Invisibles,Arthur & the Invisibles,ULUS-10231
"Arthur and the Minimoys (Europe) (De,It)",Arthur and the Minimoys,Arthur and the Invisibles,ULES-00669
"Arthur and the Minimoys (Europe) (En,Fr,Es,Nl,Sv)",Arthur and the Minimoys,Arthur and the Invisibles,ULES-00668
"Arthur and the Minimoys (Europe) (En,Fr,Es,Nl,Sv) (Beta) (2007-01-17)",Arthur and the Minimoys,Arthur and the Invisibles,ULET-00435
Artlist Collection - The Dog Happy Life - Shiawase Wanko Seikatsu Dai-1-dan - McDonald's Ver. (Japan),Artlist Collection: The Dog Happy Life: Shiawase Wanko Seikatsu Dai-1-dan: McDonald's Ver.,Ａｒｔｌｉｓｔ　Ｃｏｌｌｅｃｔｉｏｎ　ＴＨＥ　ＤＯＧ　ＨＡＰＰＹ　ＬＩＦＥ　～幸せワンコ生活第１弾～　ＭｃＤｏｎａｌｄ’ｓ　Ｖｅｒ．,ULJM 95002
Artlist Collection - The Dog Happy Life - Shiawase Wanko Seikatsu Dai-1-dan (Japan),Artlist Collection: The Dog Happy Life: Shiawase Wanko Seikatsu Dai-1-dan,Ａｒｔｌｉｓｔ　Ｃｏｌｌｅｃｔｉｏｎ　ＴＨＥ　ＤＯＧ　ＨＡＰＰＹ　ＬＩＦＥ　～幸せワンコ生活第１弾～,ULJM 05122
"Asaki, Yumemishi (Japan)","Asaki, Yumemishi",あさき、ゆめみし,ROSE 00004
"Asaki, Yumemishi (Japan)","Asaki, Yumemishi",あさき、ゆめみし,ULJM 05870
"Asphalt - Urban GT 2 (Europe) (En,Fr,De,Es,It)",Asphalt: Urban GT 2,,ULES-00719
"Assassin's Creed - Bloodlines (Europe) (En,Fr,De,Es,It,Ru)",Assassin's Creed: Bloodlines,,ULES-01367
"Assassin's Creed - Bloodlines (Europe) (En,Fr,De,Es,It,Ru)",Assassin's Creed: Bloodlines,,ULES-01367/E
"Assassin's Creed - Bloodlines (Japan) (En,Ja)",Assassin's Creed: Bloodlines,アサシン クリード ブラッドライン,ULJM 05571
"Assassin's Creed - Bloodlines (Japan) (En,Ja)",Assassin's Creed: Bloodlines,アサシン クリード ブラッドライン,ULJM 05720
Assassin's Creed - Bloodlines (Korea),Assassin's Creed: Bloodlines,어쌔신 크리드: 블러드라인,ULKS 46231
"Assassin's Creed - Bloodlines (USA) (En,Fr,De,Es,It)",Assassin's Creed: Bloodlines,,ULUS-10455
"Asterix & Obelix XXL 2 (Europe) (En,Fr,De,Es,It,Nl)",Astérix & Obélix XXL 2,Astérix & Obélix XXL 2: Mission: Wifix,ULES-00527
Astonishia Story (Europe),Astonishia Story,,ULES-00363
Astonishia Story (Korea),Astonishia Story,어스토니시아 스토리,ULKS-46021
Astonishia Story (USA),Astonishia Story,,ULUS-10083
Astonishia Story 2 (Korea),Astonishia Story 2,어스토니시아 스토리2,ULKS-46142
"Astro Boy - The Video Game (Europe) (En,Fr,De,Es,It)",Astro Boy: The Video Game,,ULES-01345
"Astro Boy - The Video Game (USA) (En,Fr,Es,It,Nl)",Astro Boy: The Video Game,,ULUS-10454
Atari Classics Evolved (USA),Atari Classics Evolved,,ULUS-10325
Atari Classics Evolved (USA) (Beta) (2007-09-28),Atari Classics Evolved,,ULUS-10325
"ATV Offroad Fury - Blazin' Trails (Europe) (En,Fr,De,Es,It)",ATV Offroad Fury: Blazin' Trails,,ULES-00155
ATV Offroad Fury - Blazin' Trails (USA),ATV Offroad Fury: Blazin' Trails,,UCUS-98603
"ATV Offroad Fury Pro (Europe) (En,Fr,De,Es,It,Pt,Pl,Ru,El)",ATV Offroad Fury Pro,,UCES-00786/E
ATV Offroad Fury Pro (USA),ATV Offroad Fury Pro,,UCUS-98648
ATV Offroad Fury Pro (USA) (Beta) (v0.30) (2006-09-04),ATV Offroad Fury Pro,,UCUS-98648
ATV Offroad Fury Pro (USA) (Beta) (v1.00) (2007-01-31),ATV Offroad Fury Pro,,UCUS-98648
ATV Offroad Fury Pro (USA) (Demo),ATV Offroad Fury Pro,,UCUS 98681
Audition Portable (Korea),Audition Portable,오디션　포터블,ULKS 46122
Autoescuela Aprueba Conmigo (Spain),Autoescuela Aprueba Conmigo,,ULES-01366
Ayakashibito - Gen'you Ibunroku Portable (Japan),Ayakashibito: Genyou Ibunroku Portable,あやかしびとー幻妖異聞録ーＰＯＲＴＡＢＬＥ,ULJM 05426
Bakemonogatari Portable (Japan),Bakemonogatari Portable,化物語 ポータブル,ULJS 00507
Bakemonogatari Portable (Japan),Bakemonogatari Portable,化物語 ポータブル,ULJS 00508
Bakudan Handan (Japan),,,ULJM 06099
"Bakugan - Defenders of the Core (Europe) (En,Fr,De,Es,It,Nl,Sv)",Bakugan: Defenders of the Core,,ULES-01466
"Bakugan - Defenders of the Core (USA) (En,Fr)",Bakugan: Defenders of the Core,,ULUS-10536
Bakumatsu Rock - Ultra Soul (Japan),,,MARV-06387
Bakumatsu Rock - Ultra Soul (Japan),,,ULJM 06388
Bakumatsu Rock (Japan),Bakumatsu Rock,幕末Rock,ULJS 00598
"Baku-No (Japan, Asia)",Baku-No,ＡＩ爆弾解除アクション　爆脳,UCAS 40017
"Baku-No (Japan, Asia)",Baku-No,ＡＩ爆弾解除アクション　爆脳,ULJS 00017
Bamboo Blade - Sorekara no Chousen (Japan),,,ULJM 05462
Bara no Ki ni - Bara no Hanasaku (Japan),Bara no Ki ni: Bara no Hanasaku,薔薇ノ木ニ薔薇ノ花咲ク,ULJM 05802
Battle Dodgeball 3 (Japan),Battle Dodgeball 3,バトルドッジボール３,ULJS 00468
Battle Royal (India),Battle Royal,,UCES-01496
Battle Spirits - Kiseki no Hasha (Japan),Battle Spirits: Kiseki no Hasha,バトルスピリッツ　輝石の覇者,ULJS 00238
"Battle vs. Chess (Europe) (En,Fr,De,Es,It,Pl,Ru) (Proto) (2011-12-15)",Battle vs. Chess,,ULES-01517
"BattleZone (Europe) (En,Fr,De,Es,It)",BattleZone,,ULES-00522
BattleZone (USA),BattleZone,,ULUS-10156
B-Boy (Europe) (Demo),B-Boy,,UCED-00432
B-Boy (Europe) (Demo),B-Boy,,UCED-00432/9681373
"B-Boy (Europe) (En,Fr,De,Es,It)",B-Boy,,UCES-00249
B-Boy (USA),B-Boy,,ULUS 10363
"Beaterator (Europe, Australia) (En,Fr,De,Es,It)",Beaterator,,ULES-01023
Beaterator (USA),Beaterator,,ULUS-10405
Beit Hell 2000 (Japan),Beit Hell 2000,バイトヘル２０００,UCJS 10022
"Ben 10 - Alien Force - Vilgax Attacks (Europe) (En,Fr,De,Es,It)",Ben 10: Alien Force: Vilgax Attacks,,ULES-01358
Ben 10 - Alien Force - Vilgax Attacks (USA),Ben 10: Alien Force: Vilgax Attacks,,ULUS-10488
"Ben 10 - Alien Force (Europe) (En,Fr,De,Es,It)",Ben 10: Alien Force,,ULES-01189
"Ben 10 - Alien Force (USA) (En,Fr,De,Es,It)",Ben 10: Alien Force,,ULUS-10387
Ben 10 - Protector of Earth (Europe),Ben 10: Protector of Earth,,ULES-00905
"Ben 10 - Protector of Earth (Europe) (En,Fr,De,Es,It)",Ben 10: Protector of Earth,,ULES-00906
Ben 10 - Protector of Earth (USA),Ben 10: Protector of Earth,,ULUS-10307
"Ben 10 - Ultimate Alien - Cosmic Destruction (Europe) (En,Fr,De,Es,It)",Ben 10: Ultimate Alien: Cosmic Destruction,,ULES-01471
Ben 10 - Ultimate Alien - Cosmic Destruction (USA),Ben 10: Ultimate Alien: Cosmic Destruction,,ULUS 10542
"Beowulf - The Game (Europe) (En,Fr,De,Es,It)",Beowulf: The Game,,ULES-00992
"Beowulf - The Game (USA) (En,Fr,De,Es,It)",Beowulf: The Game,,ULUS-10329
Beta Bloc (Italy),Beta Bloc,,ULES-00792
"Bigs 2, The (USA)",The Bigs 2,,ULUS-10448
"Bigs, The (USA)",The Bigs,,ULUS-10284
Biz Taiken Series - Kigyoudou (Japan),,,ULJS 00050
Black Code (Japan),,,ULJM 06370
Black Robinia (Japan),,,ULJM 05826
Black Rock Shooter - The Game (Japan),Black Rock Shooter: The Game,ブラック★ロック シューター THE GAME,JRPG 00001
Black Rock Shooter - The Game (Japan),Black Rock Shooter: The Game,ブラック★ロック シューター THE GAME,ULJM 05859
Black Wolves Saga - Last Hope (Japan),Black Wolves Saga: Last Hope,ブラック　ウルヴス　サーガ　ラストホープ,ULJM 06219
Black Wolves Saga - Last Hope (Japan),Black Wolves Saga: Last Hope,ブラック　ウルヴス　サーガ　ラストホープ,ULJM 06220
"Blade Dancer - Lineage of Light (Europe) (En,Fr,De,Es,It)",Blade Dancer: Lineage of Light,,ULES-00541
Blade Dancer - Lineage of Light (USA),Blade Dancer: Lineage of Light,,ULUS-10124
Blade Dancer - Sennen no Yakusoku (Japan),Blade Dancer: Sennen no Yakusoku,ブレイドダンサー　～千年の約束～,UCJS 10021
"BlazBlue - Calamity Trigger (Europe) (En,Ja,Fr,De,Es,Zh,Ko)",BlazBlue: Calamity Trigger,,ULES-01497
"BlazBlue - Calamity Trigger (USA) (En,Ja,Zh,Ko)",BlazBlue: Calamity Trigger,,ULUS-10519
BlazBlue - Calamity Trigger Portable (Japan),BlazBlue: Calamity Trigger Portable,,ULJM 05613
BlazBlue - Continuum Shift Extend (Japan),,,ULJM 06061
"BlazBlue - Continuum Shift II (Asia) (En,Ja,Zh,Ko)",BlazBlue: Continuum Shift II,ブレイブルー コンティニュアムシフト II,UCAS-40337
"BlazBlue - Continuum Shift II (Europe) (En,Ja,Zh,Ko)",BlazBlue: Continuum Shift II,,ULES-01526
BlazBlue - Continuum Shift II (Japan),BlazBlue: Continuum Shift II,ブレイブルー　コンティニュアムシフト　Ⅱ,ULJM 05850
BlazBlue - Continuum Shift II (USA) (Beta) (2011-02-28),BlazBlue: Continuum Shift II,,ULUS-10579
"BlazBlue - Continuum Shift II (USA) (En,Ja,Zh,Ko)",BlazBlue: Continuum Shift II,,ULUS-10579
Blaze Union - Story to Reach the Future (Japan),,,ULJM 05503
Blazing Souls Accelate (Europe),Blazing Souls Accelate,,ULES-01562
Blazing Souls Accelate (Japan) (v1.02),Blazing Souls Accelate,ブレイジングソウルズ アクセレイト,ULJM 05490
Blazing Souls Accelate (Japan) (v2.00),Blazing Souls Accelate,ブレイジングソウルズ アクセレイト,ULJM 05490
Blazing Souls Accelate (USA),Blazing Souls Accelate,,ULUS-10527
Bleach - Heat the Soul (Japan),Bleach: Heat the Soul,,UCJS-10008
Bleach - Heat the Soul 2 (Japan),Bleach: Heat the Soul 2,ブリーチ: ヒート・ザ・ソウル 2,UCJS 10017
Bleach - Heat the Soul 3 (Japan),Bleach: Heat the Soul 3,ブリーチ: ヒート・ザ・ソウル 3,UCJS 10042
Bleach - Heat the Soul 4 (Japan),Bleach: Heat the Soul 4,ＢＬＥＡＣＨ　～ヒート・ザ・ソウル４～,UCJS 10057
Bleach - Heat the Soul 5 (Japan),Bleach: Heat the Soul 5,ブリーチ: ヒート・ザ・ソウル 5,UCJS-10082
Bleach - Heat the Soul 6 (Asia),Bleach: Heat the Soul 6,死神 Heat the Soul 6,UCAS-40258
Bleach - Heat the Soul 6 (Japan),Bleach: Heat the Soul 6,ブリーチ　ヒート・ザ・ソウル　６,UCJS 10093
Bleach - Heat the Soul 7 (Japan),Bleach: Heat the Soul 7,ブリーチ ヒート・ザ・ソウル 7,UCJS-10110
Bleach - Heat the Soul 7 (Korea),Bleach: Heat the Soul 7,블리치 히트 더 소울 7,UCKS 45158
Bleach - Soul Carnival (Japan),,,UCJS 10085
Bleach - Soul Carnival 2 (Japan),,,UCJS 10106
"Bliss Island (Europe) (En,Fr,De,Es,It)",Bliss Island,,ULES-00616
Blitz - Overtime (USA),Blitz: Overtime,,ULUS 10200
Blokus Club Portable with Bumpy Trot (Japan) (Taikenban),Blokus Club Portable with Bumpy Trot,ブロックス倶楽部ポータブル with バンピートロット 体験版,ULJM-91007
"Blokus Portable - Steambot Championship (Europe) (En,Fr,De,Es,It)",Blokus Portable: Steambot Championship,,ULES-01016
Blokus Portable - Steambot Championship (USA),Blokus Portable: Steambot Championship,,ULUS-10332
