Redump_Name,Serial_1,Serial_2
Aggressive Inline (USA),DOL-GILE-USA,
Aging Disc DOL (Japan) (Rev 7),,
Aging Disc DOL-PAL (Japan) (Rev 7),,
Aging Disc DOL-USA (Japan) (Rev 7),,
Alien Hominid (USA),DOL-GAHE-USA,
All-Star Baseball 2002 (USA),DOL-GA2E-USA,
All-Star Baseball 2003 featuring Derek Jeter (Japan),DOL-GA3J-JPN,
All-Star Baseball 2003 featuring Derek Jeter (USA),DOL-GA3E-USA,
All-Star Baseball 2003 featuring Derek Jeter (USA) (Beta) (2002-01-16),,
All-Star Baseball 2004 featuring Derek Jeter (USA),DOL-GA4E-USA,
Amazing Island (USA),DOL-GKAE-USA,
American Chopper 2 - Full Throttle (USA),DOL-GAPE-USA,
Animal Crossing (Australia),DOL-GAFU-AUS,
"Animal Crossing (Europe) (En,Fr,De,Es,It)",DOL-GAFP-EUR,
Animal Crossing (USA),DOL-GAFE-USA,
"Animaniacs - The Great Edgar Hunt (Europe) (En,Fr,De,Es,It)",DOL-GANP-EUR,DOL-GANP-UKV
Animaniacs - The Great Edgar Hunt (USA),DOL-GANE-USA,
"Ant Bully, The (USA) (En,Fr)",DOL-GAXE-USA,
Aquaman - Battle for Atlantis (USA),DOL-GAQE-USA,
Army Men - Air Combat - The Elite Missions (USA),DOL-GACE-USA,
Army Men - RTS (USA),DOL-GARE-USA,
Army Men - Sarge's War (USA),DOL-GAME-USA,
"Asterix & Obelix XXL (Europe) (En,Fr,De,Es,It)",DOL-GAGP-EUR,
Atsumare!! Made in Wario (Japan),DOL-GZWJ-JPN,
"ATV - Quad Power Racing 2 (Europe) (En,Fr,De,Es,It)",DOL-GATP-EUR,
ATV - Quad Power Racing 2 (USA),DOL-GATE-USA,
Auto Modellista - U.S.-tuned (Japan),DOL-GAUJ-JPN,
Auto Modellista (USA),DOL-GAUE-USA,
Backyard Baseball (USA),DOL-GBKE-USA,
Backyard Football (USA),DOL-GBFE-USA,
Backyard Sports - Baseball 2007 (USA),DOL-GA7E-USA,
Bad Boys - Miami Takedown (USA),DOL-GOBE-USA,
"Bad Boys II (Europe) (En,Fr,De,Es,It)",DOL-GOBP-EUR,
Bakuten Shoot Beyblade 2002 - Nettou! Magne Tag Battle! (Japan),DOL-GBTJ-JPN,
Baldur's Gate - Dark Alliance (Europe) (Rev 1),DOL-GDEP-UKV,
Baldur's Gate - Dark Alliance (France),DOL-GDEF-FRA,
Baldur's Gate - Dark Alliance (Germany),DOL-GDED-NOE,
Baldur's Gate - Dark Alliance (USA),DOL-GDEE-USA,
"Baseball 2003, The - Battle Ball Park Sengen Perfect Play Pro Yakyuu (Japan)",DOL-GBPJ-JPN,
"Baten Kaitos - Eternal Wings and the Lost Ocean (Europe) (En,Fr,De,Es,It) (Disc 1)",DOL-GKBP-0-EUR,
"Baten Kaitos - Eternal Wings and the Lost Ocean (Europe) (En,Fr,De,Es,It) (Disc 2)",DOL-GKBP-1-EUR,
Baten Kaitos - Eternal Wings and the Lost Ocean (USA) (Disc 1),DOL-GKBE-0-USA,
Baten Kaitos - Eternal Wings and the Lost Ocean (USA) (Disc 2),DOL-GKBE-1-USA,
Baten Kaitos - Owaranai Tsubasa to Ushinawareta Umi (Japan) (Disc 1),DOL-GKBJ-0-JPN,
Baten Kaitos - Owaranai Tsubasa to Ushinawareta Umi (Japan) (Disc 2),DOL-GKBJ-1-JPN,
Baten Kaitos - Owaranai Tsubasa to Ushinawareta Umi (Japan) (Special Taiken Disc),DOL-D66J-DIS,
Baten Kaitos II - Hajimari no Tsubasa to Kamigami no Shishi (Japan) (Disc 1) (Rev 1),DOL-GK4J-0-JPN,
Baten Kaitos II - Hajimari no Tsubasa to Kamigami no Shishi (Japan) (Disc 1) (Rev 2),DOL-GK4J-0-JPN,
Baten Kaitos II - Hajimari no Tsubasa to Kamigami no Shishi (Japan) (Disc 2) (Rev 1),DOL-GK4J-1-JPN,
Baten Kaitos II - Hajimari no Tsubasa to Kamigami no Shishi (Japan) (Disc 2) (Rev 2),DOL-GK4J-1-JPN,
Baten Kaitos Origins (USA) (Disc 1),DOL-GK4E-0-USA,
Baten Kaitos Origins (USA) (Disc 2),DOL-GK4E-1-USA,
"Batman - Dark Tomorrow (Europe) (En,Fr,De,Es,It) (Rev 1)",DOL-GBMP-EUR,
Batman - Dark Tomorrow (Japan),DOL-GBMJ-JPN,
Batman - Dark Tomorrow (USA) (Beta) (2002-08-25),,
Batman - Dark Tomorrow (USA) (Rev 1),DOL-GBME-USA,
"Batman - Rise of Sin Tzu (Europe) (En,Fr,De,Es,It)",DOL-GUZP-EUR,
"Batman - Rise of Sin Tzu (USA) (En,Fr,Es)",DOL-GUZE-USA,
"Batman - Vengeance (Europe) (En,Fr,De,Es,It)",DOL-GBVP-EUR,
"Batman - Vengeance (USA) (En,Fr,Es)",DOL-GBVE-USA,
"Batman Begins (Europe) (En,Fr,De,Es,Nl)",DOL-GINX-EUR,DOL-GINX-UKV
Batman Begins (USA),DOL-GINE-USA,
"Battalion Wars (Europe) (En,Fr,De,Es,It)",DOL-G8WP-EUR,
Battalion Wars (USA),DOL-G8WE-USA,
Battle Houshin (Japan),DOL-GBHJ-JPN,
Battle Stadium D.O.N (Japan),DOL-G8SJ-JPN,
"Beach Spikers - Virtua Beach Volleyball (Europe) (En,Fr,De,Es,It)",DOL-GBSP-EUR,
Beach Spikers - Virtua Beach Volleyball (Japan) (Rev 1),DOL-GBSJ-JPN,
Beach Spikers - Virtua Beach Volleyball (Japan) (Taikenban),DOL-DBSJ-DIS,
Beach Spikers - Virtua Beach Volleyball (USA),DOL-GBSE-USA,
"Beyblade VForce - Super Tournament Battle (Europe) (En,Fr,De,Es,It)",DOL-GBTP-EUR,
Beyblade VForce - Super Tournament Battle (USA),DOL-GBTE-USA,
"Beyond Good & Evil (Europe) (De,It)",DOL-GGEX-EUU,
"Beyond Good & Evil (Europe) (En,Es)",DOL-GGEP-EUR,
"Beyond Good & Evil (Europe) (Fr,Nl)",DOL-GGEY-FAH,
"Beyond Good & Evil (USA) (En,Es)",DOL-GGEE-USA,
"Big Air Freestyle (Europe) (En,Fr,De,Es,It)",DOL-GMRP-EUR,
Big Air Freestyle (USA),DOL-GMRE-USA,
"Big Mutha Truckers (Europe) (En,Fr,De,Es,It)",DOL-GT8P-EUR,
Big Mutha Truckers (USA),DOL-GT8E-USA,
Billy Hatcher and the Giant Egg (Europe) (Demo),DOL-DEZP-EUR,
"Billy Hatcher and the Giant Egg (Europe) (En,Ja,Fr,De,Es,It)",DOL-GEZP-EUR,
Billy Hatcher and the Giant Egg (USA),DOL-GEZE-USA,
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 1),DOL-GCDJ-0-JPN,
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 2),DOL-GCDJ-1-JPN,
Biohazard (Japan) (Disc 1),DOL-GBIJ-0-JPN,
Biohazard (Japan) (Disc 2),DOL-GBIJ-1-JPN,
Biohazard (Japan) (Movie Demo Disc),DOL-DBIJ-DIS,
Biohazard (Japan) (Tokubetsu-ban),DOL-DBJJ-DIS,
Biohazard 2 (Japan),DOL-GHAJ-JPN,
Biohazard 3 - Last Escape (Japan),DOL-GLEJ-JPN,
Biohazard 4 (Japan) (Disc 1),DOL-G4BJ-0-JPN,
Biohazard 4 (Japan) (Disc 2),DOL-G4BJ-1-JPN,
"Biohazard 4 (Japan) (En,Ja) (Taikenban)",DOL-P4BJ-JPN,
Biohazard Zero - Trial Edition (Japan),DOL-DBZJ-DIS,
Biohazard Zero (Japan) (Disc 1),DOL-GBZJ-0-JPN,
Biohazard Zero (Japan) (Disc 2),DOL-GBZJ-1-JPN,
"Bionicle (Europe) (En,Fr,De,Es,It,Da)",DOL-GVOP-EUR,DOL-GVOP-NOE
Bionicle (USA),DOL-GVOE-USA,
Bionicle Heroes (USA) (Rev 1),DOL-GVHE-USA,
"Black & Bruised (Europe) (En,Fr,De)",DOL-G2BP-EUR,
Black & Bruised (USA),DOL-G2BE-USA,
Bleach GC - Tasogare ni Mamieru Shinigami (Japan),DOL-GIGJ-JPN,
Blood Omen 2 - The Legacy of Kain Series (Europe),DOL-GO2P-EUR,
Blood Omen 2 - The Legacy of Kain Series (France),DOL-GO2F-FRA,
Blood Omen 2 - The Legacy of Kain Series (Germany),DOL-GO2D-NOE,
Blood Omen 2 - The Legacy of Kain Series (USA),DOL-GO2E-USA,
BloodRayne (Europe),DOL-GBDP-UKV,
BloodRayne (France),DOL-GBDF-FRA,
BloodRayne (Spain),DOL-GBDS-ESP,
BloodRayne (USA),DOL-GBDE-USA,
