Redump_title,title,localized_title,Serial
"Dynasty Warriors 3 (Europe) (En,Fr,De)",Dynasty Warriors 3,,SLES-50641
"Dynasty Warriors 3 (Europe) (En,Fr,De) (Demo)",Dynasty Warriors 3,,SLED-50904
Dynasty Warriors 3 (USA),Dynasty Warriors 3,,SLUS-20277
Dynasty Warriors 4 - Empires (Europe),Dynasty Warriors 4 - Empires,,SLES-52591
Dynasty Warriors 4 - Empires (France),Dynasty Warriors 4 - Empires,,SLES-52593
Dynasty Warriors 4 - Empires (Germany),Dynasty Warriors 4 - Empires,,SLES-52592
Dynasty Warriors 4 - Empires (USA),Dynasty Warriors 4 - Empires,,SLUS-20938
Dynasty Warriors 4 - Xtreme Legends (Europe),Dynasty Warriors 4 - Xtreme Legends,,SLES-52171
Dynasty Warriors 4 - Xtreme Legends (France),Dynasty Warriors 4 - Xtreme Legends,,SLES-52172
Dynasty Warriors 4 - Xtreme Legends (Germany),Dynasty Warriors 4 - Xtreme Legends,,SLES-52173
Dynasty Warriors 4 - Xtreme Legends (Italy),Dynasty Warriors 4 - Xtreme Legends,,SLES-52174
Dynasty Warriors 4 - Xtreme Legends (Spain),Dynasty Warriors 4 - Xtreme Legends,,SLES-52175
Dynasty Warriors 4 - Xtreme Legends (USA),Dynasty Warriors 4 - Xtreme Legends,,SLUS-20812
Dynasty Warriors 4 (Europe),Dynasty Warriors 4,,SLES-51661
Dynasty Warriors 4 (France),Dynasty Warriors 4,,SLES-51662
Dynasty Warriors 4 (Germany),Dynasty Warriors 4,,SLES-51663
Dynasty Warriors 4 (Italy),Dynasty Warriors 4,,SLES-51664
Dynasty Warriors 4 (Spain),Dynasty Warriors 4,,SLES-51665
Dynasty Warriors 4 (USA),Dynasty Warriors 4,,SLUS-20653
"Dynasty Warriors 5 - Empires (Europe, Australia)",Dynasty Warriors 5 - Empires,,SLES-54095
Dynasty Warriors 5 - Empires (France),Dynasty Warriors 5 - Empires,,SLES-54096
Dynasty Warriors 5 - Empires (Germany),Dynasty Warriors 5 - Empires,,SLES-54097
Dynasty Warriors 5 - Empires (USA),Dynasty Warriors 5 - Empires,,SLUS-21398
Dynasty Warriors 5 - Xtreme Legends (Europe),Dynasty Warriors 5 - Xtreme Legends,,SLES-53860
Dynasty Warriors 5 - Xtreme Legends (France),Dynasty Warriors 5 - Xtreme Legends,,SLES-53861
Dynasty Warriors 5 - Xtreme Legends (Germany),Dynasty Warriors 5 - Xtreme Legends,,SLES-53862
Dynasty Warriors 5 - Xtreme Legends (USA),Dynasty Warriors 5 - Xtreme Legends,,SLUS-21299
Dynasty Warriors 5 (Europe),Dynasty Warriors 5,,SLES-53339
Dynasty Warriors 5 (France),Dynasty Warriors 5,,SLES-53340
Dynasty Warriors 5 (Germany),Dynasty Warriors 5,,SLES-53341
Dynasty Warriors 5 (USA),Dynasty Warriors 5,,SLUS-21153
Dynasty Warriors 6 (USA),Dynasty Warriors 6,,SLUS-21774
"E.O.E - Eve of Extinction - Houkai no Zen'ya (Japan, Asia)",E.O.E ～崩壊の前夜～,EOE - Eve of Extinction - Houkai no Zen'ya,SCPS-55025
"E.O.E - Eve of Extinction - Houkai no Zen'ya (Japan, Asia)",E.O.E ～崩壊の前夜～,EOE - Eve of Extinction - Houkai no Zen'ya,SLPS-25115
"E.O.E - Eve of Extinction (Europe) (En,Fr,De,Es,It)",Eve of Extinction,,SLES-50758
E.O.E - Eve of Extinction (Korea),E.O.E. - Eve of Extinction,,SLPM-67521
E.O.E - Eve of Extinction (USA),Eve of Extinction,,SLUS-20270
EA Demo Disc - From Russia with Love + Need for Speed - Most Wanted + SSX on Tour (Australia),007 - From Russia with Love & Need for Speed Most Wanted & SSX On Tour [Demo],,SLED-53681
EA Demo Disc - From Russia with Love + Need for Speed - Most Wanted + SSX on Tour (USA),"007 - From Russia with Love, Need for Speed - Most Wanted, SSX World Tour [Demo]",,SLUS-29167
"Eagle Eye Golf (Europe) (En,Fr,De,Es,It)",Eagle Eye Golf,,SLES-53484
Eagle Eye Golf (USA),Eagle Eye Golf,,SLUS-21486
Earache - Extreme Metal Racing (Europe),Earache - Extreme Metal Racing,,SLES-54139
Ecco the Dolphin - Defender of the Future (Europe) (Beta) (2001-11-07),Ecco the Dolphin - Defender of the Future,,SCES-50499
"Ecco the Dolphin - Defender of the Future (Europe) (En,Fr,De,Es,It)",Ecco the Dolphin - Defender of the Future,,SCES-50499
"Ecco the Dolphin - Defender of the Future (USA) (En,Fr,De,Es,It)",Ecco the Dolphin - Defender of the Future,,SLUS-20394
Echo Night - Beyond (Europe),Echo Night - Beyond,,SLES-53414
Echo Night - Beyond (USA),Echo Night - Beyond,,SLUS-20928
"Ed, Edd n Eddy - The Mis-Edventures (Europe)","Ed, Edd n Eddy - The Mis-Edventures",,SLES-53747
"Ed, Edd n Eddy - The Mis-Edventures (USA) (En,Fr)","Ed, Edd n Eddy - The Mis-Edventures",,SLUS-21260
Edel Blume (Japan),エーデルブルーメ,Edel Blume,SLPM-66976
Edel Blume (Japan) (Genteiban),エーデルブルーメ [限定版],Edel Blume [Limited Edition],SLPM-66975
Edomono (Japan),江戸もの,Edo Mono,SLPM-66040
ef - A Fairy Tale of the Two. (Japan),ef - A Fairy Tale of the Two.,ef - A Fairy Tale of the Two.,SLPM-55241
ef - A Fairy Tale of the Two. (Japan) (Shokai Gentei Tokubetsu Doukonban),ef - A Fairy Tale of the Two. [初回限定特別同梱版],ef - A Fairy Tale of the Two. [Shokai Gentei Tokubetsu Doukonban],SLPM-55240
EGBrowser (Japan) (v1.06),EGBROWSER,EGBrowser,SLPM-62068
EGBrowser (Japan) (v1.16),EGBROWSER,EGBrowser,SLPM-62111
EGBrowser BB (Japan),EGBROWSER BB,EGBrowser BB,SLPM-62176
"EGBrowser Light for I-O Data Device, Inc. (Japan)","EGBROWSER LIGHT for I-O DATA DEVICE, Inc.","EGBrowser Light for I-O Data Device, Inc.",SLPM-69004
Egg Mania - Eggstreme Madness (USA),Egg Mania - Eggstreme Madness,,SLUS-20452
Egg Mania - Eggstreme Madness (USA) (Demo),Egg Mania - Eggstreme Madness [Demo],,SLUS-29032
Egg Mania - Tsukande! Mawashite! Dossun Puzzle!! (Japan),エッグマニア つかんで！まわして！どっすんぱず～る！！,Tsukande! Mawashite! Dossun Pazuru Egg Mania,SLPS-20219
"Eggo Mania (Europe) (En,Fr,De)",Eggo Mania,,SLES-51101
Eidos Demo Disc (USA),Eidos Demo Disc,,SLUS-29035
Eien no Aselia - Kono Daichi no Hate de (Japan),永遠のアセリア −この大地の果てで−,Eternal Aselia - The Spirit of Eternity Sword,SLPS-25468
Eikan wa Kimi ni - Koushien e no Michi (Japan),栄冠は君に ～甲子園への道,Eikan ha Kimini - Koushine he no Michi,SLPS-25006
Eikan wa Kimi ni - Koushien no Hasha (Japan),栄冠は君に ～甲子園の覇者,Eikan ha Kimi ni - Koushien no Hasha,SLPS-25053
Eikan wa Kimi ni 2002 - Koushien no Kodou (Japan),栄冠は君に 2002 ～甲子園の鼓動,Eikan ha Kimi ni 2002 - Koushien no Kodou,SLPS-20184
Eikan wa Kimi ni 2002 - Koushien no Kodou (Japan),栄冠は君に 2002 ～甲子園の鼓動 [DigiCube Best Selection],Eikan ha Kimi ni 2002 - Koushien no Kodou [DigiCube Best Selection],SLPS-20274
Eikan wa Kimi ni 2004 - Koushien no Kodou (Japan),栄冠は君に 2004 ～甲子園の鼓動 [ARTDINK BEST CHOISE],Eikan ha Kimi ni 2004 - Koushien no Kodou [Artdink Best Choice],SLPS-20379
Eisei Meijin 7 - Tsuushin Shougi Club (Japan),永世名人7 通信将棋倶楽部,Eisei Meijin 7 - Tsuushin Shogi Club,SLPM-62302
Eisei Meijin IV (Japan),永世名人IV,Eisei Meijin 4,SLPM-62006
Eisei Meijin V (Japan),永世名人Ⅴ,Eternity Master V,SLPM-62054
Eisei Meijin VI - Tsuushin Shougi Club (Japan),永世名人Ⅵ  通信将棋倶楽部,Eisei Meijin6 - Tsuushin Shougi Club,SLPM-62141
"eJay Clubworld - The Music Making Experience (Europe) (En,Fr,De,Es,It)",eJay Clubworld,,SLES-50933
"eJay Clubworld - The Music Making Experience (Europe) (En,Fr,De,Es,It) (Beta) (2002-06-27)",eJay Clubworld,,SLES-50933
eJay Clubworld - The Music Making Experience (USA),eJay Club World,,SLUS-20525
"Elemental Gelade - Matoe, Suifuu no Tsurugi (Japan)",エレメンタルジェレイド-纏え、翠風の剣-,Elemental Gerad,SLPM-62623
Elminage - Yami no Miko to Kamigami no Yubiwa (Japan),エルミナージュ ～闇の巫女と神々の指輪～,Elminage - Yami no Fujo to Kamigami no Yubiwa,SLPM-66929
Elvandia Story (Japan),エルヴァンディアストーリー,Elvandia Story,SLPM-66585
Elysion - Eien no Sanctuary (Japan),エリュシオン～永遠のサンクチュアリ～,Elysion,SLPS-25220
"Empire of Atlantis (Europe) (En,Fr,De)",Empire of Atlantis,,SLES-52369
"Endgame (Europe) (En,Fr,De,Es,It)",Endgame,,SLES-50936
Endgame (USA),Endgame,,SLUS-20389
Endonesia (Japan),エンドネシア,Endonesia,SLPM-62047
Energy Airforce - Aim Strike! (Europe),Energy Airforce - Aim Strike!,,SLES-52265
Energy Airforce - Aim Strike! (France),Energy Airforce - Aim Strike!,,SLES-52266
Energy Airforce - Aim Strike! (Italy),Energy Airforce - Aim Strike!,,SLES-52267
Energy Airforce - Aim Strike! (Korea),Energy Airforce Aim Strike!,,SLKA-25181
Energy Airforce (Europe),Energy Airforce,,SLES-52310
"Energy Airforce (Europe) (En,Fr,De,Es)",Energy Airforce,,SLES-51646
Energy Airforce (Italy),Energy Airforce,,SLES-51647
Energy Airforce (Japan),エナジーエアフォース,Energy Airforce,SLPM-65177
Energy Airforce (Japan),エナジーエアーフォース [PlayStation2 The Best],Energy Airforce [PlayStation2 The Best],SLPM-74414
Energy Airforce (Japan),エナジーエアーフォース [Eternal Hits],Energy Airforce [Eternal Hits],SLPM-66774
Energy Airforce (Japan) (Taikenban),エナジーエアフォース TRIAL VERSION [体験版],Energy Airforce TRIAL VERSION [Trial],SLPM-60183
Energy Airforce (Korea),Energy Airforce,,SLKA-25002
Energy Airforce AimStrike! (Japan),エナジーエアフォース エイムストライク！,Energy Airforce - Aim Strike!,SLPM-65374
"Energy Thieves, The (Europe)",The Energy Thieves,,SLES-52716
England International Football - 2004 Edition (Europe),England International Football,,SLES-52385
Enjoy Golf! (Japan),エンジョイゴルフ！,Enjoy Golf!,SLPS-25517
"Enter the Matrix (Europe) (En,Fr,De,Es,It) (v1.01)",Enter the Matrix,,SLES-51203
Enter the Matrix (Japan),ENTER THE MATRIX,Enter the Matrix,SLPS-25254
"Enter the Matrix (Korea) (En,Ko)",Enter the Matrix,,SLKA-25032
Enter the Matrix (Taiwan),Enter the Matrix,,SLAJ-25015
Enter the Matrix (USA) (v1.01),Enter the Matrix,,SLUS-20454
"Enthusia - Professional Racing (Europe) (En,Fr,De,Es,It)",Enthusia Professional Racing,,SLES-53125
"Enthusia - Professional Racing (Europe) (En,Fr,De,Es,It) (Demo)",Enthusia Professional Racing [Demo],,SLED-53330
Enthusia - Professional Racing (USA),Enthusia Professional Racing,,SLUS-20967
Enthusia - Professional Racing (USA) (Demo),Enthusia Professional Racing,,SLUS-29151
Enthusia Professional Racing - Subaru Impreza WRX STI (Japan) (Taikenban),ENTHUSIA PROFESSIONAL Racing - SUBARU IMPREZA WRX STI [体験版],Enthusia Professional Racing - Subaru Impreza WRX STI [Trial],SLPM-68519
Enthusia Professional Racing (Japan),ENTHUSIA PROFESSIONAL RACING,Enthusia Professional Racing,SLPM-65948
Enthusia Professional Racing (Japan),ENTHUSIA PROFESSIONAL RACING [コナミ殿堂セレクション],Enthusia Professional Racing [KONAMI Dendou Selection],SLPM-66257
Enthusia Professional Racing (Japan) (Taikenban),ENTHUSIA PROFESSIONAL RACING [体験版],Enthusia Professional Racing [Trial],SLPM-61110
"Entraineur 5, L' - Saison 04-05 (France)",L'Entraineur 5 - Saison 04-05,,SLES-53221
"Ephemeral Fantasia (Europe) (En,Fr,De)",Ephemeral Fantasia,,SLES-50110
Ephemeral Fantasia (USA),Ephemeral Fantasia,,SLUS-20169
"Era Glaciale 3, L' - L'Alba dei Dinosauri (Italy)",L'Era Glaciale 3 - L'Alba dei Dinosauri,,SLES-55516
"Eragon (Europe, Australia) (En,Fr,De,Es,It)",Eragon,,SLES-54159
Eragon (Russia),Eragon,,SLES-54160
Eragon (USA),Eragon,,SLUS-21322
Erde - Nezu no Ki no Shita de (Japan),Erde ～ネズの樹の下で～,Erde - Nezu no Ki no Shita de,SLPS-25188
"Eredita, L' (Italy)",EyeToy - L'Eredita,,SLES-52155
Escape from Monkey Island (Europe),Escape from Monkey Island,,SLES-50225
Escape from Monkey Island (France),Escape from Monkey Island,,SLES-50226
Escape from Monkey Island (USA),Escape from Monkey Island,,SLUS-20181
Espgaluda (Japan),エスプガルーダ,Espgaluda,SLPS-25352
ESPN College Hoops (USA) (v1.02),ESPN - College Hoops,,SLUS-20729
ESPN College Hoops (USA) (v1.03),ESPN - College Hoops,,SLUS-20729
ESPN College Hoops 2K5 (USA),ESPN - College Hoops 2K5,,SLUS-20922
ESPN International Track & Field (Europe) (Beta) (2000-09-22),ESPN International Track & Field,,SLES-50036
"ESPN International Track & Field (Europe) (En,Fr,De)",ESPN International Track & Field,,SLES-50036
ESPN International Track & Field (USA),ESPN International Track & Field,,SLUS-20041
"ESPN International Winter Sports (Europe) (En,Fr,De,It)",ESPN International Winter Sports,,SLES-50586
ESPN International Winter Sports 2002 (USA),ESPN - International Winter Sports 2002,,SLUS-20320
ESPN Major League Baseball (USA),ESPN - Major League Baseball,,SLUS-20794
ESPN MLS ExtraTime (USA),ESPN - MLS Extra Time,,SLUS-20128
ESPN National Hockey Night (Europe),ESPN National Hockey Night,,SLES-50171
ESPN National Hockey Night (Japan),ESPN NATIONAL HOCKEY NIGHT,ESPN National Hockey Night,SLPM-62041
ESPN National Hockey Night (USA),ESPN - National Hockey Night,,SLUS-20166
ESPN NBA 2K5 (Europe),ESPN NBA 2K5,,SLES-53022
ESPN NBA 2K5 (USA),ESPN - NBA 2K5,,SLUS-20920
ESPN NBA 2Night (Europe),ESPN NBA 2Night,,SLES-50075
ESPN NBA 2Night (Japan),ESPN NBA 2night,ESPN NBA 2night,SLPM-62032
ESPN NBA 2Night (USA),ESPN - NBA 2 Night,,SLUS-20143
ESPN NBA 2Night 2002 (Japan),ESPN NBA 2night 2002,ESPN NBA 2night 2002,SLPM-62121
ESPN NBA 2Night 2002 (USA),ESPN - NBA 2 Night 2002,,SLUS-20261
ESPN NBA Basketball (Europe),NBA 2K4,,SLES-51949
ESPN NBA Basketball (USA),ESPN - NBA Basketball,,SLUS-20726
ESPN NFL 2K5 (Europe),ESPN NFL 2K5,,SLES-52943
ESPN NFL 2K5 (USA),ESPN - NFL 2K5,,SLUS-20919
ESPN NFL Football (Europe),ESPN NFL 2K4,,SLES-51947
ESPN NFL Football (USA),ESPN - NFL Football,,SLUS-20727
ESPN NFL PrimeTime 2002 (USA),ESPN - NFL Prime Time 2002,,SLUS-20308
ESPN NHL 2K5 (Europe),ESPN NHL 2K5,,SLES-52966
ESPN NHL 2K5 (USA),ESPN - NHL 2K5,,SLUS-20921
ESPN NHL Hockey (Europe),ESPN NHL Hockey 2K4,,SLES-51948
ESPN NHL Hockey (USA),ESPN - NHL Hockey,,SLUS-20728
ESPN Winter X Games Snowboarding (Japan),ESPN XGames Snowboarding,ESPN X Games Snowboarding,SLPM-65009
ESPN Winter X Games Snowboarding (USA),ESPN Winter X Games Snowboarding,,SLUS-20089
ESPN Winter X Games Snowboarding (USA) (Demo),ESPN Winter Games Snowboarding [Demo],,SLUS-29001
ESPN Winter X Games Snowboarding 2002 (Japan),ESPN winter Xgames Snowboarding 2002,ESPN Winter X Games Snowboarding 2002,SLPM-65072
ESPN X Games Skateboarding (Japan),ESPN XGames skateboarding,ESPN X Games Skateboarding,SLPM-62084
ESPN X Games Skateboarding (USA),ESPN X Games Skateboarding,,SLUS-20237
ESPN X Games Skateboarding (USA) (Demo),ESPN X Games Skateboarding [Demo],,SLUS-29008
Eternal Poison (USA),Eternal Poison,,SLUS-21779
Eternal Quest (Europe),Eternal Quest,,SLES-51624
Eternal Ring (Europe),Eternal Ring,,SLES-50051
Eternal Ring (Japan),エターナルリング,Eternal Ring,SLPS-25001
Eternal Ring (USA),Eternal Ring,,SLUS-20015
Etude Prologue - Yureugoku Kokoro no Katachi (Japan),e'tude prologue ～揺れ動く心のかたち～,Etude Prologue - Yureugoku Kokoro no Katachi,SLPS-25617
Eureka Seven - New Vision (Japan),エウレカセブン NEW VISION,Eureka Seven - New Vision,SLPS-25646
Eureka Seven - New Vision (Japan),エウレカセブン NEW VISION [Welcome Price 2800],Eureka Seven - New Vision [Welcome Price 2800],SLPS-25706
Eureka Seven TR1 - New Wave (Japan),エウレカセブン TR1:NEW WAVE,Eureka Seven TR1 - New Wave,SLPS-25554
Eureka Seven TR1 - New Wave Graduation (Japan),エウレカセブン NEW WAVE Graduation [Welcome Price 6800 DVD同梱版],Eureka Seven - New Wave Graduation [Welcome Price 6800 with DVD],SLPS-25707
Eureka Seven Vol. 1 - The New Wave (USA),Eureka Seven - Vol.1 - The New Wave,,SLUS-21353
Eureka Seven Vol. 2 - The New Vision (USA),Eureka Seven - Vol.2 - The New Vision,,SLUS-21538
"Euro Rally Champion (Europe) (En,Fr,De,Es,It)",Euro Rally Champion,,SLES-52378
European Club Soccer - Winning Eleven Tactics (Japan),ヨーロピアンクラブサッカーウイニングイレブンタクティクス,European Club Soccer - Winning Eleven Tactics,SLPM-65804
European Tennis Pro (Europe),European Tennis Pro,,SLES-51813
Evangelion - Jo (Japan),ヱヴァンゲリヲン：序,Evangelion - Jo,SLPS-25932
Eve - Burst Error Plus (Japan),EVE burst error PLUS,Eve Burst Error Plus,SLPM-65320
Eve - Burst Error Plus (Japan),EVE burst error PLUS [GameVillage The Best],EVE - Burst Error Plus [GameVillage The Best],SLPM-65930
Eve - Burst Error Plus (Japan) (Premium DVD-Box),EVE burst error PLUS [限定版 DVD-BOX],Eve Burst Error Plus [Limited Edition],SLPM-65319
Eve - New Generation (Japan),イブ～ニュージェネレーション～,EVE New Generation,SLPM-66338
Eve - New Generation (Japan) (DX Pack),イブ～ニュージェネレーション～ DXパック,EVE New Generation [Deluxe Pack],SLPM-66337
Ever 17 - The Out of Infinity (Japan) (Infinity Plus),Ever17 ～the out of infinity～ [恋セレ],Ever 17 - The Out of Infinity [Renai Game Selection],SLPM-55086
Ever 17 - The Out of Infinity (Japan) (Shokai Genteiban),Ever17 ～the out of infinity～ [限定版],Ever 17 - The Out of Infinity [Limited Edition],SLPS-25138
Ever 17 - The Out of Infinity Premium Edition (Japan),Ever17 ～the out of infinity～ [PREMIUM EDITION],Ever 17 - The Out of Infinity [Premium Edition],SLPM-65421
Everblue (Europe),Everblue,,SLES-50639
Everblue (Japan),EVER BLUE,Ever Blue,SLPM-62081
Everblue (Japan),EVER BLUE [カプコレ],Ever Blue [CapColle The Best],SLPM-62216
Everblue 2 (Europe),Everblue 2,,SLES-51381
Everblue 2 (Japan),EVER BLUE2,Ever Blue 2,SLPM-62214
Everblue 2 (USA),Everblue 2,,SLUS-20598
"Evergrace (Europe) (En,Fr,De,Es,It)",Evergrace,,SLES-50050
"Evergrace (Europe) (En,Fr,De,Es,It) (Beta) (2001-01-26)",Evergrace,,SLES-50050
Evergrace (Japan),エヴァ―グレイス,Evergrace,SLPS-25003
Evergrace (USA),Evergrace,,SLUS-20016
Evergrace II (Japan),エヴァーグレイスⅡ,Evergrace II,SLPS-25044
EverQuest - Online Adventures - Frontiers (USA),EverQuest Online Adventures - Frontiers,,SLUS-20744
EverQuest - Online Adventures - Frontiers (USA) (Beta) (2003-07-18),EverQuest Online Adventures - Frontiers [Public Beta Ver.1.0],,SLUS-29063
EverQuest - Online Adventures (Europe),EverQuest Online Adventures,,SCES-51648
EverQuest - Online Adventures (Europe) (Demo),EverQuest Online Adventures [Demo],,SCED-51728
"EverQuest - Online Adventures (Europe) (En,Fr,De)",EverQuest Online Adventures,,SCES-51725
EverQuest - Online Adventures (USA),EverQuest Online Adventures,,SLUS-20470
EverQuest - Online Adventures (USA) (Beta) (2002-09-18),EverQuest Online Adventures [Beta Vol.1.0],,SLUS-28020
EverQuest - Online Adventures (USA) (Beta) (2002-10-20),EverQuest Online Adventures [Beta Vol.2.0],,SLUS-28021
EverQuest - Online Adventures (USA) (Beta) (2002-11-17),EverQuest Online Adventures [Beta Vol.3.0],,SLUS-28026
EverQuest - Online Adventures (USA) (Demo),EverQuest Online Adventures [Regular Demo],,SLUS-29050
Everybody's Golf (Europe) (Beta) (2005-06-16),Everybody's Golf 4 Beta Trial Code,,TCES-52582
"Everybody's Golf (Europe, Australia) (En,Fr,De,Es,It)",Everybody's Golf,,SCES-52582
Everybody's Golf 4 (Korea),Minna no Golf 4 - Everybody's Golf,,SCKA-20057
Everybody's Golf 4 (Korea),Everybody's Golf 4,,SCKA-20105
"Everybody's Tennis (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",Everybody's Tennis,,SCES-54535
Everybody's Tennis (Korea),모두의 테니스,Everybody's Tennis,SCKA-20088
Evil Dead - A Fistful of Boomstick (Europe),Evil Dead - A Fistful of Boomstick,,SLES-51806
Evil Dead - A Fistful of Boomstick (Europe) (Special Movie Edition),Evil Dead - A Fistful of Boomstick [with Bonus DVD Movie],,SLES-51588
Evil Dead - A Fistful of Boomstick (USA),Evil Dead - A Fistful of Boomstick,,SLUS-20403
Evil Dead - Regeneration (Europe),Evil Dead - Regeneration,,SLES-53457
Evil Dead - Regeneration (Korea),이블데드 - 리제너레이션,Evil Dead - Regeneration,SLKA-25306
Evil Dead - Regeneration (USA),Evil Dead - Regeneration,,SLUS-21048
"Evil Twin - Cyprien's Chronicles (Europe) (En,Fr,De,Es,It)",Evil Twin - Cyprien's Chronicles,,SLES-50201
"Evolution GT (Europe) (En,Fr,De,Es,It)",Evolution GT,,SLES-53976
Evolution GT (Poland),Evolution GT,,SLES-54254
"Evolution Skateboarding (Europe) (En,Fr,De)",Evolution Skateboarding,,SLES-51349
Evolution Skateboarding (Japan),Evolution Skateboarding,Evolution Skateboarding,SLPM-65213
Evolution Skateboarding (Korea),Evolution Skateboarding,,SLKA-25015
Evolution Skateboarding (USA),Evolution Skateboarding,,SLUS-20540
"Evolution Snowboarding (Europe) (En,Fr,De)",Evolution Snowboarding,,SLES-51392
Evolution Snowboarding (Japan),EVOLUTION SNOWBOARDING,Evolution Snowboarding,SLPM-65231
Evolution Snowboarding (Korea),Evolution Snowboarding,,SLKA-25014
Evolution Snowboarding (USA),Evolution Snowboarding,,SLUS-20546
EX Billiards (Japan),EXビリヤード,EX Billiards,SLPS-20005
EX Jinsei Game (Japan),EX人生ゲーム,EX Jinsei Game,SLPM-62116
EX Jinsei Game (Japan) (Doukonban),EX人生ゲーム [ルーレットコントローラ同梱版],EX Jinsei Game [Controller Doukonban],SLPM-62115
EX Jinsei Game II (Japan),EX人生ゲームⅡ,EX Jinsei Game II,SLPM-65415
EX Jinsei Game II (Japan),EX人生ゲームⅡ [ATLUS BEST COLLECTION],EX Jinsei Game II [ATLAS Best Collection],SLPM-66251
EX Jinsei Game II (Japan),EX人生ゲームⅡ [PlayStation2 the Best],EX Jinsei Game II [PlayStation 2 the Best - Reprint],SLPM-74254
EX Jinsei Game II (Japan),EX人生ゲームⅡ [PlayStation2 the Best],EX Jinsei Game II [PlayStation 2 the Best],SLPM-74274
EX Okuman Chouja Game - The Money Battle (Japan),EX億万長者ゲーム - THE MONEY BATTLE [THE BEST タカラモノ],EX Okuman Chouja Game - THE MONEY BATTLE [Takara THE BEST],SLPM-62596
EX Okuman Chouja Game - The Money Battle (Japan),EX億万長者ゲーム - THE MONEY BATTLE,EX Okuman Chouja Game - THE MONEY BATTLE,SLPM-62103
EX Okuman Chouja Game - The Money Battle (Japan),EX億万長者ゲーム - THE MONEY BATTLE [ATLUS BEST COLLECTION],EX Okuman Chouja Game - THE MONEY BATTLE [Atlus Best Collection],SLPM-62757
Exciting Pro Wres 3 (Japan),エキサイティングプロレス 3,Exciting Pro Wrestling 3,SLPS-25087
Exciting Pro Wres 3 (Japan),エキサイティングプロレス 3,Exciting Pro Wrestling 3,SLPS-73409
Exciting Pro Wres 3 (Japan) (Genteiban),エキサイティングプロレス 3 [限定版],Exciting Pro Wrestling 3 [Limited Editon],SLPS-25083
Exciting Pro Wres 3 (Japan) (Taikenban),エキサイティングプロレス 3 [体験版],Exciting Pro Wrestling 3 [Trial],SLPM-60169
Exciting Pro Wres 4 (Japan),エキサイティングプロレス 4,Exciting Pro Wrestling 4,SLPS-25210
Exciting Pro Wres 4 (Japan) (Taikenban 1),エキサイティングプロレス 4,Exciting Pro Wrestling 4,SLPS-20223
Exciting Pro Wres 4 (Japan) (Taikenban 2),エキサイティングプロレス 4 [体験版],Exciting Pro Wrestling 4 [Trial],SLPM-60197
Exciting Pro Wres 5 (Japan),エキサイティングプロレス 5 [YUKE's the Best],Exciting Pro Wrestling 5 [Yuke's the Best],SLPM-65779
Exciting Pro Wres 5 (Japan),エキサイティングプロレス 5,WWE Smackdown! Here Comes the Pain - Exciting Pro Wrestling 5,SLPS-25327
Exciting Pro Wres 5 (Japan) (Shokai Genteiban),エキサイティングプロレス 5 [限定版],WWE Smackdown! Here Comes the Pain - Exciting Pro Wrestling 5 [Limited Edition],SLPS-25326
Exciting Pro Wres 6 - WWE SmackDown! vs. Raw (Japan),エキサイティングプロレス 6 - WWE SMACKDOWN! vs. RAW,Exciting Professional Wrestling 6 - WWE SMACKDOWN! vs. RAW,SLPM-65881
Exciting Pro Wres 6 - WWE SmackDown! vs. Raw (Japan),エキサイティングプロレス 6 - WWE SMACKDOWN! vs. RAW [YUKE's the Best],Exciting Pro Wrestling 6 - WWE SmackDown! vs. Raw [Yuke's the Best],SLPM-66187
Exciting Pro Wres 6 - WWE SmackDown! vs. Raw (Japan) (Taikenban),エキサイティングプロレス 6 - WWE SMACKDOWN! vs. RAW [体験版],Exciting Pro Wrestling 6 - WWE SMACKDOWN! vs. RAW [Trial],SLPM-61098
Exciting Pro Wres 6 (Japan) (Taikenban),エキサイティングプロレス 6 - WWE SMACKDOWN! vs. RAW,Exciting Pro Wrestling 6 - WWE SmackDown! vs. Raw,SLPM-65852
Exciting Pro Wres 7 - WWE SmackDown! vs. Raw 2006 (Japan),エキサイティングプロレス 7 - WWE SMACKDOWN! vs. RAW 2006,Exciting Pro Wrestling 7 - WWE SMACKDOWN! vs. RAW 2006,SLPM-66268
Exciting Pro Wres 7 (Japan) (Taikenban),エキサイティングプロレス 7 - WWE SMACKDOWN! vs. RAW 2006,Exciting Pro Wres 7 - WWE SMACKDOWN! vs. RAW 2006,SLPM-66188
Exclusive PlayStation 2 Summer Sample Disc (Australia),Exclusive PlayStation 2 Summer Sample Disc,,SCES-51407
"Extermination (Europe) (En,Fr,De,Es,It)",Extermination,,SCES-50240
Extermination (Japan),EXTERMINATION,Extermination,SCPS-15011
Extermination (Japan),EXTERMINATION [PlayStation2 the Best],Extermination [PlayStation2 the Best],SCPS-19202
Extermination (Japan) (Taikenban),EXTERMINATION [体験版],Extermination [Trial],PAPX-90211
Extermination (USA),Extermination,,SCUS-97112
Extermination (USA) (Demo),Extermination [Demo],,SCUS-97160
Extreme Sprint 3010 (Europe),Extreme Sprint 3010,,SLES-53080
ExZeus (Europe),Ex Zeus,,SLES-52601
