Redump_title,title,localized_title,Serial
"24 - The Game (Europe) (En,Fr,De,Es,It,Pl,Cs,Hu) (Beta) (2005-11-28)",24 - The Game,,SCES-53358
"24 - The Game (Europe, Australia) (En,Fr,De,Es,It,Nl,Pl,Cs,Hu) (v1.00)",24 - The Game,,SCES-53358
"24 - The Game (Europe, Australia) (En,Fr,De,Es,It,Nl,Pl,Cs,Hu) (v2.00)",24 - The Game,,SCES-53358
"24 - The Game (USA) (En,Fr,Es)",24 - The Game,,SLUS-21268
25 to Life (Europe),25 to Life,,SLES-53199
25 to Life (USA),25 to Life,,SLUS-21016
25 to Life (USA) (Beta) (2005-05-26),25 to Life [Public Beta Vol.1.0],,SLUS-29129
3 Title Special Disc - Saru! Get You! 2 & PoPoLoCrois - Hajimari no Bouken & Boku no Natsuyasumi 2 (Japan) (Taikenban),3タイトルスペシャルディスク「サルゲッチュ2・ポポロクロイス-はじまりの冒険-・ぼくのなつやすみ2」 [体験版],3 Title Special Disc (Saru! Get You! 2 - PoPoLoCrois: Hajimari no Bouken - Boku no Natsuyasumi 2) [Trial],PCPX-96328
3D Kakutou Tkool 2 (Japan),3D格闘ツクール2,3D Fighter Maker 2,SLPS-20214
3D Kakutou Tkool 2 (Japan),3D格闘ツクール2 [eb!コレ],3D Fighter Maker 2 [ebKore],SLPS-20318
3D Mahjong + Janpai Tori (Japan),3D麻雀+雀牌取り,3D Mahjong + Janpai Tori,SLPS-20482
3LDK - Shiawase ni Narou yo (Japan),3LDK ～幸せになろうよ～,3LDK - Shiawase ni Narou yo,SLPM-65608
3LDK - Shiawase ni Narou yo (Japan) (Shokai Genteiban),3LDK ～幸せになろうよ～ [初回限定版],3LDK - Shiawase ni Narou yo [First Print Limited Edition],SLPM-65607
3-nen B-gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate! (Japan),3年B組金八先生 伝説の教壇に立て！,3-nen B-gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate!,SLPS-25357
3-nen B-gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate! Kanzenban (Japan),3年B組金八先生 伝説の教壇に立て！ 完全版,3-nen B-gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate! Kanzenban,SLPM-66089
"4x4 Evo (Europe) (En,Fr,De)",4x4 Evo,,SLES-50194
4x4 Evo (USA),4x4 Evo,,SLUS-20091
"4x4 Evo 2 (Europe) (En,Fr,De)",4x4 Evo 2,,SLES-51199
50 Cent - Bulletproof (Australia),50 Cent - Bulletproof,,SLES-53994
50 Cent - Bulletproof (Europe),50 Cent - Bulletproof,,SLES-53734
50 Cent - Bulletproof (France),50 Cent - Bulletproof,,SLES-53906
50 Cent - Bulletproof (USA),50 Cent - Bulletproof,,SLUS-21315
6-gatsu Hatsubai Title Promotion Disc - Aconcagua & Boku no Natsuyasumi & TVDJ (Japan),6月発売タイトル プロモーションディスク 店頭試遊台用 ムービーディスク,6-gatsu Hatsubai Title Promotion Disc (Aconcagua - Boku no Natsuyasumi - TVDJ),PCPX-96303
7 (Seven) - Molmorth no Kiheitai (Japan) (v1.20),7(セブン) ～モールモースの騎兵隊～,7 (Seven) - Molmorth no Kiheitai,SLPS-25025
7 (Seven) - Molmorth no Kiheitai (Japan) (v2.00),7(セブン) ～モールモースの騎兵隊～,7 (Seven) - Molmorth no Kiheitai,SLPS-25025
7 (Seven) - Molmorth no Kiheitai (Japan) (v2.00),7(セブン) ～モールモースの騎兵隊～ [PlayStation2 the Best],7 (Seven) - Molmorth no Kiheitai [PlayStation2 the Best],SLPS-73408
"7 Blades (Europe) (En,Fr,De)",7 Blades,,SLES-50109
7 Blades (Japan),7 BLADES,7 Blades,SLPM-65008
7 Blades (Japan),7 BLADES [KONAMI The Best],7 Blades [KONAMI The Best],SLPM-65057
7 Sins (Europe),7 Sins,,SLES-53297
"7 Sins (Europe) (Fr,Es,It)",7 Sins,,SLES-53280
7 Sins (Germany),7 Sins,,SLES-53364
"7 Wonders of the Ancient World (Europe) (En,Fr,De,Es,It)",7 Wonders of the Ancient World,,SLES-55069
7 Wonders of the Ancient World (USA),7 Wonders of the Ancient World,,SLUS-21693
81diver (Japan),ハチワンダイバー,Hachi-One Diver,SLPS-20509
989 Sports (USA) (2003),989 Sports 2003 Demo Disc,,SCUS-94677
989 Sports (USA) (2004),989 Sports 2004 Demo Disc,,SCUS-97373
A Ressha de Ikou 2001 (Japan),A列車で行こう2001,A Ressha de Ikou 2001,SLPS-25017
A Ressha de Ikou 2001 (Japan),A列車でいこう2001,A Ressha de Ikou 2001,SLPS-25175
A Visual Mix - Ayumi Hamasaki Dome Tour 2001 A (Japan) (Disc 1),“A” VISUAL MIX [ディスク1/2],Visual Mix - Ayumi Hamasaki Dome Tour 2001 [Disc 1 of 2],SLPM-65086
A Visual Mix - Ayumi Hamasaki Dome Tour 2001 A (Japan) (Disc 1) (Alt),“A” VISUAL MIX [ディスク1/2],Visual Mix - Ayumi Hamasaki Dome Tour 2001 [Disc 1 of 2],SLPS-25071
A Visual Mix - Ayumi Hamasaki Dome Tour 2001 A (Japan) (Disc 2),“A” VISUAL MIX [ディスク2/2],Visual Mix - Ayumi Hamasaki Dome Tour 2001 [Disc 2 of 2],SLPM-65087
A Visual Mix - Ayumi Hamasaki Dome Tour 2001 A (Japan) (Disc 2) (Alt),“A” VISUAL MIX [ディスク2/2],Visual Mix - Ayumi Hamasaki Dome Tour 2001 [Disc 2 of 2],SLPS-25072
A6 - A Ressha de Ikou 6 (Japan),A列車で行こう6,A-Train 6,SLPS-20006
Aa Megami-sama (Japan),ああっ女神さまっ [Best Collection],Aa Megami-sama [PlayStation2 the Best],SLPS-25894
Abarenbou Princess (Japan),暴れん坊プリンセス,Abarenbou Princess,SLPM-65054
Abarenbou Princess (Japan) (Taikenban),暴れん坊プリンセス [体験版],Abarenbou Princess [Trial],SLPM-61018
"AC-DC Live - Rock Band (Europe, Australia) (En,Fr,De,Es,It)",AC-DC LIVE - Rock Band,,SLES-55457
AC-DC Live - Rock Band Track Pack (USA),Rock Band Track Pack - AC-DC Live,,SLUS-21848
Ace Combat - Distant Thunder (Europe) (Beta) (2001-11-15),Ace Combat - Distant Thunder,,SCES-50410
"Ace Combat - Distant Thunder (Europe, Australia) (En,Fr,De,Es,It)",Ace Combat - Distant Thunder,,SCES-50410
Ace Combat - Squadron Leader (Europe) (Demo),Ace Combat - Squadron Leader [Demo],,SCED-53081
