Redump Name,Domestic Title,Overseas Title,Product No.,Build Date,Hardware,Company,Disc Type,Version,I/O Devices,Region,Size
Final Fight CD (USA) (Alt 2),FINAL FIGHT CD,FINAL FIGHT CD,MK-4410,1993.MAY,SEGA GENESIS,(C)SEGA,GM,0,J,U,28209888
Flashback - The Quest for Identity (USA),FLASHBACK,FLASHBACK,T-79035-,1994.JUL,SEGA GENESIS,(C)T-79,GM,0,J,U,268678368
"Flink (Europe) (En,Fr,De,Es,Nl)",THE (MIS)ADVENTURES OF FLINK,THE (MIS)ADVENTURES OF FLINK,T-113055,1994.AUG,SEGA MEGA DRIVE,(C)T-113,GM,50,J,E,2695392
"Flink (USA) (En,Fr,De,Es,Nl)",THE (MIS)ADVENTURES OF FLINK,THE (MIS)ADVENTURES OF FLINK,T-23055-,1994.DEC,SEGA GENESIS,(C)T-23,GM,0,J,U,2700096
Formula One World Championship - Beyond the Limit (Europe),FORMULA ONE WORLD CHAMPIONSHIP,FORMULA ONE WORLD CHAMPIONSHIP,MK-4608,1994.JUL,SEGA MEGA DRIVE,(C)SEGA,GM,0,J6,E,202768272
Formula One World Championship - Beyond the Limit (USA),FORMULA ONE WORLD CHAMPIONSHIP,FORMULA ONE WORLD CHAMPIONSHIP,MK-4608,1994.JUN,SEGA GENESIS,(C)SEGA,GM,0,J6,U,202721232
Fresh Cleaner (Japan),(unknown),(unknown),(unknown),(unknown),SEGA MEGA DRIVE,(unknown),(unknown),(unknown),J,(unknown),6644400
Game no Kandume Vol. 1 (Japan),ゲームのかんづめ Vol.1,GAME CAN Vol.1,G-6032,1994.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,11416608
Game no Kandume Vol. 2 (Japan),ゲームのかんづめ Vol.2,GAME CAN Vol.2,G-6033,1994.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,9041088
Garou Densetsu Special (Japan),Garoudensetsu Special,Garoudensetsu Special,T-60214,1995.MAR,SEGA MEGA DRIVE,(C)T-60,GM,0,J6,U,15826608
Gen'ei Toshi - Illusion City (Japan),ILLUSION CITY,(unknown),T-51014,1993.MAY,SEGA MEGA DRIVE,(C)T-51,GM,1,JC,J,18444384
Ground Zero Texas (Europe) (Disc 1),GROUND ZERO TEXAS,GROUND ZERO TEXAS,T-93145,1993.NOV,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,630267792
Ground Zero Texas (Europe) (Disc 2),GROUND ZERO TEXAS,GROUND ZERO TEXAS,T-93145,1993.NOV,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,600804288
Ground Zero Texas (USA) (Disc 1),GROUND ZERO TEXAS,GROUND ZERO TEXAS,T-93145,1993.NOV,SEGA GENESIS,(C)SEGA,GM,0,J,U,629355216
