No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,CRC32,MD5,SHA1,SHA256
99 Balls (World) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C)S.Fatberg2021,99 Balls,99 Balls,GM,00000000-00,(unknown),0 (0x0000),JUE,01199F5E,3643fa146f42c7efbad0fc7c2b74d90a,213ebfc71992751cb9897c2f0fcd697c62e57137,ce0747ec3e77aae16f49279ffe81e0a029e69210f11e310f899ad4bc9a667311
A Ressha de Ikou MD (Japan),SEGA MEGA DRIVE,(C)SEGA 1991.DEC,Ａ列車で行こうＭＤ,Ａ列車で行こうＭＤ,GM,G-4532,0,28745 (0x7049),J,3D45DE4F,a4e3e5bd68f166c1ef2aa0baf0f9d7e2,d0d0aaad68978fd15c5857773141ae639de1abc7,212959128b6195029b2a4648bafab60c1fc697f4af2e822d86276109a64b3aa6
Aa Harimanada (Japan),SEGA MEGA DRIVE,(C)SEGA 1993.AUG,ああ播磨灘,(unknown),(unknown),G-4086,1,23561 (0x5C09),J,065F6021,009c279b77b890c7b197667d254cc362,fcc4b27aaaea0439fb256f40fb79c823d90a9d88,5e8628add0c73b852441c1885c14d175e8597108e81f7ffcc52ae7f4cc824f39
Aaahh!!! Real Monsters (Europe),SEGA MEGADRIVE,(C)T-1391995.DEC,NICKELODEON AAAHH!!! REAL MONSTERS,NICKELODEON AAAHH!!! REAL MONSTERS,GM,T139066-50,(unknown),27728 (0x6C50),8,7AD115FF,692c8ae1698c12ae160b466a796653e2,9f6361fecbeee1c703b5c988d10a5cb09751ad2a,9004f86d4296cd1dc7176f3ef3fe64cc7324a16811b638d2696e5511b5ccf840
Aaahh!!! Real Monsters (USA),SEGA GENESIS,(C)T-1391995.SEP,NICKELODEON AAAHH!!! REAL MONSTERS,NICKELODEON AAAHH!!! REAL MONSTERS,GM,T139066-00,(unknown),63343 (0xF76F),4,FDC80BFC,9f54481697efc9e6b96fcd054883ae70,fa579a7e47ee4a1bdb080bbdec1eef480a85293e,64922a43a51de265c97414a0fa67d10c0955533bdfdd3c5a41b4a996acf627ef
Aaahh!!! Real Monsters (USA) (Beta) (1995-07-07),SEGA MEGA DRIVE,(C)SEGA 1992.JUN,NORMY,KILLER TOMATOES,GM,00000000-00,(unknown),23412 (0x5B74),JUE,F4B44B82,3bb25145591e429ffe2c22a933841613,b0f1885e74e5aa39872f09444d82c8ebf284eba1,cd080d632dc88ed0122fa4a5b1240a300e007a7819e044cfe2586950149b9408
"Abbaye des Morts, L' (World) (Beta) (2017-09-07) (Aftermarket) (Unl)",SEGA MEGA DRIVE,(C)LGM 2010-2017,L'Abbaye des morts for Sega Genesis/Megadrive,L'Abbaye des morts for Sega Genesis/Megadrive,(unknown),LGM-01-0,1,0 (0x0000),JUE,8865EE24,bc2e5590cc0e7b6e863b4275343839d4,c65b9c58a01973700ababccf1e4ae3064345c9d6,b37b4eb4456ba7d89c4d5051c22dbe715002323ca5700857df98cfab9cbda9c3
Abyssal Infants (World) (Proto) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C)SGDK 2021,SAMPLE PROGRAM,SAMPLE PROGRAM,GM,00000000-00,(unknown),7757 (0x1E4D),JUE,0A78953A,476800e1d19171b2643a578c35d0129d,eaea4df0eee219dd9d77ed912b1243c2aef93506,0964faf3705afd247e4e57ef247734b0c4911ee7f39b39b53bbf0141b7b4c48d
Academia do Saber (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)SEGA 2005.ABR,MEGA DRIVE 71J,MEGA DRIVE 71J,(unknown),TECTOY,2005,6155 (0x180B),U,A5D5369E,4aaff5e87fd74fcd9e116b911e4bc82d,f3b50a95ce64ec144981532ee7ed80e0b31344ff,7455f9f62fca2cdb1684dd54c8da27da336c0d3501fb188461223fff8be44939
Action 52 (USA) (Unl),SEGA GENESIS,(C)T-93 1993.MAY,ACTION 52,ACTION 52,GM,T-00000,0,20753 (0x5111),UJE,29FF58AE,4adf124ff9d111cb3946a65020918d5e,1d5b26a5598eea268d15fa16d43816f8c3e4f8c6,dec23d1620c62bb4fd8737d6a49d530a01659aa6a43f435e0a6eaa9987caeb7a
