TOSEC Name,Game Title,Product Number (GameID),Version,Build Date,Playable Regions,Area Symbols,Device Info,Peripherals,Company,Hardware ID,Maker ID,Boot Filename,File Size (bytes)
Resident Evil - Code Veronica v1.000 (2000)(Eidos)(PAL)(Disc 2 of 2)[!],RESIDENT EVIL CODE VERONICA,T36806D 05,V1.000,20000423,Europe,E,GD-ROM2/2,0799A00,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Resident Evil - Code Veronica v1.000 (2000)(Eidos)(PAL)(FR)(Disc 1 of 2)[!],RESIDENT EVIL CODE VERONICA,T36806D 09,V1.000,20000415,Europe,E,GD-ROM1/2,0799A00,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Resident Evil - Code Veronica v1.000 (2000)(Eidos)(PAL)(FR)(Disc 2 of 2)[!],RESIDENT EVIL CODE VERONICA,T36806D 09,V1.000,20000415,Europe,E,GD-ROM2/2,0799A00,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Resident Evil 2 v1.000 (2000)(Virgin)(PAL)(en-fr)(Disc 1 of 2)[!][Leon],RESIDENT EVIL 2,T7004D  50,V1.000,20000222,Europe,E,GD-ROM1/2,0799A11,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,0WINCEOS.BIN,1928640
Resident Evil 2 v1.000 (2000)(Virgin)(PAL)(en-fr)(Disc 2 of 2)[!][Claire],RESIDENT EVIL 2,T7004D  50,V1.000,20000222,Europe,E,GD-ROM2/2,0799A11,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,0WINCEOS.BIN,1928640
Resident Evil 2 v1.001 (2000)(Capcom)(US)(Disc 1 of 2)[!][Leon],RESIDENT EVIL 2,T1205N,V1.001,20001106,USA/Canada,U,GD-ROM1/2,0799A11,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,0WINCEOS.BIN,1928640
Resident Evil 2 v1.001 (2000)(Capcom)(US)(Disc 2 of 2)[!][Claire],RESIDENT EVIL 2,T1205N,V1.001,20001106,USA/Canada,U,GD-ROM2/2,0799A11,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,0WINCEOS.BIN,1928640
Resident Evil 3 - Nemesis v1.000 (2000)(Capcom)(US)[!],RESIDENT EVIL3,T1220N,V1.000,20000926,USA/Canada,U,GD-ROM1/1,0799A10,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1232448
Resident Evil 3 - Nemesis v1.000 (2000)(Virgin)(PAL)(DE)[!],RESIDENT EVIL3,T7021D  18,V1.000,20001120,Europe,E,GD-ROM1/1,0799A00,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1232448
Resident Evil 3 - Nemesis v1.000 (2000)(Virgin)(PAL)(ES-FR)[!],RESIDENT EVIL3,T7021D  72,V1.000,20001120,Europe,E,GD-ROM1/1,0799A00,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1232448
