Redump Name,Game Title,Product ID,Version,Hardware,Marker ID,Build Date,Disc Type,Peripherals,Region
2do Aru Koto wa Sando R (Japan),SAND R,T-6802G,V1.003,SEGA SEGASATURN,SEGA TP T-68,19960307,CD-1/1,J,J
2Tax Gold (Japan),NITAX_GOLD                                                                                         For JAPAN,T-4305G,V1.002,SEGA SEGASATURN,SEGA TP T-43,19961122,CD-1/1,J,J
3D Baseball - The Majors (Japan),3D BASEBALL THE MAJORS,T-18003G,V1.000,SEGA SEGASATURN,SEGA TP T-159,19961111,CD-1/1,JAT,J
3D Baseball (USA),3D BASEBALL,T-15906H,V1.002,SEGA SEGASATURN,SEGA TP T-159,19961108,CD-1/1,JAT,U
3D Lemmings (Europe),LEMMINGS 3D,T-11304H,V3.08,SEGA SEGASATURN,SEGA TP T-113,19960530,CD-1/1,J,E
3D Lemmings (Japan),LEMMINGS 3D,T-15013G,V3.100,SEGA SEGASATURN,SEGA TP T-150,19960612,CD-1/1,JM,J
3D Mission Shooting - Finalist (Japan),FINALIST,T-18511G,V1.000,SEGA SEGASATURN,SEGA TP T-185,19970619,CD-1/1,J,J
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-1/3,J,J
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-2/3,J,J
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-3/3,J,J
6 Inch My Darling (Japan),6INCH MY DARLING,T-19721G,V1.001,SEGA SEGASATURN,SEGA TP T-197,19981025,CD-1/1,J,J
"Actua Golf (Europe) (En,Fr,De)",ACTUA GOLF,T-12302H,V1.500,SEGA SEGASATURN,SEGA TP T-123,19961024,CD-1/1,JT,E
Actua Golf (Japan),ACTUA GOLF,T-18710G,V1.100,SEGA SEGASATURN,SEGA TP T-187,19961024,CD-1/1,JT,J
Actua Soccer - Club Edition (Europe),ACTUA SOCCER CLUB EDITION,T-12305H,V1.100,SEGA SEGASATURN,SEGA TP T-123,19970429,CD-1/1,J,E
Actua Soccer (Japan),ACTUA SOCCER,T-18706G,V1.100,SEGA SEGASATURN,SEGA TP T-187,19960822,CD-1/1,J,J
Advanced V.G. (Japan),ADVANCED V.G.,T-32501G,V1.001,SEGA SEGASATURN,SEGA TP T-325,19970113,CD-1/1,J,J
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M),ADVANCED WORLD WAR SENNENTEIKOKUNO KOUBOU - LAST OF THE MILLENNIUM -,GS-9087,V1.004,SEGA SEGASATURN,SEGA ENTERPRISES,19970219,CD-1/1,JEA,JT
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (Rev B) (22M),ADVANCED WORLD WAR SENNENTEIKOKUNO KOUBOU - LAST OF THE MILLENNIUM -,GS-9087,V1.007,SEGA SEGASATURN,SEGA ENTERPRISES,19970521,CD-1/1,JEA,JT
AI Igo (Japan),AI IGO,T-17601G,V1.003,SEGA SEGASATURN,SEGA TP T-176,19970528,CD-1/1,JM,J
Ai Iijima Interactive Video Clip - Good Island Cafe (Japan),AI IIJIMA       GOOD ISLAND CAFE,T-25201G,V1.300,SEGA SEGASATURN,SEGA TP T-252,19960828,CD-1/1,J,J
AI Shougi (Japan),AI Shogi,T18602G,V1.001,SEGA SEGASATURN,SEGA TP T-186,19950718,CD-1/1,J,J
AI Shougi 2 (Japan),AISHOGI-2,T-17602G,V1.002,SEGA SEGASATURN,SEGA TP T-176,19980427,CD-1/1,J,J
Air Management '96 (Japan),AIR MANAGEMENT 96,T-7611G,V1.004,SEGA SEGASATURN,SEGA TP T-76,19960223,CD-1/1,J,J
Airs Adventure (Japan),AIRSADVENTURE,T-20701G,V1.004,SEGA SEGASATURN,SEGA TP T-207,19961124,CD-1/1,JE,JT
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M),DRACULA-X,T-9527G,V1.400,SEGA SEGASATURN,SEGA TP T-95,19980427,CD-1/1,J,J
Albert Odyssey - Legend of Eldean (USA),ALBERT ODYSSEY,T-12705H,V1.010,SEGA SEGASATURN,SEGA TP T-127,19970612,CD-1/1,J,U
Albert Odyssey - Legend of Eldean (USA) (RE),ALBERT ODYSSEY,T-12705H,V1.100,SEGA SEGASATURN,SEGA TP T-127,19970612,CD-1/1,J,U
Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M),ALBERT ODYSSEY GAIDEN,T-1507G,V1.003,SEGA SEGASATURN,SEGA TP T-15,19960706,CD-1/1,J,J
Albert Odyssey Gaiden - Legend of Eldean (Japan) (2M),ALBERT ODYSSEY GAIDEN,T-1507G,V1.003,SEGA SEGASATURN,SEGA TP T-15,19960706,CD-1/1,J,J
Albert Odyssey Gaiden - Legend of Eldean (Japan) (3M),ALBERT ODYSSEY GAIDEN,T-1507G,V1.003,SEGA SEGASATURN,SEGA TP T-15,19960706,CD-1/1,J,J
Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan),ALBUM CLUB 1,T-21903G,V1.001,SEGA SEGASATURN,SEGA TP T-219,19970605,CD-1/1,J,J
"Alien Trilogy (Europe) (En,Fr,Es,It) (4S)",ALIEN TRILOGY,T-8113H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960729,CD-1/1,J,E
"Alien Trilogy (Europe) (En,Fr,Es,It) (7S)",ALIEN TRILOGY,T-8113H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960729,CD-1/1,J,E
Alien Trilogy (Japan),ALIEN TRILOGY,T-8113G,V1.001,SEGA SEGASATURN,SEGA TP T-81,19960716,CD-1/1,J,J
Alien Trilogy (USA),ALIEN TRILOGY,T-8113H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960720,CD-1/1,J,U
All-Star Baseball '97 Featuring Frank Thomas (USA),ALLSTAR_BASEBALL_97,T-8150H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19970502,CD-1/1,JT,U
"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)",ALONE IN THE DARK JACK IS BACK,T-15101H,V1.100,SEGA SEGASATURN,SEGA TP T-151,19960212,CD-1/1,J,E
Alone in the Dark - One-Eyed Jack's Revenge (USA),ALONE IN THE DARK ONE EYED JACK S REVENGE,T-29401H,V1.200,SEGA SEGASATURN,SEGA TP T-294,19960611,CD-1/1,J,U
Alone in the Dark 2 (Japan),ALONE IN THE DARK 2 JACK IS BACK,T-10602G,V1.000,SEGA SEGASATURN,SEGA TP T-106,19951219,CD-1/1,J,J
Amagi Shien (Japan),AMAGISHIEN,T-1513G,V1.001,SEGA SEGASATURN,SEGA TP T-15,19961227,CD-1/1,J,J
America Oudan Ultra Quiz (Japan),AMERICA OUDAN ULTRA QUIZ,T-6004G,V1.020,SEGA SEGASATURN,SEGA TP T-60,19950918,CD-1/1,JT,J
"Amok (Europe) (En,Fr,De,Es,It,Nl)",AMOK,MK-81064,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19970108,CD-1/1,JT,E
Amok (Japan),AMOK,T-7637G,V1.007,SEGA SEGASATURN,SEGA TP T-76,19970419,CD-1/1,JT,JT
Amok (USA),AMOK,MK-81064,V1.010,SEGA SEGASATURN,SEGA ENTERPRISES,19961213,CD-1/1,JT,U
Andretti Racing (Europe),EA_ANDRETTI,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19961125,CD-1/1,JS,E
Andretti Racing (USA),ANDRETTI RACING,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19961121,CD-1/1,JS,U
AnEarth Fantasy Stories - The First Volume (Japan),ANEARTH FANTASY STORIES,T-27801G,V1.004,SEGA SEGASATURN,SEGA TP T-278,19970213,CD-1/1,J,J
Angel Graffiti S - Anata e no Profile (Japan),ANGEL GRAPHITY S,T-7308G,V1.003,SEGA SEGASATURN,SEGA TP T-73,19970604,CD-1/1,J,J
Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood (Japan),ANGEL PARADISE01,T-2403G,V1.000,SEGA SEGASATURN,SEGA TP T-24,19960312,CD-1/1,J,J
Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii (Japan),ANGEL PARADISE02,T-2405G,V1.000,SEGA SEGASATURN,SEGA TP T-24,19960730,CD-1/1,J,J
Angelique Duet (Japan),ANGELIQUE DUET,T-7662G,V1.002,SEGA SEGASATURN,SEGA TP T-76,19980616,CD-1/1,J,J
Angelique Special (Japan),ANGELIQUE SPECIAL,T-7615G,V1.000,SEGA SEGASATURN,SEGA TP T-76,19960226,CD-1/1,J,J
Angelique Special 2 (Japan),ANGELIQUE SPECIAL 2,T-7627G,V1.200,SEGA SEGASATURN,SEGA TP T-76,19970226,CD-1/1,J,J
Another Memories (Japan),ANOTHER MEMORIES,T-38001G,V1.002,SEGA SEGASATURN,SEGA TP T-380,19980430,CD-1/1,J,J
Aqua-world - Umi Monogatari (Japan),AQUA WORLD FOR SATURN,T-30301G,V1.100,SEGA SEGASATURN,SEGA TP T-303,19960610,CD-1/1,J,J
Aquazone - Desktop Life (Japan),AQUAZONE CD-ROM,GS-9023,V1.000,SEGA SEGASATURN,SEGA TP T-240,19960628,CD1/1,J,J
Aquazone - Desktop Life Option Disc Series 1 - Angel Fish (Japan) (Rev A),Angel Fish,T-24002G,V2.000,SEGA SEGASATURN,SEGA TP T-240,19961115,CD-1/1,J,J
Aquazone - Desktop Life Option Disc Series 2 - Black Molly (Japan) (Rev A),Black Molly,T-24003G,V2.000,SEGA SEGASATURN,SEGA TP T-240,19961115,CD-1/1,J,J
Aquazone - Desktop Life Option Disc Series 3 - Blue Emperor (Japan) (Rev A),Blue Emperor,T-24004G,V2.000,SEGA SEGASATURN,SEGA TP T-240,19961115,CD-1/1,J,J
Aquazone - Desktop Life Option Disc Series 4 - Clown Loach (Japan) (Rev A),Clown Loach,T-24005G,V2.000,SEGA SEGASATURN,SEGA TP T-240,19961115,CD-1/1,J,J
Aquazone - Desktop Life Option Disc Series 5 - False Rummy-Nose (Japan) (Rev A),False Rummy Nose,T-24006G,V2.000,SEGA SEGASATURN,SEGA TP T-240,19961115,CD-1/1,J,J
Arcade Gears Vol. 1 - Pu-Li-Ru-La (Japan),PULIRULA,T-26106G,V1.003,SEGA SEGASATURN,SEGA TP T-261,19970527,CD-1/1,J,J
Arcade Gears Vol. 2 - Gun Frontier (Japan),GUNFRONTIER,T-26109G,V1.001,SEGA SEGASATURN,SEGA TP T-261,19970804,CD-1/1,J,J
Arcade Gears Vol. 3 - Wonder 3 (Japan),WONDER3,T-26107G,V1.002,SEGA SEGASATURN,SEGA TP T-261,19980123,CD-1/1,J,J
Arcade Gears Vol. 4 - ImageFight & XMultiply (Japan),IMAGE FIGHT X-MULTIPLY,T-26110G,V1.010,SEGA SEGASATURN,SEGA TP T-261,19980617,CD-1/1,J,J
Arcade's Greatest Hits - The Atari Collection 1 (Europe),MIDWAY PRESENTS ARCADES GREATESTHITS            THE ATARI COLLECTION VOLUME 1,T-25413H,V1.000,SEGA SEGASATURN,SEGA TP T-254,19971212,CD-1/1,JAM,E
Arcade's Greatest Hits - The Atari Collection 1 (USA),MIDWAY PRESENTS ARCADES GREATESTHITS            THE ATARI COLLECTION VOLUME 1,T-9706H,V1.000,SEGA SEGASATURN,SEGA TP T-97,19970411,CD-1/1,JAM,U
Arcade's Greatest Hits (USA),WILLIAMS ARCADES GREATEST HITS,T-9703H,V1.000,SEGA SEGASATURN,SEGA TP T-97,19961118,CD-1/1,J,U
Arcana Strikes (Japan),ARCANE STRIKES,T-10311G,V1.001,SEGA SEGASATURN,SEGA TP T-103,19971017,CD-1/1,J,J
"Area 51 (Europe) (En,Fr,De,Es)",AREA 51,T-25408H,V1.000,SEGA SEGASATURN,SEGA TP T-254,19961231,CD-1/1,JG,E
Area 51 (Japan),AREA 51,T-18613G,V1.000,SEGA SEGASATURN,SEGA TP T-186,19961204,CD-1/1,JG,JT
Area 51 (USA),AREA 51,T-9705H,V1.000,SEGA SEGASATURN,SEGA TP T-97,19961109,CD-1/1,JG,U
Arthur to Astaroth no Nazo Makaimura - Incredible Toons (Japan),J: ARTHUR TO      ASTUROTO NO     NAZOMAKAIMURA    INCREDIBLE        TOONS,T-1209G,V1.002,SEGA SEGASATURN,SEGA TP T-12,19960525,CD-1/1,JM,J
Assault Rigs (Japan),ASSAULT RIGS,T-18606G,V1.000,SEGA SEGASATURN,SEGA TP T-186,19970417,CD-1/1,J,J
Assault Suit Leynos 2 (Japan),JUUSOUKIHEI LEYNOS2,T-2501G,V1.003,SEGA SEGASATURN,SEGA TP T-25,19970114,CD-1/1,J,J
Astal (USA) (1S),ASTAL,MK-81019,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19950606,CD-1/1,J,UT
Astal (USA) (2S),ASTAL,MK-81019,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19950606,CD-1/1,J,UT
Astal (USA) (3S),ASTAL,MK-81019,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19950606,CD-1/1,J,UT
Astra Superstars (Japan),ASTRA SUPERSTARS,T-1521G,V1.001,SEGA SEGASATURN,SEGA TP T-15,19980620,CD-1/1,AEJSW,J
Asuka 120% Limited - Burning Fest. Limited (Japan),Asuka120pct BurningFest. Limited,T-16708G,V1.003,SEGA SEGASATURN,SEGA TP T-167,19970904,CD-1/1,J,J
Athlete Kings (Europe),ATHLETE KINGS,MK-81115,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960719,CD-1/1,J,E
"Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)",ATLANTIS CD1,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-1/2,J,E
"Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 2)",ATLANTIS CD2,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-2/2,J,E
Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 1),AYAKASHI-KUNOITI,T-21512G,V1.002,SEGA SEGASATURN,SEGA TP T-215,19980302,CD-1/2,J,J
Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 2),AYAKASHI-KUNOITI,T-21512G,V1.002,SEGA SEGASATURN,SEGA TP T-215,19980302,CD-2/2,J,J
Ayrton Senna Personal Talk - Message for the Future (Japan),Ayrton Senna Personal Talk -Message For The Future-,GS-9020,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950320,CD-1/1,J,JTU
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-1/4,AEFJK,JT
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-1/4,AEFJK,JT
Azel - Panzer Dragoon RPG (Japan) (Disc 2) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-2/4,AEFJK,JT
Azel - Panzer Dragoon RPG (Japan) (Disc 3) (1M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-3/4,AEFJK,JT
Azel - Panzer Dragoon RPG (Japan) (Disc 3) (2M),J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-3/4,AEFJK,JT
"Azel - Panzer Dragoon RPG (Japan) (Disc 4) (2M, 3M)",J:AZEL PANZER DRAGOON RPG       U:PANZER DRAGOON SAGA,GS-9076,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19971201,CD-4/4,AEFJK,JT
BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1),BACK GUINER YOMIGAERUYUUSYATATI  HISYOUHEN URAGIRINOSENJYOU,T-19907G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980812,CD-1/2,J,J
BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 2),BACK GUINER YOMIGAERUYUUSYATATI  HISYOUHEN URAGIRINOSENJYOU,T-19907G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980812,CD-2/2,J,J
BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1),BACK GUINER YOMIGAERUYUUSYATATI KAKUSEIHEN GUINER TENSEI,T-19906G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980611,CD-1/2,J,J
BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 2),BACK GUINER YOMIGAERUYUUSYATATI KAKUSEIHEN GUINER TENSEI,T-19906G,V1.001,SEGA SEGASATURN,SEGA TP T-199,19980611,CD-2/2,J,J
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan),BAKUBAKU ANIMAL,GS-9040,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19951110,CD-1/1,J,JT
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan) (Rev A),BAKUBAKU ANIMAL,GS-9040,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19951110,CD-1/1,J,JT
Baku Baku Animal - World Zookeeper Contest (Europe),BAKU BAKU ANIMAL,MK-81501,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960514,CD-1/1,J,E
Baku Baku Animal - World Zookeeper Contest (USA),BAKU BAKU ANIMAL,MK-81501,V1.004,SEGA SEGASATURN,SEGA ENTERPRISES,19960416,CD-1/1,J,UTJ
Bakuretsu Hunter (Japan) (Disc 1),BAKURETU,T-22402G,V1.002,SEGA SEGASATURN,SEGA TP T-224,19960315,CD-1/1,J,J
Bakuretsu Hunter (Japan) (Disc 2) (Omake CD),BAKU OMAKE CD,T-22402G,V0.000,SEGA SEGASATURN,SEGA TP T-224,19960223,CD-1/1,J,J
Bakuretsu Hunter R (Japan),BAKURETU HUNTER R,T-24903G,V1.005,SEGA SEGASATURN,SEGA TP T-249,19970418,CD-1/1,J,J
Bakushou!! All Yoshimoto Quiz-ou Kettei-sen DX (Japan),YOSHIMOTO QUIZ DX,T-20001G,V1.001,SEGA SEGASATURN,SEGA TP T-200,19951019,CD-1/1,J,JT
Baldy Land (Japan),BALDYLAND,T-20608G,V1.300,SEGA SEGASATURN,SEGA TP T-206,19980710,CD-1/1,JM,J
Baroque (Japan),BAROQUE,T-33901G,V1.004,SEGA SEGASATURN,SEGA TP T-339,19980410,CD-1/1,JE,J
Baroque Report - CD Data File (Japan),BAROQUE REPORT CD DATA FILE,6106848,V1.002,SEGA SEGASATURN,SEGA TP T-339,19971216,CD-1/1,J,J
Bases Loaded '96 - Double Header (USA),DOUBLE HEADER,T-5703H,V1.001,SEGA SEGASATURN,SEGA TP T-57,19951221,CD-1/1,J,U
Batman Forever - The Arcade Game (Europe),BATMAN COINOP,T-8140H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961025,CD-1/1,JA,E
Batman Forever - The Arcade Game (Japan),BATMAN COINOP,T-8118G,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961031,CD-1/1,J,J
Batman Forever - The Arcade Game (USA),BATMAN COINOP,T-8140H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961008,CD-1/1,JT,U
Batsugun (Japan),BATSUGUN,T-20605G,V1.001,SEGA SEGASATURN,SEGA TP T-206,19960912,CD-1/1,JE,J
Battle Arena Toshinden Remix (Europe),Battle Arena Toshinden Remix,MK-81029,V1.0,SEGA SEGASATURN,SEGA ENTERPRISES,19960226,CD-1/1,J,E
Battle Arena Toshinden Remix (USA),Battle Arena Toshinden Remix,MK-81029,V1.0,SEGA SEGASATURN,SEGA ENTERPRISES,19960229,CD-1/1,J,JTU
Battle Arena Toshinden URA - Ultimate Revenge Attack (Europe),TOUSHINDEN URA,MK-81054,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19961012,CD-1/1,J,E
Battle Arena Toshinden URA - Ultimate Revenge Attack (USA),TOUSHINDEN URA,MK-81054,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19961004,CD-1/1,J,U
Battle Athletess Daiundoukai (Japan),BATORU ASUREITESU DAIUNDOUKAI,T-24601G,V1.002,SEGA SEGASATURN,SEGA TP T-246,19961030,CD-1/1,J,J
Battle Garegga (Japan),BATTLE GAREGGA,T-10627G,V1.000,SEGA SEGASATURN,SEGA TP T-106,19980203,CD-1/1,JE,J
Battle Monsters (Europe),BATTLE MONSTERS,T-8137H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960805,CD-1/1,J,E
Battle Monsters (Japan),BATTLE MONSTERS,T-18701G,V1.001,SEGA SEGASATURN,SEGA TP T-187,19950315,CD-1/1,J,JT
Battle Monsters (USA),BATTLE MONSTERS,T-8137H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960805,CD-1/1,J,U
"Battle Stations (Europe) (En,Fr,De)",BATTLESTATIONS,T-5021H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19970415,CD-1/1,J,E
"Battle Stations (USA) (En,Fr,De)",BATTLESTATIONS,T-5021H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19970415,CD-1/1,J,U
BattleSport (USA),BATTLE_SPORT,T-8149H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19970510,CD-1/1,J,U
Beach de Riichi! (Japan),BEACH DE REACH,T-29004G,V1.002,SEGA SEGASATURN,SEGA TP T-290,19980708,CD-1/1,J,J
Bedlam (USA) (Proto) (1997-08-11),BEDLAM,T-25407H45,V1.100,SEGA SEGASATURN,SEGA TP T-254,19970811,CD-1/1,J,U
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M),BIG ICHIGEKI        PACHISLOT       DAIKORYAKU    UNIVERSAL         MUSEUM                            FOR JAPAN,T-16704G,V1.000,SEGA SEGASATURN,SEGA TP T-167,19960510,CD-1/1,J,J
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (Rev A) (10M),BIG ICHIGEKI        PACHISLOT       DAIKORYAKU    UNIVERSAL         MUSEUM                            FOR JAPAN,T-16704G,V2.000,SEGA SEGASATURN,SEGA TP T-167,19960709,CD-1/1,J,J
Big Thanks - Super Keirin - Dream with Keirin 50 Years (Japan),SUPER KEIRIN,6106987,V1.002,SEGA SEGASATURN,SEGA TP T-,19980729,CD-1/1,JT,J
Bio Hazard (Japan),BIO HAZARD,T-1219G,V1.002,SEGA SEGASATURN,SEGA TP T-12,19970624,CD-1/1,J,J
Bishoujo Hanafuda Kikou - Michinoku Hitou Koi Monogatari Special (Japan),BISHOUJOHANAFUDAKIKOUMITINOKUHITOUKOIMONOGATARISPECIAL,T-36701G,V1.002,SEGA SEGASATURN,SEGA TP T-367,19970909,CD-1/1,J,J
Bishoujo Senshi Sailor Moon SuperS - Various Emotion (Japan),SAILORMOONSUPERS,T-15701G,V1.003,SEGA SEGASATURN,SEGA TP T-157,19961009,CD-1/1,J,J
Black Dawn (Europe),BLACKDAWN,T-7027H-50,V1.000,SEGA SEGASATURN,SEGA TP T-70,19970218,CD-1/1,JAT,E
Black Dawn (Japan),BLACKDAWN,T-7013G,V1.000,SEGA SEGASATURN,SEGA TP T-70,19970218,CD-1/1,JAT,J
Black Dawn (USA),BLACKDAWN,T-7027H,V1.002,SEGA SEGASATURN,SEGA TP T-70,19961210,CD-1/1,JAT,U
BlackFire (Europe),BLACKFIRE,T-7011H-50,V1.000,SEGA SEGASATURN,SEGA TP T-070,19960325,CD-1/1,JA,E
BlackFire (Japan),BLACKFIRE,T-7003G,V1.001,SEGA SEGASATURN,SEGA TP T-70,19951027,CD-1/1,JA,JT
BlackFire (USA) (2S),BLACKFIRE,MK-81003,V1.032,SEGA SEGASATURN,SEGA ENTERPRISES,19950831,CD-1/1,JA,U
BlackFire (USA) (3S),BLACKFIRE,MK-81003,V1.032,SEGA SEGASATURN,SEGA ENTERPRISES,19950831,CD-1/1,JA,U
Black-Matrix (Japan),BLACK MATRIX,T-20113G,V1.000,SEGA SEGASATURN,SEGA TP T-201,19980629,CD-1/1,J,J
Black-Matrix (Japan) (Rerelease),BLACK MATRIX,T-20115G,V1.001,SEGA SEGASATURN,SEGA TP T-201,19981006,CD-1/1,J,J
Blam! Machinehead (Europe),BLAM!           MACHINEHEAD,T-11505H50,V1.000,SEGA SEGASATURN,SEGA TP T-115,19960830,CD-1/1,J,E
Blam! Machinehead (Japan),BLAM            MACHINEHEAD,T-7015G,V1.000,SEGA SEGASATURN,SEGA TP T-70,19970117,CD-1/1,J,J
"Blast Chamber (Europe) (En,Fr,De,Es,It)",BLAST CHAMBER!,T-13003H50,V1.000,SEGA SEGASATURN,SEGA TP T-130,19961217,CD-1/1,JAT,E
Blast Chamber (USA),BLAST CHAMBER!,T-13003H,V1.000,SEGA SEGASATURN,SEGA TP T-130,19961126,CD-1/1,JAT,U
Blast Wind (Japan),BLAST WIND,T-1810G,V1.003,SEGA SEGASATURN,SEGA TP    T-18,19961210,CD-1/1,J,J
Blazing Dragons (Europe),BLAZING DRAGONS,T-15913H50,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960802,CD-1/1,J,E
Blazing Dragons (USA),BLAZING DRAGONS,T-15907H,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960719,CD-1/1,J,U
Blazing Heroes (USA),BLAZING HEROES,MK-81303,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19960712,CD-1/1,J,U
Blood Factory (Japan),BLOOD FACTORY   LOADED,T-12504G,V1.001,SEGA SEGASATURN,SEGA TP T-125,19961014,CD-1/1,J,J
Blue Breaker - Ken yori mo Hohoemi o (Japan),BLUE BREAKER,T-4315G,V1.004,SEGA SEGASATURN,SEGA TP T-43,19971025,CD-1/1,J,J
Blue Seed - Kushinada Hirokuden (Japan),BLUE SEED,GS-9014,V1.007,SEGA SEGASATURN,SEGA ENTERPRISES,19950428,CD-1/1,J,J
Bomberman Wars (Japan),BOMBERMAN WARS,T-14320G,V1.000,SEGA SEGASATURN,SEGA TP T-143,19971217,CD-1/1,J,J
"Bootleg Sampler (Europe) (Made in EU, Made in Japan)",BOOTLEG SAMPLER,MK-81031,V1,SEGA SEGASATURN,SEGA ENTERPRISES,19951107,CD-1/1,J,E
Bootleg Sampler (Europe) (Made in USA),BOOTLEG SAMPLER,MK-81031,V1,SEGA SEGASATURN,SEGA ENTERPRISES,19951107,CD-1/1,J,E
Bootleg Sampler (USA),BOOTLEG SAMPLER,MK-81031,V1.006,SEGA SEGASATURN,SEGA ENTERPRISES,19951026,CD-1/1,J,UT
Bottom of the 9th (USA),U:Bottom of the 9th/J:Bottom of the 9th - major league heroes -,T-9505H,V1.000,SEGA SEGASATURN,SEGA TP T-95,19960830,CD-1/1,J,U
Bouken Katsugeki Monomono (Japan),MONOMONO,T-21508G,V1.000,SEGA SEGASATURN,SEGA TP T-215,19970608,CD-1/1,J,J
Brain Battle Q (Japan),BRAIN BATTLE Q,T-25701G,V1.002,SEGA SEGASATURN,SEGA TP T-257,19960130,CD-1/1,J,JT
