Redump Name,Game Title,Product ID,Version,Hardware,Marker ID,Build Date,Disc Type,Peripherals,Region
"House of the Dead, The (USA)",THE HOUSE OF THE DEAD,MK-81802,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19980311,CD-1/1,JEG,U
Hudson Soft - New Soft Line Up for Sega Saturn (Japan),FLASH HUDSON,6106540,V1.000,SEGA SEGASATURN,SEGA TP T-143,19970418,CD-1/1,J,J
Hyper 3D Pinball (Japan),HYPER 3D PINBALL,T-7007G,V1.000,SEGA SEGASATURN,SEGA TP T-70,19961022,CD-1/1,JAT,JT
Hyper 3-D Pinball (USA),HYPER 3D PINBALL,T-7015H,V1.000,SEGA SEGASATURN,SEGA TP T-70,19960913,CD-1/1,JAT,U
Hyper Duel (Japan),HYPER DUEL,T-1809G,V1.001,SEGA SEGASATURN,SEGA TP    T-18,19961002,CD-1/1,J,J
"Hyper Golf, The - Devil's Course (Japan)",The Hyper Golf,T-2303H,V1.000,SEGA SEGASATURN,SEGA TP T-23,19951101,CD-1/1,J,J
Hyper Reverthion (Japan) (2M),HYPER REVERTHION,T-1803G,V1.002,SEGA SEGASATURN,SEGA TP    T-18,19960418,CD-1/1,J,J
Hyper Securities S (Japan),HYPER SECURITIES S,T-9105G,V5.000,SEGA SEGASATURN,SEGA TP T-91,19961216,CD-1/1,J,J
Ide Yousuke Meijin no Shin Jissen Mahjong (Japan) (2M),SIN ZISSEN MAHJONG,T-1208G,V1.001,SEGA SEGASATURN,SEGA TP T-12,19960331,CD-1/1,J,J
Idol Janshi Suchie-Pai II (Japan) (Disc 1),IDOL JANSI SUCHIE PAI 2,T-5705G,V1.001,SEGA SEGASATURN,SEGA TP T-57,19960402,CD-1/2,J,J
Idol Janshi Suchie-Pai II (Japan) (Disc 2) (Omake Disc),IDOL JANSI SUCHIE PAI 2,T-5705G,V1.000,SEGA SEGASATURN,SEGA TP T-57,19960307,CD-2/2,J,J
Idol Janshi Suchie-Pai Mecha Genteiban - Hatsubai 5 Shuunen Toku Package (Japan) (Disc 1),IDOL JANSHI SUCHIE PAI MECHA GENTEI BAN,T-5716G,V1.000,SEGA SEGASATURN,SEGA TP T-57,19980925,CD-1/3,J,J
Idol Janshi Suchie-Pai Mecha Genteiban - Hatsubai 5 Shuunen Toku Package (Japan) (Disc 2),IDOL JANSHI SUCHIE PAI MECHA GENTEI BAN,T-5716G,V1.002,SEGA SEGASATURN,SEGA TP T-57,19981012,CD-2/3,J,J
Idol Janshi Suchie-Pai Mecha Genteiban - Hatsubai 5 Shuunen Toku Package (Japan) (Disc 3),IDOL JANSHI SUCHIE PAI MECHA GENTEI BAN,T-5716G,V1.001,SEGA SEGASATURN,SEGA TP T-57,19981019,CD-3/3,J,J
Idol Janshi Suchie-Pai Remix (Japan),SU_TI_PAI_REMIX,T-5704G,V1.000,SEGA SEGASATURN,SEGA TP T-57,19950929,CD-1/1,J,J
Idol Janshi Suchie-Pai Secret Album (Japan),IDOL JANSHI SUCHIE PAI SECRET ALBUM,T-5717G,V1.000,SEGA SEGASATURN,SEGA TP T-57,19990205,CD-1/1,J,J
Idol Janshi Suchie-Pai Special (Japan),SU_TI_PAI_SP,T-5701G,V1.001,SEGA SEGASATURN,SEGA TP T-57,19950310,CD-1/1,J,J
Idol Mahjong - Final Romance 2 (Japan),FINAL ROMANCE2,T-16702G,V1.000,SEGA SEGASATURN,SEGA TP T-167,19950718,CD-1/1,J,J
Idol Mahjong - Final Romance 4 (Japan),FINAL ROMANCE4,T-3003G,V1.060,SEGA SEGASATURN,SEGA TP T-30,19980401,CD-1/1,J,J
Idol Mahjong - Final Romance R (Japan),FINAL ROMANCE R,T-16703G,V1.000,SEGA SEGASATURN,SEGA TP T-167,19960131,CD-1/1,J,J
Idol Mahjong - Final Romance R (Japan) (Kisekae Disc Kanzenban),FINAL ROMANCE R,T-16705G,V1.000,SEGA SEGASATURN,SEGA TP T-167,19960417,CD-1/1,J,J
Idol Mahjong - Final Romance R (Japan) (Kisekae Disc),FINAL ROMANCE R,T-16705G,V1.000,SEGA SEGASATURN,SEGA TP T-167,19960417,CD-1/1,J,J
Impact Racing (Europe),IMPACT RACING,T-6010H-50,V1.200,SEGA SEGASATURN,SEGA TP T-60,19961004,CD-1/1,JA,E
Impact Racing (Europe) (Demo),IMPACT RACING,T-6010H-50,V1.200,SEGA SEGASATURN,SEGA TP T-60,19961004,CD-1/1,JA,E
Impact Racing (Japan),IMPACT RACING,T-7307G,V1.002,SEGA SEGASATURN,SEGA TP T-73,19970416,CD-1/1,JA,J
Impact Racing (USA),IMPACT RACING,T-8139H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960801,CD-1/1,JA,U
In the Hunt (Europe),IN THE HUNT,T-10001G,V1.000,SEGA SEGASATURN,SEGA TP T-100,19960411,CD-1/1,J,E
In the Hunt (USA),IN THE HUNT,T-10001G,V1.000,SEGA SEGASATURN,SEGA TP T-100,19960411,CD-1/1,J,U
"Incredible Hulk, The - The Pantheon Saga (Europe) (En,Fr,De,Es,It)",INCREDIBLEHULK2A,T-7905H50,V1.002,SEGA SEGASATURN,SEGA TP T-079,19961030,CD-1/1,J,E
